tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	0.20973999999999995	0.96	0.47058823529411764	0.631578947368421	24.0	27.0	1.0	51.0	0.46153846153846156	1.6748527982668002	0.425973314871115	0.10706373594960747
Bracken2.2	1	3.076543254686262	7290.902733807812	0.20866000000000004	0.967741935483871	0.625	0.759493670886076	30.0	18.0	1.0	48.0	0.6122448979591837	1.856633247826934	0.4796013543588914	0.10688344551331307
Bracken2.2	2	3.1453800803449083	6699.8061684910845	0.19332000000000005	0.9285714285714286	0.5652173913043478	0.7027027027027025	26.0	20.0	2.0	46.0	0.5416666666666666	1.8162409394206938	0.4743826207087992	0.09841373271701725
Bracken2.2	3	3.1209654021035367	7147.783754978378	0.20039000000000004	0.967741935483871	0.6	0.7407407407407407	30.0	20.0	1.0	50.0	0.5882352941176471	1.9334100815299213	0.49422257457259555	0.10226536225893212
Bracken2.2	4	3.1438680557441776	8125.760055918164	0.20627000000000004	1.0	0.5625	0.72	27.0	21.0	0.0	48.0	0.5625	1.9012113758165188	0.4911166768296122	0.10476780626057103
Bracken2.2	5	2.974935546089538	6713.913426133815	0.17316999999999996	0.9655172413793104	0.56	0.7088607594936709	28.0	22.0	1.0	50.0	0.5490196078431373	1.960826803927266	0.5012308979795138	0.088768255237568
Bracken2.2	6	3.1696855694227417	7082.9198687675525	0.16847000000000012	0.9666666666666667	0.5686274509803921	0.7160493827160493	29.0	22.0	1.0	51.0	0.5576923076923077	1.8954399534483704	0.48207630004564506	0.08669496976714272
Bracken2.2	7	3.2822937019626464	6940.938489087248	0.18695000000000003	0.9642857142857143	0.5625	0.7105263157894737	27.0	21.0	1.0	48.0	0.5510204081632653	1.7298161573037234	0.44684224674193274	0.09581234208516769
Bracken2.2	8	3.152816649868664	6061.929913160568	0.17645999999999998	0.9666666666666667	0.6304347826086957	0.763157894736842	29.0	17.0	1.0	46.0	0.6170212765957447	1.730095147356754	0.4518822653234826	0.08993883792048928
Bracken2.2	9	3.1683301251798235	8924.884741094998	0.20459	0.9655172413793104	0.5	0.6588235294117647	28.0	28.0	1.0	56.0	0.49122807017543857	1.832572314957815	0.45525769069463157	0.10429166390547019
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	0.3592088899999999	0.6551724137931034	0.8636363636363636	0.7450980392156864	19.0	3.0	10.0	22.0	0.59375	1.5137623403171363	0.48972550948709337	0.18425646658918685
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	0.37214697	0.5666666666666667	0.8947368421052632	0.6938775510204083	17.0	2.0	13.0	19.0	0.53125	1.3517971440556542	0.45910176900264477	0.19125055627693008
CCMetagen1.1.3	7	5.632396696686068	2841.999310439999	0.38473391999999995	0.5714285714285714	0.8888888888888888	0.6956521739130435	16.0	2.0	12.0	18.0	0.5333333333333333	1.4459915878697387	0.500278756156351	0.19912417310328276
