tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	0.3752700000000002	0.981651376146789	0.46320346320346323	0.6294117647058823	107.0	124.0	2.0	231.0	0.4592274678111588	3.3871284066517817	0.6223573027302677	0.19271199757614343
Bracken2.2	1	3.076543254686262	7290.902733807812	0.3534600000000004	0.9658119658119658	0.5380952380952381	0.691131498470948	113.0	97.0	4.0	210.0	0.5280373831775701	3.7257995622357747	0.696787850409257	0.18145136450440463
Bracken2.2	2	3.1453800803449083	6699.8061684910845	0.3644100000000002	0.9716981132075472	0.5228426395939086	0.6798679867986799	103.0	94.0	3.0	197.0	0.515	3.5702180443182447	0.6757676265441066	0.1875685218832516
Bracken2.2	3	3.1209654021035367	7147.783754978378	0.34896000000000044	0.9833333333333333	0.5388127853881278	0.696165191740413	118.0	101.0	2.0	219.0	0.5339366515837104	3.6598010384269384	0.6791152951589225	0.18043060122851645
Bracken2.2	4	3.1438680557441776	8125.760055918164	0.3625900000000001	0.9801980198019802	0.43231441048034935	0.6	99.0	130.0	2.0	229.0	0.42857142857142855	3.4764387989875822	0.6397895948143126	0.1873220881874306
Bracken2.2	5	2.974935546089538	6713.913426133815	0.32628000000000057	0.9719626168224299	0.4792626728110599	0.6419753086419753	104.0	113.0	3.0	217.0	0.4727272727272727	3.5511352335518582	0.6600749048148455	0.16689514066496164
Bracken2.2	6	3.1696855694227417	7082.9198687675525	0.36722000000000043	0.9818181818181818	0.463519313304721	0.629737609329446	108.0	125.0	2.0	233.0	0.4595744680851064	3.6423969533717884	0.6682023956351251	0.18696604042564022
Bracken2.2	7	3.2822937019626464	6940.938489087248	0.39044000000000056	0.9807692307692307	0.4636363636363636	0.6296296296296297	102.0	118.0	2.0	220.0	0.4594594594594595	3.5469622922836925	0.6576209168692888	0.19931390766340634
Bracken2.2	8	3.152816649868664	6061.929913160568	0.37078000000000017	0.9655172413793104	0.5333333333333333	0.6871165644171779	112.0	98.0	4.0	210.0	0.5233644859813084	3.556100241465171	0.6650511928246219	0.18889590805347245
Bracken2.2	9	3.1683301251798235	8924.884741094998	0.3592600000000003	0.9795918367346939	0.4	0.5680473372781065	96.0	144.0	2.0	240.0	0.39669421487603307	3.5116066747873163	0.6407294339043967	0.18321552788062376
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	0.6772033800000004	0.5102040816326531	0.8620689655172413	0.641025641025641	50.0	8.0	48.0	58.0	0.4716981132075472	2.95472682767072	0.7276858263978192	0.3543700739168747
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	0.7762475400000006	0.4224137931034483	0.875	0.569767441860465	49.0	7.0	67.0	56.0	0.3983739837398374	3.0567625637836477	0.7593777633937351	0.4035247354038988
CCMetagen1.1.3	7	5.632396696686068	2841.999310439999	0.7814722799999996	0.4326923076923077	0.8653846153846154	0.576923076923077	45.0	7.0	59.0	52.0	0.40540540540540543	2.9873432952507097	0.7560513873649949	0.4088004985000649
CCMetagen1.1.3	6	5.543644660000016	3514.9992401799987	0.7541509399999997	0.4636363636363636	0.864406779661017	0.6035502958579881	51.0	8.0	59.0	59.0	0.4322033898305085	3.1000878664318896	0.7602843405068604	0.396430611871633
CCMetagen1.1.3	5	5.4197299599999855	3350.996880379998	0.70389421	0.4392523364485981	0.8392857142857143	0.5766871165644171	47.0	9.0	60.0	56.0	0.4051724137931034	3.036255095545706	0.7542831853758336	0.3756166942849574
CCMetagen1.1.3	2	5.559551580000015	2573.9996505099994	0.7733818199999999	0.4716981132075472	0.8333333333333334	0.6024096385542169	50.0	10.0	56.0	60.0	0.43103448275862066	3.021375452353054	0.7379387363317756	0.4081100647742994
CCMetagen1.1.3	3	5.47092193999999	4016.996790449997	0.7387441300000003	0.425	0.85	0.5666666666666667	51.0	9.0	69.0	60.0	0.3953488372093023	2.904805624018183	0.7094677987828348	0.397996933801871
CCMetagen1.1.3	1	5.500731900000021	2593.9962202700017	0.744710409999999	0.5042735042735043	0.9076923076923077	0.6483516483516484	59.0	6.0	58.0	65.0	0.4796747967479675	3.0893679998895407	0.740076998166674	0.39069848520597356
CCMetagen1.1.3	0	5.63237197	2500.999690249999	0.7808257700000008	0.47706422018348627	0.8387096774193549	0.608187134502924	52.0	10.0	57.0	62.0	0.4369747899159664	2.72672672110602	0.6606828047534558	0.40999613084172526
CCMetagen1.1.3	4	5.420428529999995	2755.9987504599994	0.70427016	0.45544554455445546	0.8214285714285714	0.5859872611464968	46.0	10.0	55.0	56.0	0.4144144144144144	2.8206835589733847	0.7007297189623308	0.3777101111301015
Centrifuge1.0.4	6	3.3292497219107355	2053.091556734694	0.3700700000000004	0.9545454545454546	0.8076923076923077	0.875	105.0	25.0	5.0	130.0	0.7777777777777778	3.3006479272850524	0.6780944153309741	0.19997190115691588
Centrifuge1.0.4	9	3.266217702279818	1780.937037398302	0.34052000000000027	0.9489795918367347	0.75	0.8378378378378378	93.0	31.0	5.0	124.0	0.7209302325581395	3.1807488211874198	0.6598678475306401	0.18393759993085862
Centrifuge1.0.4	8	3.271697010743134	1975.1181662786573	0.3584100000000002	0.9482758620689655	0.8333333333333334	0.8870967741935484	110.0	22.0	6.0	132.0	0.7971014492753623	3.268166869105042	0.6693220247144342	0.19218621810167788
Centrifuge1.0.4	7	3.426201471900066	1745.9344920338983	0.3732	0.9519230769230769	0.8114754098360656	0.8761061946902655	99.0	23.0	5.0	122.0	0.7795275590551181	3.1971745565998924	0.6655205143418383	0.20234222511385813
Centrifuge1.0.4	5	3.069055206812641	1829.9478779694743	0.32074000000000014	0.9345794392523364	0.7936507936507936	0.8583690987124463	100.0	26.0	7.0	126.0	0.7518796992481203	3.231911485476183	0.6682636677631969	0.17316330497127802
Centrifuge1.0.4	2	3.261121583799789	1763.9452810394032	0.3459399999999999	0.9528301886792453	0.8145161290322581	0.8782608695652175	101.0	23.0	5.0	124.0	0.7829457364341085	3.2402449155613002	0.6722107145528516	0.1885231607629428
Centrifuge1.0.4	3	3.2290950166481402	2215.1078169256375	0.3287800000000001	0.9583333333333334	0.8333333333333334	0.8914728682170543	115.0	23.0	5.0	138.0	0.8041958041958042	3.298645947400982	0.6694694769497621	0.1811879332958591
Centrifuge1.0.4	1	3.25809649593586	1815.9417665271117	0.33974000000000004	0.9401709401709402	0.8088235294117647	0.8695652173913043	110.0	26.0	7.0	136.0	0.7692307692307693	3.3807519802134705	0.6881720900097259	0.18477586938313775
