tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	0.3878600000000002	0.9447513812154696	0.32509505703422054	0.4837340876944838	171.0	355.0	10.0	526.0	0.31902985074626866	3.8667905246222958	0.6171755185147193	0.1959443074809037
Bracken2.2	1	3.076543254686262	7290.902733807812	0.36615000000000053	0.9507389162561576	0.43080357142857145	0.5929339477726575	193.0	255.0	10.0	448.0	0.42139737991266374	4.2413890080635115	0.6947637449115811	0.18444821697538166
Bracken2.2	2	3.1453800803449083	6699.8061684910845	0.37823000000000007	0.9642857142857143	0.44680851063829785	0.6106623586429725	189.0	234.0	7.0	423.0	0.43953488372093025	4.12944640744271	0.6828497213634303	0.19103007651708376
Bracken2.2	3	3.1209654021035367	7147.783754978378	0.36431000000000013	0.9568965517241379	0.4703389830508475	0.6306818181818181	222.0	250.0	10.0	472.0	0.4605809128630705	4.3039679013356835	0.6990389136314972	0.18447663849546542
Bracken2.2	4	3.1438680557441776	8125.760055918164	0.3579400000000003	0.9459459459459459	0.3723404255319149	0.5343511450381679	175.0	295.0	10.0	470.0	0.3645833333333333	4.012293011775273	0.6521156063270568	0.18068834617209661
Bracken2.2	5	2.974935546089538	6713.913426133815	0.3359700000000005	0.9532710280373832	0.4811320754716981	0.6394984326018809	204.0	220.0	10.0	424.0	0.4700460829493088	4.14600996889643	0.6853210971321156	0.16895225164064268
Bracken2.2	6	3.1696855694227417	7082.9198687675525	0.38713999999999976	0.9619047619047619	0.452914798206278	0.6158536585365855	202.0	244.0	8.0	446.0	0.44493392070484583	4.246260438195785	0.6960718728960352	0.1946738004485433
Bracken2.2	7	3.2822937019626464	6940.938489087248	0.4055599999999994	0.9578947368421052	0.4252336448598131	0.5889967637540454	182.0	246.0	8.0	428.0	0.41743119266055045	4.076601096601512	0.6728037976805119	0.20460094844112597
Bracken2.2	8	3.152816649868664	6061.929913160568	0.38855999999999985	0.9629629629629629	0.5012048192771085	0.659270998415214	208.0	207.0	8.0	415.0	0.491725768321513	4.1386881755399365	0.6865456135861406	0.1965779967823861
Bracken2.2	9	3.1683301251798235	8924.884741094998	0.3687299999999993	0.9611111111111111	0.32765151515151514	0.48870056497175135	173.0	355.0	7.0	528.0	0.3233644859813084	4.076648968679628	0.6502769752117336	0.18663919863537198
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	0.7562726400000007	0.3888888888888889	0.8536585365853658	0.5343511450381678	70.0	12.0	110.0	82.0	0.3645833333333333	3.2870512757742807	0.7459180154975662	0.39275849897196696
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	0.8441869600000013	0.33796296296296297	0.8902439024390244	0.4899328859060403	73.0	9.0	143.0	82.0	0.3244444444444444	3.363223479215272	0.7632034832496314	0.4357768783375684
CCMetagen1.1.3	7	5.632396696686068	2841.999310439999	0.8621317199999996	0.3526315789473684	0.8271604938271605	0.4944649446494464	67.0	14.0	123.0	81.0	0.3284313725490196	3.313823735348392	0.7540930885102944	0.44425856684357246
CCMetagen1.1.3	6	5.543644660000016	3514.9992401799987	0.8447396700000005	0.3619047619047619	0.8735632183908046	0.5117845117845118	76.0	11.0	134.0	87.0	0.3438914027149321	3.489840726593543	0.7814403328219179	0.4373025607855533
CCMetagen1.1.3	5	5.4197299599999855	3350.996880379998	0.8227572600000004	0.3317757009345794	0.8554216867469879	0.4781144781144781	71.0	12.0	143.0	83.0	0.3141592920353982	3.4517903981800475	0.7811529549379337	0.42885252638429655
CCMetagen1.1.3	2	5.559551580000015	2573.9996505099994	0.823797429999999	0.39285714285714285	0.8555555555555555	0.5384615384615384	77.0	13.0	119.0	90.0	0.3684210526315789	3.4040141982040755	0.7564795952701343	0.42311474430515333
CCMetagen1.1.3	3	5.47092193999999	4016.996790449997	0.7912884200000004	0.34913793103448276	0.8709677419354839	0.4984615384615385	81.0	12.0	151.0	93.0	0.3319672131147541	3.3906667202174106	0.7480622819949571	0.410828211162166
