tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	0.30332000000000003	0.9701492537313433	0.52	0.6770833333333334	65.0	60.0	2.0	125.0	0.5118110236220472	2.9653784401319374	0.6141644063479537	0.15517788259850823
Bracken2.2	1	3.076543254686262	7290.902733807812	0.29654	0.9722222222222222	0.6086956521739131	0.7486631016042781	70.0	45.0	2.0	115.0	0.5982905982905983	3.1415041416549374	0.6620756749872816	0.151737194903546
Bracken2.2	2	3.1453800803449083	6699.8061684910845	0.3063600000000001	0.9705882352941176	0.5892857142857143	0.7333333333333333	66.0	46.0	2.0	112.0	0.5789473684210527	3.095737715277182	0.6560852931660213	0.15687921181458797
Bracken2.2	3	3.1209654021035367	7147.783754978378	0.3150300000000001	0.972972972972973	0.6	0.7422680412371134	72.0	48.0	2.0	120.0	0.5901639344262295	3.1987219214683633	0.6681415015056638	0.16169730068214364
Bracken2.2	4	3.1438680557441776	8125.760055918164	0.3333600000000001	0.96875	0.543859649122807	0.6966292134831461	62.0	52.0	2.0	114.0	0.5344827586206896	3.049311485773501	0.6438310216513783	0.1701302412934308
Bracken2.2	5	2.974935546089538	6713.913426133815	0.2953600000000002	0.9545454545454546	0.5384615384615384	0.6885245901639344	63.0	54.0	3.0	117.0	0.525	3.05792777010068	0.6421285345661248	0.15028901734104047
Bracken2.2	6	3.1696855694227417	7082.9198687675525	0.3227700000000002	0.9857142857142858	0.552	0.7076923076923077	69.0	56.0	1.0	125.0	0.5476190476190477	3.097673605216434	0.64156427559473	0.16359931675224162
Bracken2.2	7	3.2822937019626464	6940.938489087248	0.3411500000000002	0.9848484848484849	0.5701754385964912	0.7222222222222222	65.0	49.0	1.0	114.0	0.5652173913043478	3.03729598520391	0.6412940712468478	0.17300134384746066
Bracken2.2	8	3.152816649868664	6061.929913160568	0.30980000000000013	0.9583333333333334	0.6272727272727273	0.7582417582417583	69.0	41.0	3.0	110.0	0.6106194690265486	3.0176126253995363	0.6419796256059503	0.15715198798786614
Bracken2.2	9	3.1683301251798235	8924.884741094998	0.33561	0.967741935483871	0.47244094488188976	0.6349206349206349	60.0	67.0	2.0	127.0	0.46511627906976744	3.018367753079203	0.6230906649986183	0.16999022433381109
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	0.6458407300000002	0.5645161290322581	0.8536585365853658	0.6796116504854369	35.0	6.0	27.0	41.0	0.5147058823529411	2.5535889227914796	0.6876368296947362	0.3347232646249099
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	0.6958161500000002	0.4722222222222222	0.9444444444444444	0.6296296296296297	34.0	2.0	38.0	36.0	0.4594594594594595	2.6288437741898476	0.7335928229592207	0.35996212487590895
