tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	0.5302399999999942	0.94140625	0.1951417004048583	0.3232729711602951	241.0	994.0	15.0	1235.0	0.1928	4.573118683531238	0.6423978509285512	0.28066312379581204
Bracken2.2	1	3.076543254686262	7290.902733807812	0.48678999999999634	0.9366666666666666	0.25827205882352944	0.40489913544668593	281.0	807.0	19.0	1088.0	0.25383920505871727	4.925480895875377	0.7044354932753291	0.2558860789436335
Bracken2.2	2	3.1453800803449083	6699.8061684910845	0.5014199999999975	0.9562043795620438	0.26043737574552683	0.40937499999999993	262.0	744.0	12.0	1006.0	0.25736738703339884	4.851697654264806	0.7017474642426029	0.26485036076103147
Bracken2.2	3	3.1209654021035367	7147.783754978378	0.4891999999999985	0.9422572178477691	0.31326352530541013	0.47020301244269813	359.0	787.0	22.0	1146.0	0.3073630136986301	5.046933092034348	0.7164834641795883	0.26115180115735304
Bracken2.2	4	3.1438680557441776	8125.760055918164	0.4946799999999968	0.9458483754512635	0.21797004991680533	0.3542934415145369	262.0	940.0	15.0	1202.0	0.2152834839769926	4.692233535626471	0.661647513329454	0.2691901657542745
Bracken2.2	5	2.974935546089538	6713.913426133815	0.4784799999999994	0.945619335347432	0.2952830188679245	0.4500359453630482	313.0	747.0	18.0	1060.0	0.29035250463821893	4.718731869783025	0.6773924039077048	0.25817451924114565
Bracken2.2	6	3.1696855694227417	7082.9198687675525	0.5357899999999983	0.941717791411043	0.2808783165599268	0.43269908386187456	307.0	786.0	19.0	1093.0	0.2760791366906475	4.920616398856766	0.7032786053176714	0.2864007868417818
Bracken2.2	7	3.2822937019626464	6940.938489087248	0.5299899999999971	0.9397163120567376	0.2562862669245648	0.4027355623100304	265.0	769.0	17.0	1034.0	0.2521408182683159	4.753519623839426	0.6848277580828467	0.28434617922731487
Bracken2.2	8	3.152816649868664	6061.929913160568	0.5178899999999979	0.936231884057971	0.32791878172588834	0.48571428571428577	323.0	662.0	22.0	985.0	0.32075471698113206	4.803505442208887	0.696903406890606	0.277191104450451
Bracken2.2	9	3.1683301251798235	8924.884741094998	0.5017599999999975	0.9520295202952029	0.19664634146341464	0.32596336070751736	258.0	1054.0	13.0	1312.0	0.19471698113207547	4.787308764982724	0.6668203656004248	0.2767109689516351
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	1.047565020000002	0.2952029520295203	0.41450777202072536	0.3448275862068966	80.0	113.0	191.0	193.0	0.20833333333333334	4.32525128814032	0.8218707795604367	0.5889025799381558
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	1.0451231600000026	0.2463768115942029	0.4748603351955307	0.3244274809160306	85.0	94.0	260.0	179.0	0.19362186788154898	4.28272538226414	0.8256037901484	0.5730041180818262
CCMetagen1.1.3	7	5.632396696686068	2841.999310439999	1.0733212099999985	0.2730496453900709	0.36666666666666664	0.31300813008130085	77.0	133.0	205.0	210.0	0.1855421686746988	4.496141624735534	0.8408549106047709	0.5907173668525123
CCMetagen1.1.3	6	5.543644660000016	3514.9992401799987	1.1178966199999982	0.254601226993865	0.4068627450980392	0.3132075471698113	83.0	121.0	243.0	204.0	0.18568232662192394	4.5068674866403855	0.8474550201682428	0.6061359645320196
