tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.206349801987955	8586.810596782016	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
Bracken2.2	1	3.076543254686262	7290.902733807812	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
Bracken2.2	2	3.1453800803449083	6699.8061684910845	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
Bracken2.2	3	3.1209654021035367	7147.783754978378	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
Bracken2.2	4	3.1438680557441776	8125.760055918164	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
Bracken2.2	5	2.974935546089538	6713.913426133815	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
Bracken2.2	6	3.1696855694227417	7082.9198687675525	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
Bracken2.2	7	3.2822937019626464	6940.938489087248	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
Bracken2.2	8	3.152816649868664	6061.929913160568	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
Bracken2.2	9	3.1683301251798235	8924.884741094998	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
CCMetagen1.1.3	9	5.237296880000003	2685.999560429999	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
CCMetagen1.1.3	8	5.517099819999993	3796.9997302899974	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
CCMetagen1.1.3	7	5.632396696686068	2841.999310439999	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
CCMetagen1.1.3	6	5.543644660000016	3514.9992401799987	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
CCMetagen1.1.3	5	5.4197299599999855	3350.996880379998	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
CCMetagen1.1.3	2	5.559551580000015	2573.9996505099994	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
CCMetagen1.1.3	3	5.47092193999999	4016.996790449997	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
CCMetagen1.1.3	1	5.500731900000021	2593.9962202700017	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
CCMetagen1.1.3	0	5.63237197	2500.999690249999	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
CCMetagen1.1.3	4	5.420428529999995	2755.9987504599994	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
Centrifuge1.0.4	6	3.3292497219107355	2053.091556734694	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
Centrifuge1.0.4	9	3.266217702279818	1780.937037398302	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
Centrifuge1.0.4	8	3.271697010743134	1975.1181662786573	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
Centrifuge1.0.4	7	3.426201471900066	1745.9344920338983	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
Centrifuge1.0.4	5	3.069055206812641	1829.9478779694743	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
Centrifuge1.0.4	2	3.261121583799789	1763.9452810394032	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
Centrifuge1.0.4	3	3.2290950166481402	2215.1078169256375	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
Centrifuge1.0.4	1	3.25809649593586	1815.9417665271117	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
Centrifuge1.0.4	0	3.2788304304450193	1666.9861181179242	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
Centrifuge1.0.4	4	3.1588989619642507	1741.9258819544011	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
DuDes0.08	9	3.3438605000000083	2821.9995418	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
DuDes0.08	8	3.068057099999993	3800.999732499999	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
DuDes0.08	7	3.2419996999999867	2981.9993108999997	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
DuDes0.08	6	3.3486374999999886	3548.9991812999997	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
DuDes0.08	5	3.154710199999986	3441.9967408999987	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
DuDes0.08	3	3.262890399999984	4089.9968523999964	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
DuDes0.08	2	3.056035300000019	2698.9996100999997	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
DuDes0.08	1	3.143765800000006	2688.9960421000023	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
DuDes0.08	0	3.036250200000004	2645.9996731000015	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
DuDes0.08	4	3.0005777999999945	2964.9987933	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
FOCUS1.5	6	6.486404154312538	4022.4960725861947	1.537824231405076	0.0	0.0	na	0.0	117.0	510.0	117.0	0.0	2.605501972451915	0.5471244872878771	1.0
FOCUS1.5	9	6.213755586234293	3247.4488246222845	1.552286209166402	0.0	0.0	na	0.0	126.0	414.0	126.0	0.0	2.6712448516917604	0.5523343971847919	1.0
FOCUS1.5	8	6.250847279962513	4172.669240915489	1.5100926131610086	0.0	0.0	na	0.0	126.0	532.0	126.0	0.0	2.507822066753881	0.5185434006957366	1.0
FOCUS1.5	7	6.447985130963814	3446.1934270587644	1.5421061500071847	0.0	0.0	na	0.0	128.0	433.0	128.0	0.0	2.646952587604992	0.5455350530865617	1.0
FOCUS1.5	5	6.46430142253365	3812.1688382443263	1.582820154541438	0.0	0.0	na	0.0	126.0	504.0	126.0	0.0	2.714645443915098	0.5613083554978826	1.0
FOCUS1.5	1	6.377402980373664	3183.98389141721	1.56059303833492	0.0	0.0	na	0.0	133.0	450.0	133.0	0.0	2.748198264130039	0.561963612837055	1.0
FOCUS1.5	3	6.259491774419075	4501.67735008375	1.5262869447975225	0.0	0.0	na	0.0	133.0	605.0	133.0	0.0	2.560396451728926	0.523561076028931	1.0
FOCUS1.5	0	6.212117412606557	3095.0010437072438	1.4884395851980785	0.0	0.0	na	0.0	127.0	389.0	127.0	0.0	2.3678109359674324	0.48879427935110015	1.0
FOCUS1.5	4	6.319720593157494	3363.28233768591	1.5736147384100019	0.0	0.0	na	0.0	117.0	428.0	117.0	0.0	2.6503538319855546	0.5565428454049342	1.0
FOCUS1.5	2	6.447679791103184	3273.8577316809337	1.5048881658898032	0.0	0.0	na	0.0	126.0	429.0	126.0	0.0	2.460189248692196	0.5086943433045163	1.0
KSSD2.L3K10S18	0	2.7441519999999846	1605.9997350000008	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	1	2.594133999999959	1480.9977510000008	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	2	2.6113599999999595	1596.9996549999996	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	3	2.838439999999961	2566.9970850000013	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	4	2.7894109999999617	1801.9991210000012	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	6	2.7044819999999565	2208.9993170000007	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	7	2.5136699999999768	1890.999505000002	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	8	2.7945719999999645	2440.9998650000007	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	9	2.7842239999999836	1723.9996720000008	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	5	2.679897999999974	2238.997228000002	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	5	3.2161879999999994	2152.997291000002	na	0.0	0.0	na	0.0	0.0	504.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	8	2.7511019999999795	2381.9998530000007	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	7	2.5639989999999746	1691.9995280000014	na	0.0	0.0	na	0.0	0.0	433.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	6	2.6775249999999735	2131.999399000001	na	0.0	0.0	na	0.0	0.0	510.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	9	2.776149999999977	1618.9997169999995	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	4	2.8537909999999607	1698.9992050000008	na	0.0	0.0	na	0.0	0.0	428.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	2	2.5600899999999664	1491.9996800000001	na	0.0	0.0	na	0.0	0.0	429.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	1	2.578256999999961	1431.998121999999	na	0.0	0.0	na	0.0	0.0	450.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	0	2.700095999999982	1533.999751000001	na	0.0	0.0	na	0.0	0.0	389.0	0.0	0.0	na	na	na
KSSD2.L3K10S8	3	2.8892059999999575	2412.9972690000004	na	0.0	0.0	na	0.0	0.0	605.0	0.0	0.0	na	na	na
KSSD2.L3K11S18	9	2.6590949999999856	1602.9997550000005	na	0.0	0.0	na	0.0	0.0	414.0	0.0	0.0	na	na	na
KSSD2.L3K11S18	8	2.723655999999976	2164.999862000001	na	0.0	0.0	na	0.0	0.0	532.0	0.0	0.0	na	na	na
