rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	3.036250200000004	2645.9996731000015	0.03738779999999996	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.23892275948021052	0.3446926802576063	0.01869389999999998
superkingdom	0	3.036250200000004	2645.9996731000015	0.019000600000000124	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.43011344742728	0.6205225376229928	0.009500300000000062
superkingdom	1	3.036250200000004	2645.9996731000015	0.000688800000000036	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3667344716655519	0.5290860035949259	0.000344400000000018
superkingdom	2	3.036250200000004	2645.9996731000015	0.009341200000000036	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3920324295921921	0.5655832420403073	0.004670600000000018
superkingdom	3	3.036250200000004	2645.9996731000015	0.0006770000000000209	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.36126539784092043	0.5211957979098744	0.00033850000000001045
superkingdom	8	3.036250200000004	2645.9996731000015	0.010064399999999996	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3780955369399582	0.5454765561255276	0.005032199999999998
superkingdom	5	3.036250200000004	2645.9996731000015	0.03749419999999993	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2646548459124718	0.38181623374515583	0.018747099999999964
superkingdom	6	3.036250200000004	2645.9996731000015	0.07357020000000004	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2667734465885586	0.3848727284341703	0.03678510000000002
superkingdom	7	3.036250200000004	2645.9996731000015	0.033923599999999984	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3470130618494574	0.5006340234539074	0.016961799999999992
superkingdom	4	3.036250200000004	2645.9996731000015	0.003010999999999964	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2939977351698849	0.42414907456217976	0.001505499999999982
phylum	0	3.036250200000004	2645.9996731000015	0.10938370000000006	0.7058823529411765	1.0	0.8275862068965517	12.0	0.0	5.0	12.0	0.7058823529411765	1.1239778216409977	0.45232195009695425	0.05471539677100043
