rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	6.212117412606557	3095.0010437072438	0.032226126299606986	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.23441262447538988	0.33818593085241183	0.016376945913508776
superkingdom	0	6.212117412606557	3095.0010437072438	0.10417946445190478	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2979027882428827	0.42978287526500186	0.05306519289768422
superkingdom	1	6.212117412606557	3095.0010437072438	0.07030799759942886	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.27727128700741377	0.40001791074649634	0.035789164288818565
superkingdom	2	6.212117412606557	3095.0010437072438	0.08257274888738898	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2860701872869765	0.41271204054509797	0.04191882144892474
superkingdom	3	6.212117412606557	3095.0010437072438	0.06603762052191542	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2770061434588408	0.39963538946384636	0.03356241769846821
superkingdom	8	6.212117412606557	3095.0010437072438	0.0701544529525598	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.28190694752258727	0.4067057551829819	0.03563635873938136
superkingdom	5	6.212117412606557	3095.0010437072438	0.03487133484332972	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2547051862818641	0.367461909137545	0.017733030698698672
superkingdom	6	6.212117412606557	3095.0010437072438	0.06360418462372847	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2649476226371845	0.38223862127398656	0.0324166590577765
superkingdom	7	6.212117412606557	3095.0010437072438	0.08684629939018113	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.27517200326641766	0.39698928450394244	0.04423270516844187
superkingdom	4	6.212117412606557	3095.0010437072438	0.030394860473348367	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.24879620273366404	0.3589370478758623	0.015418841097407453
phylum	0	6.212117412606557	3095.0010437072438	0.3419948632311962	0.8235294117647058	0.6666666666666666	0.7368421052631577	14.0	7.0	3.0	21.0	0.5833333333333334	1.5058066726552481	0.49459536050627123	0.16369961816987572
phylum	8	6.212117412606557	3095.0010437072438	0.26495575438741265	0.5652173913043478	0.7647058823529411	0.65	13.0	4.0	10.0	17.0	0.48148148148148145	1.479521987153345	0.5222063457583336	0.12895954154874217
phylum	7	6.212117412606557	3095.0010437072438	0.2704255711110064	0.6	0.7058823529411765	0.6486486486486486	12.0	5.0	8.0	17.0	0.48	1.510429344563512	0.5331152868287289	0.1306030963583323
phylum	6	6.212117412606557	3095.0010437072438	0.2562772117900527	0.6363636363636364	0.7368421052631579	0.6829268292682926	14.0	5.0	8.0	19.0	0.5185185185185185	1.5279535641928597	0.5189285887749718	0.12435040861564425
phylum	5	6.212117412606557	3095.0010437072438	0.22168646493206767	0.6	0.7058823529411765	0.6486486486486486	12.0	5.0	8.0	17.0	0.48	1.5056513607171833	0.5314288681704403	0.10738699354220578
phylum	4	6.212117412606557	3095.0010437072438	0.2754563656155703	0.5555555555555556	0.5555555555555556	0.5555555555555556	10.0	8.0	8.0	18.0	0.38461538461538464	1.5257997171632787	0.5278904739485392	0.13164381020745478
phylum	3	6.212117412606557	3095.0010437072438	0.2717294015973886	0.5909090909090909	0.7222222222222222	0.65	13.0	5.0	9.0	18.0	0.48148148148148145	1.5444855410683906	0.5343553253483857	0.13098130566334987
phylum	2	6.212117412606557	3095.0010437072438	0.30447371690642944	0.6363636363636364	0.7	0.6666666666666666	14.0	6.0	8.0	20.0	0.5	1.533755249564663	0.5119800801642032	0.14622520084436935
phylum	1	6.212117412606557	3095.0010437072438	0.29087910655824845	0.6190476190476191	0.6842105263157895	0.6500000000000001	13.0	6.0	8.0	19.0	0.48148148148148145	1.5342224754584102	0.5210576569301982	0.140219195499969
phylum	9	6.212117412606557	3095.0010437072438	0.24475674994303356	0.6666666666666666	0.7777777777777778	0.717948717948718	14.0	4.0	7.0	18.0	0.56	1.5312136705290562	0.5297635732656036	0.11770396596489621
class	0	6.212117412606557	3095.0010437072438	0.30173217553209125	0.6	0.6	0.6	15.0	10.0	10.0	25.0	0.42857142857142855	1.62696992928095	0.5054466272701177	0.16476312988192246
class	9	6.212117412606557	3095.0010437072438	0.26357263391968966	0.5862068965517241	0.68	0.6296296296296295	17.0	8.0	12.0	25.0	0.4594594594594595	1.7769155316739729	0.552029847795303	0.14229792491723325
class	1	6.212117412606557	3095.0010437072438	0.28330734740569574	0.5483870967741935	0.68	0.6071428571428571	17.0	8.0	14.0	25.0	0.4358974358974359	1.8089515349972853	0.5619823918095238	0.1536440365078281
