rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	2.723655999999976	2164.999862000001	0.013449999999999997	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.26982533319507784	0.389275670106751	0.006724999999999998
superkingdom	0	2.723655999999976	2164.999862000001	0.0344799999999999	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3817411320340076	0.5507360380888018	0.01723999999999995
superkingdom	1	2.723655999999976	2164.999862000001	0.03864200000000006	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.32560779295099374	0.4697527481651991	0.01932100000000003
superkingdom	2	2.723655999999976	2164.999862000001	0.023913999999999883	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3596153361980054	0.5188152621604797	0.011956999999999942
superkingdom	3	2.723655999999976	2164.999862000001	0.025482000000000032	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.33399716427300874	0.4818560525676462	0.012741000000000016
superkingdom	8	2.723655999999976	2164.999862000001	0.028927999999999957	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3384661911601655	0.48830349549534674	0.014463999999999979
superkingdom	5	2.723655999999976	2164.999862000001	0.039658	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.26191747575615554	0.37786704339556093	0.019829
superkingdom	6	2.723655999999976	2164.999862000001	0.01696200000000003	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3326173722988551	0.4798654335290763	0.008481000000000015
superkingdom	7	2.723655999999976	2164.999862000001	0.021670000000000016	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.35961939084201333	0.5188211117752826	0.010835000000000006
superkingdom	4	2.723655999999976	2164.999862000001	0.02381	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2687521805502445	0.3877274381079331	0.011905
phylum	0	2.723655999999976	2164.999862000001	0.10809399999999998	0.8823529411764706	0.9375	0.9090909090909091	15.0	1.0	2.0	16.0	0.8333333333333334	1.1048745895250942	0.3984992727780206	0.054070250207589265
phylum	8	2.723655999999976	2164.999862000001	0.1325980000000001	0.8695652173913043	1.0	0.9302325581395349	20.0	0.0	3.0	20.0	0.8695652173913043	0.9852933273419784	0.3288989927571446	0.0662993977963868
phylum	7	2.723655999999976	2164.999862000001	0.09586600000000006	0.9	1.0	0.9473684210526316	18.0	0.0	2.0	18.0	0.9	1.10335377175171	0.3817342072823241	0.04793323966619837
phylum	6	2.723655999999976	2164.999862000001	0.0937330000000001	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	2.0	21.0	0.8695652173913043	1.1958115075635976	0.39277473956072384	0.04686628910169909
phylum	5	2.723655999999976	2164.999862000001	0.22609000000000012	0.9	0.9473684210526315	0.9230769230769231	18.0	1.0	2.0	19.0	0.8571428571428571	1.2921935192716887	0.438858990936706	0.1130456782740697
phylum	4	2.723655999999976	2164.999862000001	0.0985150000000001	0.9444444444444444	0.9444444444444444	0.9444444444444444	17.0	1.0	1.0	18.0	0.8947368421052632	1.1102367589407023	0.38411555742186543	0.04925747537126235
phylum	3	2.723655999999976	2164.999862000001	0.12425700000000002	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	2.0	21.0	0.8695652173913043	1.1157843442557487	0.3664891184346434	0.06212797191223876
phylum	2	2.723655999999976	2164.999862000001	0.12028300000000006	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	2.0	21.0	0.8695652173913043	1.1250265632101024	0.36952480601566995	0.06014116922356931
phylum	1	2.723655999999976	2164.999862000001	0.11808099999999996	0.9047619047619048	0.95	0.9268292682926829	19.0	1.0	2.0	20.0	0.8636363636363636	1.1673859094149979	0.3896829899389067	0.05905050906128587
phylum	9	2.723655999999976	2164.999862000001	0.07121499999999995	0.9047619047619048	1.0	0.9500000000000001	19.0	0.0	2.0	19.0	0.9047619047619048	1.2233376622285346	0.41547393947856814	0.03560748219625889
class	0	2.723655999999976	2164.999862000001	0.13778	1.0	0.9259259259259259	0.9615384615384615	25.0	2.0	0.0	27.0	0.9259259259259259	1.5668623011942124	0.4754065097565889	0.07123159626398601
class	9	2.723655999999976	2164.999862000001	0.10100099999999998	1.0	0.9354838709677419	0.9666666666666666	29.0	2.0	0.0	31.0	0.9354838709677419	1.8222958835600638	0.5306647273408459	0.052114458729627174
class	1	2.723655999999976	2164.999862000001	0.11833500000000001	1.0	0.9117647058823529	0.9538461538461539	31.0	3.0	0.0	34.0	0.9117647058823529	1.7560821924653958	0.49798714005753636	0.061470523913688284
class	2	2.723655999999976	2164.999862000001	0.12300000000000001	1.0	0.9032258064516129	0.9491525423728813	28.0	3.0	0.0	31.0	0.9032258064516129	1.719229877462257	0.5006512182738372	0.0631438231480122
class	3	2.723655999999976	2164.999862000001	0.13390499999999997	1.0	0.9117647058823529	0.9538461538461539	31.0	3.0	0.0	34.0	0.9117647058823529	1.7898093575886402	0.5075514386843524	0.06894937739337832
class	4	2.723655999999976	2164.999862000001	0.12703200000000003	1.0	0.9310344827586207	0.9642857142857143	27.0	2.0	0.0	29.0	0.9310344827586207	1.8064662749389555	0.5364738847273219	0.06501152512395139
class	5	2.723655999999976	2164.999862000001	0.215295	0.9655172413793104	0.9032258064516129	0.9333333333333333	28.0	3.0	1.0	31.0	0.875	1.868606774491983	0.5441507679619153	0.11200837819235193
class	6	2.723655999999976	2164.999862000001	0.11564800000000007	0.9666666666666667	0.90625	0.9354838709677419	29.0	3.0	1.0	32.0	0.8787878787878788	1.7293666629918332	0.4989897417154026	0.060908529764324974
class	7	2.723655999999976	2164.999862000001	0.10418399999999998	1.0	0.9333333333333333	0.9655172413793104	28.0	2.0	0.0	30.0	0.9333333333333333	1.6508321836277509	0.4853679449855962	0.05439917793456058
class	8	2.723655999999976	2164.999862000001	0.138296	0.9666666666666667	0.90625	0.9354838709677419	29.0	3.0	1.0	32.0	0.8787878787878788	1.5258960741513654	0.44028053981802256	0.07115814647991103
order	8	2.723655999999976	2164.999862000001	0.2580730000000001	0.9583333333333334	0.8734177215189873	0.913907284768212	69.0	10.0	3.0	79.0	0.8414634146341463	2.8406794632721186	0.6501232098852606	0.1309866954146815
order	7	2.723655999999976	2164.999862000001	0.24317499999999995	0.9696969696969697	0.9014084507042254	0.9343065693430657	64.0	7.0	2.0	71.0	0.8767123287671232	2.887701285680391	0.6774379894754651	0.12363633960170976
