rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	5.718556264932962	2909.999650000002	0.23762910498400003	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.2068480743860714	0.0	0.13483490090310568
superkingdom	0	5.718556264932962	2909.999650000002	0.20201998784700004	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.18008152926812723	0.0	0.11235941805887496
superkingdom	1	5.718556264932962	2909.999650000002	0.23912000000000003	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.11956000000000003
superkingdom	2	5.718556264932962	2909.999650000002	0.2566399999999999	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.12831999999999996
superkingdom	3	5.718556264932962	2909.999650000002	0.23367999999999994	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.11683999999999997
superkingdom	8	5.718556264932962	2909.999650000002	0.24129999999999996	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.12064999999999998
superkingdom	5	5.718556264932962	2909.999650000002	0.18611999999999995	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.09305999999999996
superkingdom	6	5.718556264932962	2909.999650000002	0.22388000000000005	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.11194000000000004
superkingdom	7	5.718556264932962	2909.999650000002	0.25439999999999996	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.12719999999999998
superkingdom	4	5.718556264932962	2909.999650000002	0.45034612778700006	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.32894944126854686	0.0	0.29061078468050316
phylum	0	5.718556264932962	2909.999650000002	0.27427972152283997	0.47058823529411764	1.0	0.6399999999999999	8.0	0.0	9.0	8.0	0.47058823529411764	0.650171725095086	0.31266650784030103	0.1526218169448741
phylum	8	5.718556264932962	2909.999650000002	0.505231443212253	0.34782608695652173	1.0	0.5161290322580645	8.0	0.0	15.0	8.0	0.34782608695652173	0.2736625136586476	0.13160385044417972	0.2526169846910819
phylum	7	5.718556264932962	2909.999650000002	0.34897000000050005	0.2	1.0	0.33333333333333337	4.0	0.0	16.0	4.0	0.2	0.8126186174824872	0.5861804247880149	0.17448587242956856
phylum	6	5.718556264932962	2909.999650000002	0.33059226601011	0.2727272727272727	1.0	0.42857142857142855	6.0	0.0	16.0	6.0	0.2727272727272727	0.7823526425230054	0.43663932350253853	0.1652953065285017
phylum	5	5.718556264932962	2909.999650000002	0.22825000000014	0.4	1.0	0.5714285714285715	8.0	0.0	12.0	8.0	0.4	0.9821769021214751	0.4723272486554457	0.11491811330307058
phylum	4	5.718556264932962	2909.999650000002	0.48260620136423016	0.3333333333333333	1.0	0.5	6.0	0.0	12.0	6.0	0.3333333333333333	0.7781513863690006	0.43429455779812465	0.3114283841171488
phylum	3	5.718556264932962	2909.999650000002	0.3262323809525	0.18181818181818182	1.0	0.3076923076923077	4.0	0.0	18.0	4.0	0.18181818181818182	0.751590049173852	0.5421576183623042	0.16311455933064847
phylum	2	5.718556264932962	2909.999650000002	0.3523640394978	0.4090909090909091	1.0	0.5806451612903226	9.0	0.0	13.0	9.0	0.4090909090909091	0.9444689863064696	0.42984635983431696	0.1766568731066055
phylum	1	5.718556264932962	2909.999650000002	0.3250960264903299	0.42857142857142855	1.0	0.6	9.0	0.0	12.0	9.0	0.42857142857142855	0.8466303774581435	0.38531809000814393	0.16393294262873292
phylum	9	5.718556264932962	2909.999650000002	0.26700122451023006	0.3333333333333333	1.0	0.5	7.0	0.0	14.0	7.0	0.3333333333333333	0.6100338738790355	0.3134953965758339	0.1515754864350685
class	0	5.718556264932962	2909.999650000002	0.40847246061395404	0.56	1.0	0.717948717948718	14.0	0.0	11.0	14.0	0.56	0.8903078349687883	0.33735827750986525	0.23583906103612842
class	9	5.718556264932962	2909.999650000002	0.3229572205941029	0.4482758620689655	0.9285714285714286	0.6046511627906977	13.0	1.0	16.0	14.0	0.43333333333333335	1.0382661314761492	0.39342310597985963	0.19526848784433387
class	1	5.718556264932962	2909.999650000002	0.34615476821127006	0.3870967741935484	0.9230769230769231	0.5454545454545454	12.0	1.0	19.0	13.0	0.375	1.5068315891777921	0.5874703080567111	0.1809926543518304
class	2	5.718556264932962	2909.999650000002	0.40623671454248994	0.5357142857142857	0.9375	0.6818181818181818	15.0	1.0	13.0	16.0	0.5172413793103449	1.7130308204558797	0.6178452673904125	0.208519854458052
class	3	5.718556264932962	2909.999650000002	0.4443309523813	0.25806451612903225	1.0	0.41025641025641024	8.0	0.0	23.0	8.0	0.25806451612903225	1.5140846463051225	0.7281208035701735	0.22954293135114834
class	4	5.718556264932962	2909.999650000002	0.452343575759969	0.4444444444444444	1.0	0.6153846153846153	12.0	0.0	15.0	12.0	0.4444444444444444	1.0915602790042156	0.43927617123860246	0.29805006298146125
class	5	5.718556264932962	2909.999650000002	0.4267548275858	0.41379310344827586	0.9230769230769231	0.5714285714285715	12.0	1.0	17.0	13.0	0.4	1.5977561556378568	0.6229191820064293	0.22390046544412145
class	6	5.718556264932962	2909.999650000002	0.36524014778334996	0.36666666666666664	1.0	0.5365853658536585	11.0	0.0	19.0	11.0	0.36666666666666664	1.498249278472017	0.6248184795508368	0.18988057873720973
class	7	5.718556264932962	2909.999650000002	0.7797362191205001	0.2857142857142857	1.0	0.4444444444444445	8.0	0.0	20.0	8.0	0.2857142857142857	1.6646409658104269	0.8005230887451058	0.42860640609655054
class	8	5.718556264932962	2909.999650000002	0.6184602712708789	0.4666666666666667	1.0	0.6363636363636364	14.0	0.0	16.0	14.0	0.4666666666666667	0.5724544701976563	0.21691626921993126	0.31986375701042774
order	8	5.718556264932962	2909.999650000002	0.8427067983596657	0.4166666666666667	0.967741935483871	0.5825242718446602	30.0	1.0	42.0	31.0	0.410958904109589	1.3396015557426248	0.39010091650690054	0.43735242401909485
order	7	5.718556264932962	2909.999650000002	0.9397281118959999	0.2727272727272727	1.0	0.42857142857142855	18.0	0.0	48.0	18.0	0.2727272727272727	2.5255223612962374	0.8737707716652018	0.5055184057994422
order	6	5.718556264932962	2909.999650000002	0.7924874384239098	0.34285714285714286	1.0	0.5106382978723404	24.0	0.0	46.0	24.0	0.34285714285714286	2.5604976989695687	0.8056810348895932	0.4130286225651931
order	4	5.718556264932962	2909.999650000002	0.536410787610177	0.375	0.96	0.5393258426966292	24.0	1.0	40.0	25.0	0.36923076923076925	1.5331591242137235	0.4763026620564028	0.3696523538474132
order	9	5.718556264932962	2909.999650000002	0.5848910619949893	0.43548387096774194	0.9310344827586207	0.5934065934065935	27.0	2.0	35.0	29.0	0.421875	1.7263884790048283	0.5126928449918114	0.35391535683833014
order	2	5.718556264932962	2909.999650000002	0.8256815260327396	0.4264705882352941	1.0	0.5979381443298969	29.0	0.0	39.0	29.0	0.4264705882352941	2.773284134893939	0.8235938494614174	0.4360324482634403
order	1	5.718556264932962	2909.999650000002	0.6974943708616899	0.4027777777777778	1.0	0.5742574257425743	29.0	0.0	43.0	29.0	0.4027777777777778	2.736998701702008	0.8128180118089007	0.36940332652119073
order	0	5.718556264932962	2909.999650000002	0.632571319350423	0.4626865671641791	1.0	0.6326530612244898	31.0	0.0	36.0	31.0	0.4626865671641791	1.5331332593171636	0.446458640648029	0.36786758263962505
order	3	5.718556264932962	2909.999650000002	0.7903090476194997	0.28378378378378377	1.0	0.4421052631578947	21.0	0.0	53.0	21.0	0.28378378378378377	2.6921989147007563	0.8842762599949433	0.41065244947854956
order	5	5.718556264932962	2909.999650000002	0.7471355172421901	0.3939393939393939	1.0	0.5652173913043478	26.0	0.0	40.0	26.0	0.3939393939393939	2.555472701797268	0.7843452985432743	0.4027760350182807
family	0	5.718556264932962	2909.999650000002	0.6407739051222703	0.3577981651376147	0.975	0.5234899328859061	39.0	1.0	70.0	40.0	0.35454545454545455	1.874906266046007	0.5082590226566124	0.37496175323887443
