rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	2.1571510999999988	1520.0785546000002	0.016646800000000024	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.30581874019475264	0.44120317988987995	0.008323400000000012
superkingdom	0	2.1571510999999988	1520.0785546000002	0.029161799999999988	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4386584710404378	0.6328504008139746	0.014580899999999994
superkingdom	1	2.1571510999999988	1520.0785546000002	0.02133399999999998	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3868179962372445	0.5580604048980784	0.01066699999999999
superkingdom	2	2.1571510999999988	1520.0785546000002	0.028228200000000037	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.409357595866382	0.5905781735066578	0.014114100000000017
superkingdom	3	2.1571510999999988	1520.0785546000002	0.022999000000000044	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3832179303506217	0.5528666076965741	0.011499500000000022
superkingdom	8	2.1571510999999988	1520.0785546000002	0.02195940000000004	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38947299877116637	0.5618907638873151	0.01097970000000002
superkingdom	5	2.1571510999999988	1520.0785546000002	0.0162004000000001	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3276247407694167	0.4726625887805697	0.00810020000000005
superkingdom	6	2.1571510999999988	1520.0785546000002	0.02047279999999999	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.37123900467121795	0.5355846710237209	0.010236399999999994
superkingdom	7	2.1571510999999988	1520.0785546000002	0.028058200000000044	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4071883996469371	0.5874486848781495	0.014029100000000023
superkingdom	4	2.1571510999999988	1520.0785546000002	0.024916599999999976	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.32575985016086284	0.4699721203478086	0.012458299999999988
phylum	0	2.1571510999999988	1520.0785546000002	0.04133219999999989	0.9411764705882353	0.9411764705882353	0.9411764705882353	16.0	1.0	1.0	17.0	0.8888888888888888	1.306936022869431	0.46129107277122117	0.02067499024580564
phylum	8	2.1571510999999988	1520.0785546000002	0.05033000000000001	0.9130434782608695	0.9545454545454546	0.9333333333333332	21.0	1.0	2.0	22.0	0.875	1.1928709971105638	0.38591220117813285	0.02516512582562913
phylum	7	2.1571510999999988	1520.0785546000002	0.07033570000000001	0.95	1.0	0.9743589743589743	19.0	0.0	1.0	19.0	0.95	1.2175656931748247	0.4135136444632699	0.03516802759853939
phylum	6	2.1571510999999988	1520.0785546000002	0.0693579	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	2.0	21.0	0.8695652173913043	1.269168912936869	0.4168696204078249	0.034678774872186895
phylum	5	2.1571510999999988	1520.0785546000002	0.09198539999999998	0.95	0.95	0.9500000000000001	19.0	1.0	1.0	20.0	0.9047619047619048	1.2234929173380225	0.4084119693000904	0.04599292996464981
phylum	4	2.1571510999999988	1520.0785546000002	0.08154930000000002	1.0	0.9473684210526315	0.972972972972973	18.0	1.0	0.0	19.0	0.9473684210526315	1.2206812925398767	0.41457177451354316	0.040774647961267604
phylum	3	2.1571510999999988	1520.0785546000002	0.06277300000000002	0.9545454545454546	0.9545454545454546	0.9545454545454546	21.0	1.0	1.0	22.0	0.9130434782608695	1.3097403204449303	0.42372123327582917	0.03138618613813863
phylum	2	2.1571510999999988	1520.0785546000002	0.06054849999999999	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	2.0	21.0	0.8695652173913043	1.3076589389059854	0.42951200579221305	0.03027409711580957
phylum	1	2.1571510999999988	1520.0785546000002	0.05776289999999993	0.9523809523809523	0.9523809523809523	0.9523809523809523	20.0	1.0	1.0	21.0	0.9090909090909091	1.3354837906327588	0.4386513214963797	0.028886362125879476
phylum	9	2.1571510999999988	1520.0785546000002	0.07872100000000003	0.9523809523809523	0.9523809523809523	0.9523809523809523	20.0	1.0	1.0	21.0	0.9090909090909091	1.2403887744479611	0.4074165324186201	0.039360500000000014
class	0	2.1571510999999988	1520.0785546000002	0.14309900000000006	0.96	0.8888888888888888	0.923076923076923	24.0	3.0	1.0	27.0	0.8571428571428571	2.042810569164951	0.6198154375406115	0.07210368895329503
class	9	2.1571510999999988	1520.0785546000002	0.15520219999999996	0.9655172413793104	0.9032258064516129	0.9333333333333333	28.0	3.0	1.0	31.0	0.875	2.11349334847759	0.6154633732231578	0.07753779039414319
class	1	2.1571510999999988	1520.0785546000002	0.1492444	0.967741935483871	0.8823529411764706	0.923076923076923	30.0	4.0	1.0	34.0	0.8571428571428571	2.170381777763739	0.6154735917139333	0.07500744574207588
class	2	2.1571510999999988	1520.0785546000002	0.14171520000000004	0.9642857142857143	0.8709677419354839	0.9152542372881356	27.0	4.0	1.0	31.0	0.84375	2.124795360932954	0.618754594704881	0.07062553156582782
class	3	2.1571510999999988	1520.0785546000002	0.15436990000000003	0.967741935483871	0.8823529411764706	0.923076923076923	30.0	4.0	1.0	34.0	0.8571428571428571	2.234895038316589	0.6337681648588253	0.07700626082207544
class	4	2.1571510999999988	1520.0785546000002	0.1779167	1.0	0.9	0.9473684210526316	27.0	3.0	0.0	30.0	0.9	2.2286937160017883	0.6552673855442732	0.08795559030384344
class	5	2.1571510999999988	1520.0785546000002	0.165797	0.9655172413793104	0.875	0.9180327868852458	28.0	4.0	1.0	32.0	0.8484848484848485	2.1545660930597688	0.6216763635449675	0.08331829925077501
class	6	2.1571510999999988	1520.0785546000002	0.14354950000000005	0.9666666666666667	0.8787878787878788	0.9206349206349207	29.0	4.0	1.0	33.0	0.8529411764705882	2.078895018123561	0.5945632839563046	0.07282658805257274
class	7	2.1571510999999988	1520.0785546000002	0.15644500000000006	0.9642857142857143	0.9	0.9310344827586207	27.0	3.0	1.0	30.0	0.8709677419354839	2.0361008194266104	0.5986423576603995	0.07841458436586266
class	8	2.1571510999999988	1520.0785546000002	0.11206769999999995	0.9666666666666667	0.8787878787878788	0.9206349206349207	29.0	4.0	1.0	33.0	0.8529411764705882	1.9439905931880406	0.5559806632801062	0.056343664088540434
order	8	2.1571510999999988	1520.0785546000002	0.1620189	0.9722222222222222	0.9090909090909091	0.9395973154362416	70.0	7.0	2.0	77.0	0.8860759493670886	2.9546438621939273	0.6801971025979006	0.08245644097731242
order	7	2.1571510999999988	1520.0785546000002	0.1685356	0.9696969696969697	0.9411764705882353	0.955223880597015	64.0	4.0	2.0	68.0	0.9142857142857143	3.0265987978289592	0.7172871835537127	0.08598877943154291
order	6	2.1571510999999988	1520.0785546000002	0.15195780000000003	0.9714285714285714	0.9315068493150684	0.9510489510489512	68.0	5.0	2.0	73.0	0.9066666666666666	3.1074151916768233	0.724261640111225	0.07732260448854145
order	4	2.1571510999999988	1520.0785546000002	0.21057449999999997	0.96875	0.96875	0.96875	62.0	2.0	2.0	64.0	0.9393939393939394	3.1176436948565938	0.7496348496380588	0.10801848109162966
order	9	2.1571510999999988	1520.0785546000002	0.1785245	0.967741935483871	0.9230769230769231	0.9448818897637796	60.0	5.0	2.0	65.0	0.8955223880597015	3.0798455633382815	0.737795840254007	0.09075041616191029
order	2	2.1571510999999988	1520.0785546000002	0.1842916	0.9852941176470589	0.9305555555555556	0.9571428571428572	67.0	5.0	1.0	72.0	0.9178082191780822	3.0303243173013685	0.7085716380399982	0.0951255213431035
