rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	5.101168436815192	2805.45255531775	0.24769999999999986	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.39903087774580237	0.5756798684854393	0.14135707356046331
superkingdom	0	5.101168436815192	2805.45255531775	0.1786000000000001	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4320408633479177	0.6233032110134272	0.09805644010102126
superkingdom	1	5.101168436815192	2805.45255531775	0.18009999999999995	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4080945268298861	0.5887559500714048	0.09896148140007689
superkingdom	2	5.101168436815192	2805.45255531775	0.19819999999999993	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4327200051043669	0.6242830054575171	0.11000111000110996
superkingdom	3	5.101168436815192	2805.45255531775	0.21989999999999996	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4227009392737071	0.6098285488692842	0.12353238582102127
superkingdom	8	5.101168436815192	2805.45255531775	0.21750000000000008	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4297500779243127	0.6199983062430515	0.12201963534361855
superkingdom	5	5.101168436815192	2805.45255531775	0.2661000000000001	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4145617273858306	0.5980861482419002	0.15346905819251405
superkingdom	6	5.101168436815192	2805.45255531775	0.24259999999999984	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4225889242090932	0.6096669452910608	0.13804483896665518
superkingdom	7	5.101168436815192	2805.45255531775	0.20509999999999984	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4069922469388919	0.5871656963389957	0.11426820435678858
superkingdom	4	5.101168436815192	2805.45255531775	0.2295000000000001	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.39336137919739556	0.5675005110453256	0.1296243998870376
phylum	0	5.101168436815192	2805.45255531775	0.19554	0.7647058823529411	1.0	0.8666666666666666	13.0	0.0	4.0	13.0	0.7647058823529411	1.272387463829643	0.496067284965381	0.09482842233904293
phylum	8	5.101168436815192	2805.45255531775	0.16311000000000003	0.6086956521739131	0.9333333333333333	0.7368421052631579	14.0	1.0	9.0	15.0	0.5833333333333334	1.264452715207478	0.46692366141987696	0.0797685825928335
phylum	7	5.101168436815192	2805.45255531775	0.19609000000000004	0.7	1.0	0.8235294117647058	14.0	0.0	6.0	14.0	0.7	1.2516688421636906	0.474286340094843	0.09559816496765297
phylum	6	5.101168436815192	2805.45255531775	0.17709	0.6818181818181818	0.9375	0.7894736842105263	15.0	1.0	7.0	16.0	0.6521739130434783	1.3183847846881025	0.47550679771324733	0.08641866865767785
phylum	5	5.101168436815192	2805.45255531775	0.15041000000000007	0.75	1.0	0.8571428571428571	15.0	0.0	5.0	15.0	0.75	1.3098305011420188	0.4836802879831775	0.07339973355325766
phylum	4	5.101168436815192	2805.45255531775	0.1783599999999999	0.6666666666666666	0.8571428571428571	0.75	12.0	2.0	6.0	14.0	0.6	1.3814109380843274	0.5234486278802135	0.0861060152553828
phylum	3	5.101168436815192	2805.45255531775	0.18181999999999998	0.6363636363636364	1.0	0.7777777777777778	14.0	0.0	8.0	14.0	0.6363636363636364	1.3723897551383781	0.5200302925357273	0.0882227354773596
