rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	4.931105213385547	5934.579600962623	0.0965	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.04963225839633802
superkingdom	0	4.931105213385547	5934.579600962623	0.055700000000000055	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.02864784241115057
superkingdom	1	4.931105213385547	5934.579600962623	0.055699999999999965	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.028647842411150523
superkingdom	2	4.931105213385547	5934.579600962623	0.055700000000000076	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.02864784241115058
superkingdom	3	4.931105213385547	5934.579600962623	0.05570000000000002	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.02864784241115055
superkingdom	8	4.931105213385547	5934.579600962623	0.05570000000000002	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.028647842411150558
superkingdom	5	4.931105213385547	5934.579600962623	0.07658000000000006	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.039386925885922984
superkingdom	6	4.931105213385547	5934.579600962623	0.055699999999999986	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.028647842411150534
superkingdom	7	4.931105213385547	5934.579600962623	0.05570000000000002	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.02864784241115055
superkingdom	4	4.931105213385547	5934.579600962623	0.08700000000000006	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.38055295653946775	0.5490218631951234	0.04474618114488508
phylum	0	4.931105213385547	5934.579600962623	0.14671999999999982	0.8823529411764706	0.5769230769230769	0.6976744186046512	15.0	11.0	2.0	26.0	0.5357142857142857	1.3426583535501333	0.4120990086946529	0.07339522971026083
phylum	8	4.931105213385547	5934.579600962623	0.22904999999999995	0.782608695652174	0.6923076923076923	0.7346938775510203	18.0	8.0	5.0	26.0	0.5806451612903226	1.3426583535501333	0.4120990086946529	0.1145312992214571
phylum	7	4.931105213385547	5934.579600962623	0.1927099999999998	0.8	0.6153846153846154	0.6956521739130435	16.0	10.0	4.0	26.0	0.5333333333333333	1.3426583535501333	0.4120990086946529	0.09636029981648982
phylum	6	4.931105213385547	5934.579600962623	0.2171299999999999	0.8181818181818182	0.6923076923076923	0.7500000000000001	18.0	8.0	4.0	26.0	0.6	1.3426583535501333	0.4120990086946529	0.10856988564485393
phylum	5	4.931105213385547	5934.579600962623	0.22869000000000014	0.8	0.6153846153846154	0.6956521739130435	16.0	10.0	4.0	26.0	0.5333333333333333	1.3426583535501333	0.4120990086946529	0.11435128932091271
phylum	4	4.931105213385547	5934.579600962623	0.1906600000000001	0.8333333333333334	0.5769230769230769	0.6818181818181818	15.0	11.0	3.0	26.0	0.5172413793103449	1.3426583535501333	0.4120990086946529	0.09533476673833695
phylum	3	4.931105213385547	5934.579600962623	0.1584200000000001	0.7727272727272727	0.6538461538461539	0.7083333333333333	17.0	9.0	5.0	26.0	0.5483870967741935	1.3426583535501333	0.4120990086946529	0.07921316852674111
phylum	2	4.931105213385547	5934.579600962623	0.13368999999999984	0.7727272727272727	0.6538461538461539	0.7083333333333333	17.0	9.0	5.0	26.0	0.5483870967741935	1.3426583535501333	0.4120990086946529	0.06684800816036712
phylum	1	4.931105213385547	5934.579600962623	0.1232399999999999	0.7619047619047619	0.6153846153846154	0.6808510638297872	16.0	10.0	5.0	26.0	0.5161290322580645	1.3426583535501333	0.4120990086946529	0.06163355938306423
phylum	9	4.931105213385547	5934.579600962623	0.22674000000000005	0.7619047619047619	0.6153846153846154	0.6808510638297872	16.0	10.0	5.0	26.0	0.5161290322580645	1.3426583535501333	0.4120990086946529	0.11337566878343915
class	0	4.931105213385547	5934.579600962623	0.23024999999999998	0.84	0.44680851063829785	0.5833333333333334	21.0	26.0	4.0	47.0	0.4117647058823529	1.8063833766468866	0.46917250025546403	0.12097091969422334
class	9	4.931105213385547	5934.579600962623	0.44399	0.7931034482758621	0.48936170212765956	0.6052631578947368	23.0	24.0	6.0	47.0	0.4339622641509434	1.8063833766468866	0.46917250025546403	0.2329396704144216
class	1	4.931105213385547	5934.579600962623	0.28397	0.8387096774193549	0.5531914893617021	0.6666666666666666	26.0	21.0	5.0	47.0	0.5	1.8063833766468866	0.46917250025546403	0.1497281935283169
