tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Commonkmers	0	3.1973788456813796	651.999984	0.3759804334821306	0.5	0.6666666666666666	0.5714285714285715	4.0	2.0	4.0	6.0	0.4	0.574860285311027	0.32083563401436604	0.2242995362005431
Commonkmers	4	3.132916532580508	645.999995	0.34644800803476195	0.7	0.7777777777777778	0.7368421052631577	7.0	2.0	3.0	9.0	0.5833333333333334	1.3539888809489997	0.6162268959281773	0.18218964324646914
Commonkmers	40	3.2732199663102874	2251.999859999999	0.31454604478463255	0.5833333333333334	0.875	0.7000000000000001	7.0	1.0	5.0	8.0	0.5384615384615384	1.0942280791752665	0.526212474475871	0.15727302239231628
Commonkmers	41	3.063004074233239	1134.999975	0.37249052821485784	0.6923076923076923	0.8181818181818182	0.7500000000000001	9.0	2.0	4.0	11.0	0.6	1.2188298755881195	0.5082915377558301	0.19142000517583105
Commonkmers	42	1.7387419651316962	1879.9999129999997	0.0823774291275011	0.6666666666666666	0.8	0.7272727272727272	8.0	2.0	4.0	10.0	0.5714285714285714	1.0603603431463873	0.46050864585751455	0.04197117385337731
Commonkmers	43	4.003730470534992	2051.9999369999996	0.35660728253217255	0.75	0.75	0.75	6.0	2.0	2.0	8.0	0.6	1.003442128807884	0.48255366101673297	0.1783035521143102
Commonkmers	44	3.71660102761034	1916.9999799999998	0.3302605225821695	0.6	0.6666666666666666	0.631578947368421	6.0	3.0	4.0	9.0	0.46153846153846156	1.065520907459819	0.48493946338047583	0.16513026129108474
Commonkmers	45	1.3359391651248924	2296.9999940000002	0.09232065624360489	0.4166666666666667	0.8333333333333334	0.5555555555555556	5.0	1.0	7.0	6.0	0.38461538461538464	0.36757930493230373	0.20514991618304002	0.04745136456389031
Commonkmers	46	3.3428278230989386	1564.999981	0.2306152166267909	0.7	0.7777777777777778	0.7368421052631577	7.0	2.0	3.0	9.0	0.5833333333333334	0.9047087055404195	0.41175067622683925	0.12656687274846035
Commonkmers	47	1.9574156874597932	1464.99993	0.10667646972292061	0.6428571428571429	0.8181818181818182	0.7200000000000001	9.0	2.0	5.0	11.0	0.5625	1.1808463854088445	0.49245119201172766	0.0533382348614603
