tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Commonkmers	0	3.1973788456813796	651.999984	0.3845761695078941	0.4642857142857143	0.6842105263157895	0.5531914893617021	13.0	6.0	15.0	19.0	0.38235294117647056	0.6576728579273778	0.223361007845903	0.23493024647527325
Commonkmers	4	3.132916532580508	645.999995	0.46898041229489523	0.8214285714285714	0.6571428571428571	0.73015873015873	23.0	12.0	5.0	35.0	0.575	1.9561042703251978	0.5501864336471582	0.26264992803757725
Commonkmers	40	3.2732199663102874	2251.999859999999	0.4980206589477688	0.5405405405405406	0.9523809523809523	0.6896551724137931	40.0	2.0	34.0	42.0	0.5263157894736842	2.3226500498484	0.6214166277529749	0.26216523207834863
Commonkmers	41	3.063004074233239	1134.999975	0.38759112729426787	0.6290322580645161	0.75	0.6842105263157896	39.0	13.0	23.0	52.0	0.52	1.5673738368943244	0.39667860261908666	0.22139639486744137
Commonkmers	42	1.7387419651316962	1879.9999129999997	0.3148018204295331	0.5428571428571428	0.8837209302325582	0.6725663716814159	38.0	5.0	32.0	43.0	0.5066666666666667	2.274319816237937	0.6046792901947347	0.1758083482486669
Commonkmers	43	4.003730470534992	2051.9999369999996	0.7121294223374963	0.5454545454545454	0.6666666666666666	0.6	30.0	15.0	25.0	45.0	0.42857142857142855	2.389565681343696	0.6277324789799985	0.3743199036726394
Commonkmers	44	3.71660102761034	1916.9999799999998	0.6562628034061201	0.576271186440678	0.7727272727272727	0.6601941747572816	34.0	10.0	25.0	44.0	0.4927536231884058	2.5055485347789994	0.6621096660488129	0.3425217667628731
Commonkmers	45	1.3359391651248924	2296.9999940000002	1.6036850117658465	0.4	0.9032258064516129	0.5544554455445545	28.0	3.0	42.0	31.0	0.3835616438356164	0.7152439185323344	0.20828380420234271	0.8579487566640034
Commonkmers	46	3.3428278230989386	1564.999981	0.5763599472028376	0.6181818181818182	0.8292682926829268	0.7083333333333334	34.0	7.0	21.0	41.0	0.5483870967741935	1.7937508903764101	0.48302573860329423	0.32332374197170505
Commonkmers	47	1.9574156874597932	1464.99993	0.3914551391274926	0.546875	0.8333333333333334	0.660377358490566	35.0	7.0	29.0	42.0	0.49295774647887325	2.7525106381547966	0.7364242748183201	0.20535903620208945
Commonkmers	48	1.9036681967178322	2204.999923999999	0.5320557017371449	0.5769230769230769	0.9782608695652174	0.7258064516129032	45.0	1.0	33.0	46.0	0.569620253164557	2.2915542252657892	0.5985293444737783	0.28182928078574276
Commonkmers	49	1.4941764325025917	811.9999280000002	0.22422573432815354	0.5714285714285714	0.9090909090909091	0.7017543859649122	20.0	2.0	15.0	22.0	0.5405405405405406	1.6764992306603195	0.5423734083104741	0.1264419945032675
Commonkmers	5	2.6276738090548206	2272.9999059767965	1.2413041634194653	0.5352112676056338	0.95	0.6846846846846846	38.0	2.0	33.0	40.0	0.5205479452054794	1.353338804993543	0.3668698914745679	0.6495955372502654
Commonkmers	50	4.036540527784905	942.9999470000001	0.7156070210417323	0.45454545454545453	0.35714285714285715	0.4	15.0	27.0	18.0	42.0	0.25	1.483412629682364	0.39688168863990275	0.4012126038904092
Commonkmers	52	6.037718919602186	1290.9999509999996	0.9873669553617462	0.5652173913043478	0.2765957446808511	0.37142857142857144	13.0	34.0	10.0	47.0	0.22807017543859648	1.7534907138708669	0.4554346729699524	0.6011108893575331
Commonkmers	53	2.279479394714681	1574.9999319999993	1.0035540064380661	0.515625	0.9705882352941176	0.673469387755102	33.0	1.0	31.0	34.0	0.5076923076923077	1.2960633197667575	0.3675356818225022	0.5599140799129013
Commonkmers	54	2.6620196122708855	1707.9999159999995	0.9815419478338728	0.5087719298245614	0.9354838709677419	0.6590909090909092	29.0	2.0	28.0	31.0	0.4915254237288136	1.251197953385302	0.3643571972985533	0.534260818967178
Commonkmers	55	1.3349890224182261	2192.99994	1.6222341410438563	0.3968253968253968	0.9615384615384616	0.5617977528089887	25.0	1.0	38.0	26.0	0.390625	0.5992178544754077	0.18391654374958755	0.8636451821289017
