tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Commonkmers	0	3.1973788456813796	651.999984	0.32992942431778954	0.8	0.8	0.8000000000000002	4.0	1.0	1.0	5.0	0.6666666666666666	0.3257514928711685	0.20240078250580334	0.19682677677669502
Commonkmers	4	3.132916532580508	645.999995	0.11931949014385584	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.8479935248343116	0.6116980264922067	0.0627476165816036
Commonkmers	40	3.2732199663102874	2251.999859999999	0.2798803291677976	0.6666666666666666	1.0	0.8	4.0	0.0	2.0	4.0	0.6666666666666666	0.908965297473406	0.6556798635025222	0.13994016458389882
Commonkmers	41	3.063004074233239	1134.999975	0.08849669467481433	1.0	0.8333333333333334	0.9090909090909091	5.0	1.0	0.0	6.0	0.8333333333333334	0.6731930192107175	0.37571617774161936	0.045473756542674
Commonkmers	42	1.7387419651316962	1879.9999129999997	0.037468889114157314	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.9529708587381751	0.6874231660066311	0.019090341562725554
Commonkmers	43	4.003730470534992	2051.9999369999996	0.3390082279448599	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.8981174372207823	0.6478547864071638	0.16950411397242995
Commonkmers	44	3.71660102761034	1916.9999799999998	0.3058770407005932	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.9425424660731629	0.6799006708155031	0.15293852035029656
Commonkmers	45	1.3359391651248924	2296.9999940000002	0.06140672363269313	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.34352113183973687	0.2477981166728761	0.0315620734369224
Commonkmers	46	3.3428278230989386	1564.999981	0.20290824135670993	0.8333333333333334	1.0	0.9090909090909091	5.0	0.0	1.0	5.0	0.8333333333333334	0.8587987867276179	0.5336016879512785	0.11136065494311848
Commonkmers	47	1.9574156874597932	1464.99993	0.08263804057190287	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9396601035935642	0.5838436489745853	0.04131899962645162
Commonkmers	48	1.9036681967178322	2204.999923999999	0.02837862603265164	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9277287449778255	0.5764302790498681	0.014189305921672859
Commonkmers	49	1.4941764325025917	811.9999280000002	0.13474649278316772	0.8	0.8	0.8000000000000002	4.0	1.0	1.0	5.0	0.6666666666666666	0.7329116999515696	0.45538364312738233	0.07221767080128999
Commonkmers	5	2.6276738090548206	2272.9999059767965	0.24269973117938615	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.7325178991320785	0.5283999702201259	0.12134986558969311
Commonkmers	50	4.036540527784905	942.9999470000001	0.18570733395441694	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.6018267750738779	0.33588591851179855	0.10195461977558494
Commonkmers	52	6.037718919602186	1290.9999509999996	0.6807036239248195	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8262431205504006	0.5133737152375126	0.392970669390675
Commonkmers	53	2.279479394714681	1574.9999319999993	0.16997454966604827	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.6914700406577796	0.42963449246203367	0.08498759959152731
Commonkmers	54	2.6620196122708855	1707.9999159999995	0.1231730521449089	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7003498759723	0.505195646476219	0.0634321454276892
Commonkmers	55	1.3349890224182261	2192.99994	0.07456201906738241	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.35530292922417284	0.323410663515261	0.03853143317533107
Commonkmers	56	1.1115619879487193	1986.9999960000005	0.07784561951178058	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.3480093495215451	0.3167717611673999	0.04049915048551309
Commonkmers	57	2.685165919734936	1665.9999689999995	0.20882145580497175	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6189804876986877	0.4465000400049644	0.10736694196803784
Commonkmers	58	3.0177749023302183	2219.9999389999994	0.2643432699349884	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5784118904629478	0.4172359829810526	0.13217170105334472
Commonkmers	59	3.296565142666747	2330.9999089921394	0.2932044290295086	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5117814701760917	0.3691722945209552	0.14660221451475433
Commonkmers	6	2.808269271929482	2255.9999149999994	0.25161266398799564	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.8241315484187993	0.5944852489719722	0.1281741550700404
Commonkmers	60	2.8175975960655864	2490.999979999999	0.20825993682705607	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.5522504582496114	0.398364498722686	0.10645404699201354
Commonkmers	61	3.209906307061567	2362.999941999999	0.2524852589910717	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8568054518633195	0.5323631593638143	0.12624262949553586
Commonkmers	62	4.673489219009376	768.999998	0.42629858278509	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.1279907116952548	0.7008600350350211	0.213149291392545
Commonkmers	63	4.367776584100296	560.0	0.443331593680118	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.1612052191663658	0.837632505572849	0.2297628580846354
Commonkmers	7	3.1354738867392933	822.999997	0.08674265805712522	1.0	0.6666666666666666	0.8	4.0	2.0	0.0	6.0	0.6666666666666666	0.4077077454878066	0.2275460252839962	0.04337132902856261
