tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Commonkmers	0	3.1973788456813796	651.999984	0.0022723985286982325	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.008422424228540585	0.012150989666778557	0.001136297478933751
Commonkmers	4	3.132916532580508	645.999995	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
Commonkmers	40	3.2732199663102874	2251.999859999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Commonkmers	41	3.063004074233239	1134.999975	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Commonkmers	42	1.7387419651316962	1879.9999129999997	8.123823414535992e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	8.123493423070427e-05	0.0	4.062076705237244e-05
Commonkmers	43	4.003730470534992	2051.9999369999996	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	4.440892098500625e-16	0.0	2.1316282072803012e-16
Commonkmers	44	3.71660102761034	1916.9999799999998	7.105427357601002e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	6.661338147750936e-16	0.0	3.552713678800502e-16
Commonkmers	45	1.3359391651248924	2296.9999940000002	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
Commonkmers	46	3.3428278230989386	1564.999981	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Commonkmers	47	1.9574156874597932	1464.99993	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Commonkmers	48	1.9036681967178322	2204.999923999999	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
Commonkmers	49	1.4941764325025917	811.9999280000002	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
Commonkmers	5	2.6276738090548206	2272.9999059767965	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
Commonkmers	50	4.036540527784905	942.9999470000001	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
Commonkmers	52	6.037718919602186	1290.9999509999996	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
Commonkmers	53	2.279479394714681	1574.9999319999993	7.642491486592461e-06	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	7.642462282635595e-06	0.0	3.82126034527106e-06
Commonkmers	54	2.6620196122708855	1707.9999159999995	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
