rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	27	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	26	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	25	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	24	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	23	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	22	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	21	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	20	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	19	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	18	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	17	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	16	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	15	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	14	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	13	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	12	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	11	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	10	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	28	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	29	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	8	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	31	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	30	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	7	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	63	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	62	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	61	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	60	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	6	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	58	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	57	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	56	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	55	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	59	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	53	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	52	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	5	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	32	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	38	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	37	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	36	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	35	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	34	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	33	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	54	0.6983183390650113	886.000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	21	0.6983183390650113	886.000003	0.213286	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0949480822334043	0.7898380841345067	0.106643
phylum	22	0.6983183390650113	886.000003	0.0076609999999999534	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7807395385259962	0.5631845302286963	0.003830498084750935
phylum	23	0.6983183390650113	886.000003	0.015223000000000002	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.6756936487799373	0.4198320690470277	0.007611496194251904
phylum	28	0.6983183390650113	886.000003	0.007275999999999974	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0839548809716677	0.673499035034103	0.003637999999999987
phylum	25	0.6983183390650113	886.000003	0.00797299999999999	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8290273010216224	0.5151036238284014	0.003986498006750991
phylum	26	0.6983183390650113	886.000003	0.15562099999999998	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.1005955345511613	0.6838384544369468	0.07781046109476945
phylum	27	0.6983183390650113	886.000003	0.05972600000000007	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.033329681101664	0.6420438297858069	0.029863000000000035
phylum	20	0.6983183390650113	886.000003	0.0015440000000000948	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.287378754803936	0.1785584598099263	0.0007720000000000474
phylum	24	0.6983183390650113	886.000003	0.010209999999999936	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8790088303716026	0.5461588940962606	0.005104999999999968
phylum	2	0.6983183390650113	886.000003	0.031226000000000045	1.0	1.0	1.0	7.0	0.0	0.0	7.0	1.0	0.6253139059255042	0.3213477797158708	0.015613000000000026
phylum	1	0.6983183390650113	886.000003	0.04497000000000004	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6651623337243183	0.47981320012510187	0.02248500000000002
phylum	18	0.6983183390650113	886.000003	0.0077040000000000546	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.22984906754466694	0.14281325534145345	0.0038520000000000264
phylum	17	0.6983183390650113	886.000003	0.015480999999999943	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.4881607091777251	0.30331130229151554	0.007740503870251908
phylum	16	0.6983183390650113	886.000003	0.008045000000000016	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.08465139701327183	0.05259687022362097	0.004022497988751012
phylum	15	0.6983183390650113	886.000003	0.015669999999999927	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5175822028384137	0.3733566386436825	0.007834999999999964
