rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	1.106591045879952	2705.0000116510014	0.022376780000000044	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.035929506903040614	0.051835321430602474	0.01128278277615579
superkingdom	34	1.106591045879952	2705.0000116510014	0.025493749999999985	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04089559341978846	0.05899986982094014	0.012868113280423397
superkingdom	33	1.106591045879952	2705.0000116510014	0.024293960000000007	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.039778399893423536	0.057388100260740205	0.012254903543348714
superkingdom	32	1.106591045879952	2705.0000116510014	0.027506300000000015	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03592212265910579	0.05182466821849699	0.01392218002298993
superkingdom	31	1.106591045879952	2705.0000116510014	0.019120460000000034	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.034252025087264874	0.0494152267338014	0.00962122800829895
superkingdom	30	1.106591045879952	2705.0000116510014	0.02134299999999996	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03330546304208767	0.04804962636533053	0.010760329858685688
superkingdom	3	1.106591045879952	2705.0000116510014	0.03597339000000003	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04915953455020197	0.07092221670798604	0.018263668185264946
superkingdom	29	1.106591045879952	2705.0000116510014	0.03290069999999998	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04203597443634484	0.06064509185824994	0.016694749445558352
superkingdom	28	1.106591045879952	2705.0000116510014	0.01870475000000006	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03604630214339607	0.05200382134466272	0.009404390448460706
superkingdom	27	1.106591045879952	2705.0000116510014	0.019176430000000008	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03357875699017718	0.04844390618894423	0.009651532479358627
superkingdom	26	1.106591045879952	2705.0000116510014	0.02549375000000006	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03696692106044879	0.05333199369084325	0.01288121662166983
superkingdom	25	1.106591045879952	2705.0000116510014	0.02781978000000004	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.042028123565860526	0.06063376544633556	0.014062979595880779
superkingdom	24	1.106591045879952	2705.0000116510014	0.025700460000000022	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04034230937777302	0.058201649677321464	0.012976437009654732
superkingdom	23	1.106591045879952	2705.0000116510014	0.03811726999999996	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04573097281457372	0.06597584769461351	0.019399089703260337
superkingdom	22	1.106591045879952	2705.0000116510014	0.028631709999999956	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04647720131378369	0.06705242784979375	0.014464804370254079
superkingdom	21	1.106591045879952	2705.0000116510014	0.03567458999999999	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.04294855323008654	0.06196166475840152	0.018135117793175767
superkingdom	20	1.106591045879952	2705.0000116510014	0.02163412999999996	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.03358605169716114	0.04845443022653473	0.01090872111110398
