rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1.0000000505838655e-07	0.0	4.9999997515870805e-08
superkingdom	34	0.9204069634760853	623.999984	0.00022229999999993311	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.00022227528952378347	0.0	0.00011116235569580213
superkingdom	33	0.9204069634760853	623.999984	0.00040589999999994574	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0004058176114470336	0.0	0.0002029911970634169
superkingdom	32	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	31	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	30	0.9204069634760853	623.999984	3.9999999998485694e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-4.000000800114916e-07	0.0	1.9999995999243645e-07
superkingdom	3	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	29	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	28	0.9204069634760853	623.999984	5.000000000165983e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-5.000001250698682e-07	0.0	2.4999993750831477e-07
superkingdom	27	0.9204069634760853	623.999984	0.00017499999999998295	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0001749846866067289	0.0	8.750765691997197e-05
superkingdom	26	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-3.00000044953111e-07	0.0	1.4999997747656116e-07
superkingdom	25	0.9204069634760853	623.999984	0.000178499999999957	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0001784840679269838	0.0	8.925796627346843e-05
superkingdom	24	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-3.00000044953111e-07	0.0	1.4999997747656116e-07
superkingdom	23	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0000002011677213e-07	0.0	9.999999003174236e-08
superkingdom	22	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0000002011677213e-07	0.0	9.999999003174236e-08
superkingdom	21	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	20	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	19	0.9204069634760853	623.999984	5.000000000165983e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-5.000001250698682e-07	0.0	2.4999993750831477e-07
superkingdom	18	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	17	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1.0000000505838655e-07	0.0	4.9999997515870805e-08
superkingdom	16	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-3.00000044953111e-07	0.0	1.4999997747656116e-07
superkingdom	15	0.9204069634760853	623.999984	6.999999999379725e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	6.999997549645606e-07	0.0	3.500001224690291e-07
superkingdom	14	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	13	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1.0000000505838655e-07	0.0	4.9999997515870805e-08
superkingdom	12	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	11	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	10	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	0	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.999999801167721e-07	0.0	1.0000001003174237e-07
superkingdom	35	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1.0000000505838655e-07	0.0	4.9999997515870805e-08
superkingdom	36	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	8	0.9204069634760853	623.999984	5.000000000165983e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-5.000001250698682e-07	0.0	2.4999993750831477e-07
superkingdom	38	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	37	0.9204069634760853	623.999984	0.0002554999999999552	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0002554673570947583	0.0	0.00012776632214763197
superkingdom	7	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	63	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1.0000000505838655e-07	0.0	4.9999997515870805e-08
superkingdom	62	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	61	0.9204069634760853	623.999984	6.000000000483396e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.999998200172174e-07	0.0	3.0000009002419687e-07
superkingdom	60	0.9204069634760853	623.999984	0.0003112000000000137	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0003111515722562351	0.0	0.00015562421512788072
superkingdom	6	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	59	0.9204069634760853	623.999984	1.0000000003174136e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.999999505838654e-08	0.0	5.000000251587081e-08
superkingdom	57	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.999999801167721e-07	0.0	1.0000001003174237e-07
superkingdom	56	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	55	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	54	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-3.00000044953111e-07	0.0	1.4999997747656116e-07
superkingdom	53	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	52	0.9204069634760853	623.999984	5.000000000165983e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	4.999998750698682e-07	0.0	2.5000006250831474e-07
superkingdom	58	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-3.00000044953111e-07	0.0	1.4999997747656116e-07
superkingdom	50	0.9204069634760853	623.999984	3.9999999998485694e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.999999200114916e-07	0.0	2.0000003999243648e-07
superkingdom	51	0.9204069634760853	623.999984	5.000000000165983e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	4.999998750698682e-07	0.0	2.5000006250831474e-07
superkingdom	4	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0000002011677213e-07	0.0	9.999999003174236e-08
superkingdom	40	0.9204069634760853	623.999984	6.659999999996557e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	6.659778217068037e-05	0.0	3.330110892691006e-05
superkingdom	41	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	42	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0000002011677213e-07	0.0	9.999999003174236e-08
superkingdom	44	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	43	0.9204069634760853	623.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	39	0.9204069634760853	623.999984	2.9999999995311555e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.999999549531111e-07	0.0	1.5000002247656114e-07
superkingdom	46	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0000002011677213e-07	0.0	9.999999003174236e-08
superkingdom	47	0.9204069634760853	623.999984	7.890000000003283e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	7.889688731312812e-05	0.0	3.945155636391497e-05
superkingdom	48	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.999999801167721e-07	0.0	1.0000001003174237e-07
superkingdom	49	0.9204069634760853	623.999984	0.0004250999999999294	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0004250096321889298	0.0	0.0002125951871069843
superkingdom	5	0.9204069634760853	623.999984	2.0000000006348273e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.999999801167721e-07	0.0	1.0000001003174237e-07
superkingdom	45	0.9204069634760853	623.999984	3.9999999998485694e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.999999200114916e-07	0.0	2.0000003999243648e-07
phylum	28	0.9204069634760853	623.999984	0.1366509	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0017051671849186	0.6223944145008665	0.06832543291864177
phylum	25	0.9204069634760853	623.999984	0.4610931000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.7676353827184437	0.4769586802870068	0.230567012822388
phylum	26	0.9204069634760853	623.999984	0.23189650000000006	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8046034842881609	0.4999282532566201	0.11594823260776516
phylum	27	0.9204069634760853	623.999984	0.14592979999999994	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0504194190009992	0.6526622809651313	0.07297128498743637
