tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
gsg162.profile	0	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.814292301540859	0.6699625807536431	0.0
gsg162.profile	1	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.563521436562615	0.5773605806591925	0.0
gsg162.profile	2	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.7734246973149537	0.654871426162317	0.0
gsg162.profile	3	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.630351670768668	0.6020389393465064	0.0
gsg162.profile	4	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.9205039440228657	0.7091832873855871	0.0
L3K10sh8.newreleased.profile	4	2.5231510000000013	469.000001	0.162241	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.8403942823915163	0.6973680570477879	0.08160404476726844
L3K10sh8.newreleased.profile	2	2.1318490000000017	488.0000299999999	0.12711899999999993	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.6879590714768038	0.6233115880901261	0.06397775457050466
L3K10sh8.newreleased.profile	3	2.183082000000002	437.00002699999993	0.16282999999999997	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.5557244475478318	0.589500057497666	0.08269226472087866
L3K10sh8.newreleased.profile	0	2.176953000000002	419.999995	0.11627700000000006	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.7599577846520218	0.6668888034003421	0.05918979962605826
L3K10sh8.newreleased.profile	1	2.324913	443.00002499999994	0.07413900000000007	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.481006090636079	0.5774016887810183	0.03730269781539296
L3K11sh18.newreleased.profile	0	2.5415550000000007	425.999996	0.15739700000000006	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.795950112628949	0.6805271308337876	0.08009010563038071
L3K11sh18.newreleased.profile	1	2.487403999999998	380.00001599999996	0.110579	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.4338231649856963	0.5433088356571358	0.05561498670971863
L3K11sh18.newreleased.profile	2	2.338536	431.0000409999999	0.16515399999999997	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.739064374232068	0.6589718058476591	0.08309100093176387
L3K11sh18.newreleased.profile	3	2.3532370000000022	434.00002099999995	0.174928	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.6079639126413452	0.6092948018206813	0.08872747930530757
L3K11sh18.newreleased.profile	4	2.3672669999999973	398.0000389999999	0.160433	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.8146447801289136	0.6876109737235099	0.08076680462330087
L3K11sh48.newreleased.profile	3	2.0083480000000002	354.00001899999995	0.10657399999999999	0.8	1.0	0.888888888888889	12.0	0.0	3.0	12.0	0.8	1.561920873596999	0.6285631992373855	0.05409622543630163
L3K11sh48.newreleased.profile	2	2.0216300000000027	361.000007	0.10785699999999997	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.6758186321075612	0.6350065280134989	0.05431000059920914
L3K11sh48.newreleased.profile	4	2.2392429999999957	348.00002299999994	0.15979400000000002	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.8128240298000935	0.7067679619196061	0.08049159138556519
L3K11sh48.newreleased.profile	0	2.3018300000000016	383.000004	0.09356900000000001	0.8666666666666667	1.0	0.9285714285714286	13.0	0.0	2.0	13.0	0.8666666666666667	1.7403701116276036	0.6785202626183631	0.04766062137237776
L3K11sh48.newreleased.profile	1	2.2754859999999972	378.00001	0.12229299999999999	0.8	1.0	0.888888888888889	12.0	0.0	3.0	12.0	0.8	1.3871375939491306	0.5582252331561325	0.06154460125320635
merged.bracken2.8.newreleased.profile	0	3.99076826799819	7038.999985000001	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	1	3.7728986428873075	6442.999971000001	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	2	3.318086243442257	6998.999959000001	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	3	3.789549546754761	6677.999973000002	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	4	4.181696185185233	7078.999971000001	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	4	2.692748299999999	405.1144808	0.14971860000000003	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.9217067291386931	0.7096274390912453	0.07501909066311244
merged.metaphlan4.profile	2	2.6803269000000025	427.21069250000033	0.17484709999999995	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.8334437611688092	0.6770346282438099	0.08786778756699179
merged.metaphlan4.profile	3	2.5051573000000005	432.0693386999999	0.13014209999999998	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.668985383045195	0.6163051860581821	0.065888505628354
merged.metaphlan4.profile	0	2.5584269999999996	444.1938923000003	0.11937800000000004	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.834987867748314	0.6776048195123751	0.060821961080018055
merged.metaphlan4.profile	1	2.5305163000000057	461.14062480000035	0.12426570000000002	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.5998200030356335	0.5907645295439822	0.062264517662274546
metaphlan3g162.profile	0	3.2713545999999964	464.99999180000003	0.27068390000000003	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.8209725672094361	0.690008718937118	0.1365836524721724
metaphlan3g162.profile	1	2.7088837999999993	452.99997579999996	0.2169938	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.5694914811610479	0.5947167056768183	0.10772194830390172
metaphlan3g162.profile	2	2.9926831000000034	427.9999610000001	0.16792599999999994	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.8296141697752013	0.6932832224762379	0.08397077569382923
metaphlan3g162.profile	3	2.933042500000003	467.9999808000001	0.2030794	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.6409428864518019	0.6217912995058091	0.10222350368318794
metaphlan3g162.profile	4	3.3425128000000006	446.99997909999996	0.2882142	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.878147460966757	0.711673611592427	0.1438172937713214
motus3g162.profile	3	2.8447428637342975	536.8029428089862	0.14780262162972244	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.5311637704643284	0.5969567258745728	0.07462430842705677
