tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
KSSD2.L3K10S18	0	2.2332609999999984	381.0	0.2155809999999999	0.9259259259259259	1.0	0.9615384615384615	50.0	0.0	4.0	50.0	0.9259259259259259	3.2345707903204204	0.8268281617547434	0.11137620110652398
KSSD2.L3K10S18	1	2.334588999999999	405.000009	0.19278899999999996	0.8518518518518519	1.0	0.92	46.0	0.0	8.0	46.0	0.8518518518518519	2.9563439446858033	0.772165277060631	0.09708863519734343
KSSD2.L3K10S18	2	2.237665999999998	364.00001799999995	0.18336799999999992	0.9074074074074074	1.0	0.9514563106796117	49.0	0.0	5.0	49.0	0.9074074074074074	3.154440793854774	0.8105309475327445	0.09361882015616747
KSSD2.L3K10S18	3	2.1208489999999998	355.0000329999999	0.17223499999999997	0.8703703703703703	1.0	0.9306930693069307	47.0	0.0	7.0	47.0	0.8703703703703703	3.2430121363575255	0.8423085221244839	0.08786285161592454
KSSD2.L3K10S18	4	2.5509669999999995	372.00002099999995	0.22157100000000007	0.9074074074074074	1.0	0.9514563106796117	49.0	0.0	5.0	49.0	0.9074074074074074	3.349910155001779	0.8607566378715045	0.1131486664736351
KSSD2.L3K10S8	4	2.570275	473.000001	0.244339	0.9629629629629629	1.0	0.9811320754716981	52.0	0.0	2.0	52.0	0.9629629629629629	3.3591154957225347	0.8501413061223472	0.1246148800996352
KSSD2.L3K10S8	2	2.1791690000000012	492.0000299999999	0.17405999999999996	0.9444444444444444	0.9807692307692307	0.9622641509433962	51.0	1.0	3.0	52.0	0.9272727272727272	3.2014079531302957	0.8102279133213435	0.08882143961560715
KSSD2.L3K10S8	3	2.218448000000002	441.00002699999993	0.18253500000000003	0.9259259259259259	1.0	0.9615384615384615	50.0	0.0	4.0	50.0	0.9259259259259259	3.2672964386540007	0.8351935645880528	0.09308132932386959
KSSD2.L3K10S8	0	2.2247010000000027	421.999995	0.22555399999999995	0.9444444444444444	0.9807692307692307	0.9622641509433962	51.0	1.0	3.0	52.0	0.9272727272727272	3.211383848744077	0.8127526615586814	0.1164202554748293
KSSD2.L3K10S8	1	2.378925000000001	447.00002499999994	0.19587800000000005	0.9074074074074074	1.0	0.9514563106796117	49.0	0.0	5.0	49.0	0.9074074074074074	3.004679173005354	0.7720498231801824	0.09863268366421041
