tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
KSSD2.L3K10S18	0	2.2332609999999984	381.0	0.262876	0.8863636363636364	0.975	0.9285714285714285	78.0	2.0	10.0	80.0	0.8666666666666667	3.714912036342523	0.8477611721816917	0.13580789049237307
KSSD2.L3K10S18	1	2.334588999999999	405.000009	0.255301	0.8181818181818182	0.972972972972973	0.8888888888888891	72.0	2.0	16.0	74.0	0.8	3.4370923309044055	0.7985688544374813	0.12835652506612624
KSSD2.L3K10S18	2	2.237665999999998	364.00001799999995	0.229403	0.8636363636363636	0.9743589743589743	0.9156626506024097	76.0	2.0	12.0	78.0	0.8444444444444444	3.6412293224010077	0.8357752301678983	0.11660217373293366
KSSD2.L3K10S18	3	2.1208489999999998	355.0000329999999	0.24851900000000002	0.8522727272727273	0.974025974025974	0.9090909090909091	75.0	2.0	13.0	77.0	0.8333333333333334	3.802109445713044	0.8752946038016879	0.1253942553134591
KSSD2.L3K10S18	4	2.5509669999999995	372.00002099999995	0.27250500000000005	0.8636363636363636	0.9743589743589743	0.9156626506024097	76.0	2.0	12.0	78.0	0.8444444444444444	3.866338599352716	0.8874448013755651	0.13848522808987906
KSSD2.L3K10S8	4	2.570275	473.000001	0.2812050000000001	0.9204545454545454	0.9529411764705882	0.9364161849710982	81.0	4.0	7.0	85.0	0.8804347826086957	3.8781770528329145	0.8729420404465114	0.14285307883043408
KSSD2.L3K10S8	2	2.1791690000000012	492.0000299999999	0.21980699999999997	0.9090909090909091	0.975609756097561	0.9411764705882352	80.0	2.0	8.0	82.0	0.8888888888888888	3.669624118635109	0.832733812328357	0.11165565638786659
KSSD2.L3K10S8	3	2.218448000000002	441.00002699999993	0.25534199999999996	0.8977272727272727	0.9634146341463414	0.9294117647058824	79.0	3.0	9.0	82.0	0.8681318681318682	3.807393678363877	0.8639973333285424	0.1287826518507759
KSSD2.L3K10S8	0	2.2247010000000027	421.999995	0.28104599999999985	0.9090909090909091	0.9411764705882353	0.9248554913294799	80.0	5.0	8.0	85.0	0.8602150537634409	3.7076109867844114	0.834549185324399	0.14506169016178183
KSSD2.L3K10S8	1	2.378925000000001	447.00002499999994	0.24680599999999994	0.875	0.9746835443037974	0.9221556886227545	77.0	2.0	11.0	79.0	0.8555555555555555	3.500667571507572	0.8011693215496484	0.12407486539612
KSSD2.L3K11S18	0	2.5849830000000007	429.999996	0.333208	0.9090909090909091	0.975609756097561	0.9411764705882352	80.0	2.0	8.0	82.0	0.8888888888888888	3.6780331255158445	0.8346420362039659	0.1718321654664832
KSSD2.L3K11S18	1	2.5455859999999984	384.00001599999996	0.30510099999999996	0.9090909090909091	0.975609756097561	0.9411764705882352	80.0	2.0	8.0	82.0	0.8888888888888888	3.4944574289248354	0.7929839031824499	0.1534862287938417
KSSD2.L3K11S18	2	2.3845919999999987	435.0000409999999	0.24808199999999997	0.8977272727272727	0.9753086419753086	0.9349112426035502	79.0	2.0	9.0	81.0	0.8777777777777778	3.6613923118761247	0.8331857265848929	0.12599377755837726
KSSD2.L3K11S18	3	2.383579000000002	438.00002099999995	0.31156100000000003	0.8977272727272727	0.9753086419753086	0.9349112426035502	79.0	2.0	9.0	81.0	0.8777777777777778	3.7720813757031646	0.8583741085483862	0.15698243602139783
KSSD2.L3K11S18	4	2.418194999999999	402.0000389999999	0.2317750000000001	0.9090909090909091	0.975609756097561	0.9411764705882352	80.0	2.0	8.0	82.0	0.8888888888888888	3.8972971407248034	0.8843987833226031	0.11791270974624668
KSSD2.L3K11S48	3	2.0434840000000003	360.00001899999995	0.2441	0.8522727272727273	0.974025974025974	0.9090909090909091	75.0	2.0	13.0	77.0	0.8333333333333334	3.7982636180243348	0.8744092446948178	0.12307844347366595
KSSD2.L3K11S48	2	2.0698019999999997	367.000007	0.20449700000000007	0.8636363636363636	0.987012987012987	0.9212121212121213	76.0	1.0	12.0	77.0	0.8539325842696629	3.6934420424140786	0.8502779668334987	0.10405431053212985
KSSD2.L3K11S48	4	2.2891209999999966	354.00002299999994	0.20236900000000005	0.875	0.9871794871794872	0.927710843373494	77.0	1.0	11.0	78.0	0.8651685393258427	3.89777575166821	0.8946606043052692	0.10300831369818315
KSSD2.L3K11S48	0	2.350858000000001	389.000004	0.26987200000000006	0.875	0.9871794871794872	0.927710843373494	77.0	1.0	11.0	78.0	0.8651685393258427	3.6787130934886028	0.8443789199205772	0.13949454214268064
KSSD2.L3K11S48	1	2.3299699999999968	384.00001	0.22535999999999987	0.8409090909090909	0.9866666666666667	0.9079754601226994	74.0	1.0	14.0	75.0	0.8314606741573034	3.461579958930943	0.8017578434270844	0.11340157421674116
Bracken2.8	0	3.990768267998196	7038.999985000001	na	0.0	0.0	na	0.0	0.0	88.0	0.0	0.0	na	na	na
Bracken2.8	1	3.7728986428873115	6442.999971000001	na	0.0	0.0	na	0.0	0.0	88.0	0.0	0.0	na	na	na
Bracken2.8	2	3.3180862434422536	6998.999959000001	na	0.0	0.0	na	0.0	0.0	88.0	0.0	0.0	na	na	na
Bracken2.8	3	3.789549546754761	6677.999973000002	na	0.0	0.0	na	0.0	0.0	88.0	0.0	0.0	na	na	na
Bracken2.8	4	4.181696185185237	7078.999971000001	na	0.0	0.0	na	0.0	0.0	88.0	0.0	0.0	na	na	na
metaphlan4	4	2.6927483	405.1144808	0.29867340000000003	0.8977272727272727	0.9875	0.9404761904761905	79.0	1.0	9.0	80.0	0.8876404494382022	3.8589726368793165	0.8806365087661108	0.1522265381550274
metaphlan4	2	2.6803269000000016	427.21069250000033	0.30423559999999994	0.8863636363636364	0.9873417721518988	0.9341317365269461	78.0	1.0	10.0	79.0	0.8764044943820225	3.7215542425141126	0.8517218578115989	0.15491145773769582
metaphlan4	3	2.5051573000000014	432.0693386999999	0.3312075999999999	0.8977272727272727	0.9875	0.9404761904761905	79.0	1.0	9.0	80.0	0.8876404494382022	3.866685203940679	0.8823965544491595	0.1668666635967667
metaphlan4	0	2.5584270000000005	444.1938923000003	0.3372451999999999	0.8977272727272727	0.9875	0.9404761904761905	79.0	1.0	9.0	80.0	0.8876404494382022	3.767968165859068	0.8598688415182322	0.1733039201519279
metaphlan4	1	2.5305163000000057	461.1406248000003	0.3675924000000002	0.8863636363636364	0.9873417721518988	0.9341317365269461	78.0	1.0	10.0	79.0	0.8764044943820225	3.557182839084712	0.814103511288343	0.18615246201849148
