tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
gsg162.profile	0	0.0	0.0	0.0	1.0	1.0	1.0	33.0	0.0	0.0	33.0	1.0	2.791596858322506	0.798395773281747	0.0
gsg162.profile	1	0.0	0.0	0.0	1.0	1.0	1.0	33.0	0.0	0.0	33.0	1.0	2.4084989866408093	0.6888299093597996	0.0
gsg162.profile	2	0.0	0.0	0.0	1.0	1.0	1.0	33.0	0.0	0.0	33.0	1.0	2.624988867287157	0.7507459432423486	0.0
gsg162.profile	3	0.0	0.0	0.0	1.0	1.0	1.0	33.0	0.0	0.0	33.0	1.0	2.710232414122972	0.7751255692941403	0.0
gsg162.profile	4	0.0	0.0	0.0	1.0	1.0	1.0	33.0	0.0	0.0	33.0	1.0	2.797235543293598	0.8000084353086315	0.0
L3K10sh8.newreleased.profile	4	2.5231510000000013	469.000001	0.16178700000000001	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.800088700118188	0.8079348163419467	0.08132120889820009
L3K10sh8.newreleased.profile	2	2.1318490000000017	488.0000299999999	0.15173899999999999	0.9696969696969697	0.9696969696969697	0.9696969696969697	32.0	1.0	1.0	33.0	0.9411764705882353	2.5707869072570597	0.7352442006957476	0.07623493214724783
L3K10sh8.newreleased.profile	3	2.183082000000002	437.00002699999993	0.18958000000000005	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.6713463960804886	0.7707876396243851	0.0951745050002008
L3K10sh8.newreleased.profile	0	2.176953000000002	419.999995	0.1656080000000001	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.710830639689314	0.782180384113926	0.08341728387101975
L3K10sh8.newreleased.profile	1	2.324913	443.00002499999994	0.16824999999999998	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.3837750665542723	0.7008634898423121	0.08434683216860343
L3K11sh18.newreleased.profile	0	2.5415550000000007	425.999996	0.21932699999999997	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.7514374652839124	0.79389703729624	0.11047299084038291
L3K11sh18.newreleased.profile	1	2.487403999999998	380.00001599999996	0.241442	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.3838009442436805	0.6878195601453573	0.12106907358656137
L3K11sh18.newreleased.profile	2	2.338536	431.0000409999999	0.177127	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.583103177164175	0.7453260287598561	0.08902818259907591
L3K11sh18.newreleased.profile	3	2.3532370000000022	434.00002099999995	0.22642100000000004	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.6698982698516778	0.7703697987186078	0.11365426307015745
L3K11sh18.newreleased.profile	4	2.3672669999999973	398.0000389999999	0.153757	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.774952575602603	0.8006820639047864	0.07732936888528567
L3K11sh48.newreleased.profile	3	2.0083480000000002	354.00001899999995	0.15638699999999997	0.8484848484848485	1.0	0.9180327868852458	28.0	0.0	5.0	28.0	0.8484848484848485	2.6007927032330884	0.7805021256322414	0.07852522983343133
L3K11sh48.newreleased.profile	2	2.0216300000000027	361.000007	0.11457999999999999	0.9393939393939394	1.0	0.96875	31.0	0.0	2.0	31.0	0.9393939393939394	2.566200819486843	0.7472948111557074	0.05760029277719071
L3K11sh48.newreleased.profile	4	2.2392429999999957	348.00002299999994	0.11121499999999998	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.7454709645167794	0.8072071851281608	0.05594228661424294
L3K11sh48.newreleased.profile	0	2.3018300000000016	383.000004	0.189565	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.6661509515653075	0.7838859826072097	0.09552843377513312
L3K11sh48.newreleased.profile	1	2.2754859999999972	378.00001	0.15689699999999995	0.8484848484848485	1.0	0.9180327868852458	28.0	0.0	5.0	28.0	0.8484848484848485	2.287140538831727	0.6863746003127136	0.07867701739702966
merged.bracken2.8.newreleased.profile	0	3.99076826799819	7038.999985000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	1	3.7728986428873075	6442.999971000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	2	3.318086243442257	6998.999959000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	3	3.789549546754761	6677.999973000002	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	4	4.181696185185233	7078.999971000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	4	2.692748299999999	405.1144808	0.2646235	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.7356463869106764	0.7966384916454075	0.1330289155350955
merged.metaphlan4.profile	2	2.6803269000000025	427.21069250000033	0.2738764	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.582307635451746	0.7519852234973334	0.1380324105247115
merged.metaphlan4.profile	3	2.5051573000000005	432.0693386999999	0.2593062999999999	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.6305948856261607	0.7660467931244266	0.13025226482992494
merged.metaphlan4.profile	0	2.5584269999999996	444.1938923000003	0.31856490000000004	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.6490080926370108	0.7714088419366063	0.16124931267879655
merged.metaphlan4.profile	1	2.5305163000000057	461.14062480000035	0.17145439999999998	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.363269480697311	0.6881998504859407	0.08607019834743437
