tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
KSSD2.L3K10S18	0	2.2332609999999984	381.0	0.06541599999999993	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.3873589313414105	0.6314142603590205	0.03270799999999995
KSSD2.L3K10S18	1	2.334588999999999	405.000009	0.06156800000000001	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.1365473262086063	0.5465637304189225	0.030784000000000002
KSSD2.L3K10S18	2	2.237665999999998	364.00001799999995	0.09163500000000001	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2674913320020595	0.5768601648988873	0.04581752290876144
KSSD2.L3K10S18	3	2.1208489999999998	355.0000329999999	0.041863000000000046	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.1914521136784542	0.5729673519535264	0.020931489534255256
KSSD2.L3K10S18	4	2.5509669999999995	372.00002099999995	0.14055499999999999	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.2083348031006027	0.5810862093889272	0.07027753513876757
KSSD2.L3K10S8	4	2.570275	473.000001	0.140025	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2561049409957246	0.5716779950270487	0.07001253500626752
KSSD2.L3K10S8	2	2.1791690000000012	492.0000299999999	0.09014699999999996	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.299121833604471	0.5912558265570862	0.04507352253676125
KSSD2.L3K10S8	3	2.218448000000002	441.00002699999993	0.07322199999999998	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.234493634142354	0.561842265408745	0.03661099999999999
KSSD2.L3K10S8	0	2.2247010000000027	421.999995	0.06894499999999998	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.374107222293065	0.6253831476611956	0.0344725172362586
KSSD2.L3K10S8	1	2.378925000000001	447.00002499999994	0.04384500000000001	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.1718510689923982	0.5635412419652546	0.021922510961255488
KSSD2.L3K11S18	0	2.5849830000000007	429.999996	0.11295999999999999	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.42643032791088	0.6491964192573327	0.05647999999999999
KSSD2.L3K11S18	1	2.5455859999999984	384.00001599999996	0.036661000000000006	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.1396082779128756	0.5186580787724788	0.018330490834754586
KSSD2.L3K11S18	2	2.3845919999999987	435.0000409999999	0.130208	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.3157434148145721	0.598820634170085	0.06510399999999998
KSSD2.L3K11S18	3	2.383579000000002	438.00002099999995	0.07123100000000003	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2337612667606843	0.5615089506491963	0.03561548219225892
KSSD2.L3K11S18	4	2.418194999999999	402.0000389999999	0.13181700000000002	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2078531672926212	0.5497176664376057	0.06590853295426649
KSSD2.L3K11S48	3	2.0434840000000003	360.00001899999995	0.04033500000000001	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.2270335502554643	0.590078405985979	0.020167510083755048
