tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
KSSD2.L3K10S18	0	2.2332609999999984	381.0	0.41586	0.8148148148148148	0.825	0.8198757763975155	132.0	28.0	30.0	160.0	0.6947368421052632	4.4528245108703	0.8773737950618637	0.21068811815476401
KSSD2.L3K10S18	1	2.334588999999999	405.000009	0.4621419999999999	0.7901234567901234	0.8205128205128205	0.8050314465408805	128.0	28.0	34.0	156.0	0.6736842105263158	3.8964618729668303	0.7715986094203672	0.2370051345590905
KSSD2.L3K10S18	2	2.237665999999998	364.00001799999995	0.382163	0.8148148148148148	0.825	0.8198757763975155	132.0	28.0	30.0	160.0	0.6947368421052632	4.198817869612135	0.8273249394944485	0.19514211469360182
KSSD2.L3K10S18	3	2.1208489999999998	355.0000329999999	0.4163909999999998	0.808641975308642	0.8291139240506329	0.81875	131.0	27.0	31.0	158.0	0.6931216931216931	4.581927954222263	0.9050551988320289	0.20855995852752687
KSSD2.L3K10S18	4	2.5509669999999995	372.00002099999995	0.6109920000000002	0.8024691358024691	0.8387096774193549	0.8201892744479494	130.0	25.0	32.0	155.0	0.6951871657754011	4.461082837328284	0.8845343658147375	0.30755786794671486
KSSD2.L3K10S8	4	2.570275	473.000001	0.5917000000000006	0.8580246913580247	0.776536312849162	0.81524926686217	139.0	40.0	23.0	179.0	0.6881188118811881	4.489581576641468	0.8654805608610041	0.2986109569075674
KSSD2.L3K10S8	2	2.1791690000000012	492.0000299999999	0.3651819999999998	0.8518518518518519	0.7540983606557377	0.7999999999999999	138.0	45.0	24.0	183.0	0.6666666666666666	4.17166323844762	0.8007820955954094	0.18903344897449992
KSSD2.L3K10S8	3	2.218448000000002	441.00002699999993	0.42391499999999993	0.8395061728395061	0.7771428571428571	0.8071216617210683	136.0	39.0	26.0	175.0	0.6766169154228856	4.482063074487861	0.8678119668689753	0.2160782196885709
KSSD2.L3K10S8	0	2.2247010000000027	421.999995	0.411777	0.845679012345679	0.7611111111111111	0.8011695906432749	137.0	43.0	25.0	180.0	0.6682926829268293	4.362168336346998	0.8400162877531336	0.21201324461712176
KSSD2.L3K10S8	1	2.378925000000001	447.00002499999994	0.5873769999999997	0.8333333333333334	0.7714285714285715	0.8011869436201781	135.0	40.0	27.0	175.0	0.6683168316831684	3.343804649914588	0.647423662238304	0.3448746184300838
