tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
gsg162.profile	0	0.0	0.0	0.0	1.0	1.0	1.0	162.0	0.0	0.0	162.0	1.0	4.697565845639864	0.923336981967005	0.0
gsg162.profile	1	0.0	0.0	0.0	1.0	1.0	1.0	162.0	0.0	0.0	162.0	1.0	4.321365492781603	0.8493923668541636	0.0
gsg162.profile	2	0.0	0.0	0.0	1.0	1.0	1.0	162.0	0.0	0.0	162.0	1.0	4.572527565459204	0.8987598984207434	0.0
gsg162.profile	3	0.0	0.0	0.0	1.0	1.0	1.0	162.0	0.0	0.0	162.0	1.0	4.732061163840118	0.9301172601037292	0.0
gsg162.profile	4	0.0	0.0	0.0	1.0	1.0	1.0	162.0	0.0	0.0	162.0	1.0	4.637184022156176	0.9114685436112465	0.0
L3K10sh8.newreleased.profile	4	2.5231510000000013	469.000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K10sh8.newreleased.profile	2	2.1318490000000017	488.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K10sh8.newreleased.profile	3	2.183082000000002	437.00002699999993	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K10sh8.newreleased.profile	0	2.176953000000002	419.999995	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K10sh8.newreleased.profile	1	2.324913	443.00002499999994	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh18.newreleased.profile	0	2.5415550000000007	425.999996	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh18.newreleased.profile	1	2.487403999999998	380.00001599999996	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh18.newreleased.profile	2	2.338536	431.0000409999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh18.newreleased.profile	3	2.3532370000000022	434.00002099999995	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh18.newreleased.profile	4	2.3672669999999973	398.0000389999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh48.newreleased.profile	3	2.0083480000000002	354.00001899999995	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh48.newreleased.profile	2	2.0216300000000027	361.000007	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh48.newreleased.profile	4	2.2392429999999957	348.00002299999994	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh48.newreleased.profile	0	2.3018300000000016	383.000004	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
L3K11sh48.newreleased.profile	1	2.2754859999999972	378.00001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	0	3.99076826799819	7038.999985000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	1	3.7728986428873075	6442.999971000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	2	3.318086243442257	6998.999959000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	3	3.789549546754761	6677.999973000002	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.bracken2.8.newreleased.profile	4	4.181696185185233	7078.999971000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	4	2.692748299999999	405.1144808	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	2	2.6803269000000025	427.21069250000033	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	3	2.5051573000000005	432.0693386999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	0	2.5584269999999996	444.1938923000003	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
merged.metaphlan4.profile	1	2.5305163000000057	461.14062480000035	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
metaphlan3g162.profile	0	3.2713545999999964	464.99999180000003	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
metaphlan3g162.profile	1	2.7088837999999993	452.99997579999996	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
metaphlan3g162.profile	2	2.9926831000000034	427.9999610000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
metaphlan3g162.profile	3	2.933042500000003	467.9999808000001	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
metaphlan3g162.profile	4	3.3425128000000006	446.99997909999996	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
motus3g162.profile	3	2.8447428637342975	536.8029428089862	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
motus3g162.profile	0	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
