rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	4	2.1791690000000012	492.0000299999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	2.1791690000000012	492.0000299999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	2.1791690000000012	492.0000299999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	2.1791690000000012	492.0000299999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	3	2.1791690000000012	492.0000299999999	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	4	2.1791690000000012	492.0000299999999	0.140025	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2561049409957246	0.5716779950270487	0.07001253500626752
phylum	3	2.1791690000000012	492.0000299999999	0.07322199999999998	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.234493634142354	0.561842265408745	0.03661099999999999
phylum	2	2.1791690000000012	492.0000299999999	0.09014699999999996	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.299121833604471	0.5912558265570862	0.04507352253676125
phylum	1	2.1791690000000012	492.0000299999999	0.04384500000000001	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.1718510689923982	0.5635412419652546	0.021922510961255488
phylum	0	2.1791690000000012	492.0000299999999	0.06894499999999998	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.374107222293065	0.6253831476611956	0.0344725172362586
class	0	2.1791690000000012	492.0000299999999	0.11627700000000006	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.7599577846520218	0.6668888034003421	0.059189799626058276
class	1	2.1791690000000012	492.0000299999999	0.07413900000000007	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.481006090636079	0.5774016887810183	0.037302697815392964
class	2	2.1791690000000012	492.0000299999999	0.12711899999999995	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.6879590714768038	0.6233115880901261	0.06397775457050463
class	3	2.1791690000000012	492.0000299999999	0.16282999999999997	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.5557244475478318	0.589500057497666	0.08269226472087868
class	4	2.1791690000000012	492.0000299999999	0.162241	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.8403942823915163	0.6973680570477879	0.08160404476726846
order	4	2.1791690000000012	492.0000299999999	0.16178700000000001	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.800088700118188	0.8079348163419467	0.08132120889820009
order	0	2.1791690000000012	492.0000299999999	0.1656080000000001	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.710830639689314	0.782180384113926	0.08341728387101975
order	1	2.1791690000000012	492.0000299999999	0.16824999999999996	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.3837750665542723	0.7008634898423121	0.0843468321686034
order	2	2.1791690000000012	492.0000299999999	0.15173899999999996	0.9696969696969697	0.9696969696969697	0.9696969696969697	32.0	1.0	1.0	33.0	0.9411764705882353	2.5707869072570597	0.7352442006957476	0.07623493214724783
order	3	2.1791690000000012	492.0000299999999	0.18957999999999997	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.6713463960804886	0.7707876396243851	0.09517450500020082
family	4	2.1791690000000012	492.0000299999999	0.244339	0.9629629629629629	1.0	0.9811320754716981	52.0	0.0	2.0	52.0	0.9629629629629629	3.3591154957225347	0.8501413061223472	0.1246148800996352
family	3	2.1791690000000012	492.0000299999999	0.18253500000000003	0.9259259259259259	1.0	0.9615384615384615	50.0	0.0	4.0	50.0	0.9259259259259259	3.2672964386540007	0.8351935645880528	0.09308132932386959
family	2	2.1791690000000012	492.0000299999999	0.17405999999999996	0.9444444444444444	0.9807692307692307	0.9622641509433962	51.0	1.0	3.0	52.0	0.9272727272727272	3.2014079531302957	0.8102279133213435	0.08882143961560715
family	1	2.1791690000000012	492.0000299999999	0.19587800000000005	0.9074074074074074	1.0	0.9514563106796117	49.0	0.0	5.0	49.0	0.9074074074074074	3.004679173005354	0.7720498231801824	0.09863268366421041
family	0	2.1791690000000012	492.0000299999999	0.22555399999999995	0.9444444444444444	0.9807692307692307	0.9622641509433962	51.0	1.0	3.0	52.0	0.9272727272727272	3.211383848744077	0.8127526615586814	0.1164202554748293
genus	1	2.1791690000000012	492.0000299999999	0.24680599999999994	0.875	0.9746835443037974	0.9221556886227545	77.0	2.0	11.0	79.0	0.8555555555555555	3.500667571507572	0.8011693215496484	0.12407486539612
genus	4	2.1791690000000012	492.0000299999999	0.2812050000000001	0.9204545454545454	0.9529411764705882	0.9364161849710982	81.0	4.0	7.0	85.0	0.8804347826086957	3.8781770528329145	0.8729420404465114	0.14285307883043408
genus	3	2.1791690000000012	492.0000299999999	0.25534199999999996	0.8977272727272727	0.9634146341463414	0.9294117647058824	79.0	3.0	9.0	82.0	0.8681318681318682	3.807393678363877	0.8639973333285424	0.1287826518507759
genus	2	2.1791690000000012	492.0000299999999	0.21980699999999997	0.9090909090909091	0.975609756097561	0.9411764705882352	80.0	2.0	8.0	82.0	0.8888888888888888	3.669624118635109	0.832733812328357	0.11165565638786659
genus	0	2.1791690000000012	492.0000299999999	0.28104599999999985	0.9090909090909091	0.9411764705882353	0.9248554913294799	80.0	5.0	8.0	85.0	0.8602150537634409	3.7076109867844114	0.834549185324399	0.14506169016178183
species	1	2.1791690000000012	492.0000299999999	0.5873769999999997	0.8333333333333334	0.7714285714285715	0.8011869436201781	135.0	40.0	27.0	175.0	0.6683168316831684	3.343804649914588	0.647423662238304	0.3448746184300838
species	2	2.1791690000000012	492.0000299999999	0.3651819999999998	0.8518518518518519	0.7540983606557377	0.7999999999999999	138.0	45.0	24.0	183.0	0.6666666666666666	4.17166323844762	0.8007820955954094	0.18903344897449992
species	3	2.1791690000000012	492.0000299999999	0.42391499999999993	0.8395061728395061	0.7771428571428571	0.8071216617210683	136.0	39.0	26.0	175.0	0.6766169154228856	4.482063074487861	0.8678119668689753	0.2160782196885709
species	4	2.1791690000000012	492.0000299999999	0.5917000000000006	0.8580246913580247	0.776536312849162	0.81524926686217	139.0	40.0	23.0	179.0	0.6881188118811881	4.489581576641468	0.8654805608610041	0.2986109569075674
species	0	2.1791690000000012	492.0000299999999	0.411777	0.845679012345679	0.7611111111111111	0.8011695906432749	137.0	43.0	25.0	180.0	0.6682926829268293	4.362168336346998	0.8400162877531336	0.21201324461712176
strain	0	2.1791690000000012	492.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	1	2.1791690000000012	492.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	2	2.1791690000000012	492.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	3	2.1791690000000012	492.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	4	2.1791690000000012	492.0000299999999	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
