rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	4	2.487403999999998	380.00001599999996	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	2.487403999999998	380.00001599999996	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	2.487403999999998	380.00001599999996	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	2.487403999999998	380.00001599999996	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	3	2.487403999999998	380.00001599999996	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	4	2.487403999999998	380.00001599999996	0.13181700000000002	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2078531672926212	0.5497176664376057	0.06590853295426649
phylum	3	2.487403999999998	380.00001599999996	0.07123100000000002	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2337612667606843	0.5615089506491963	0.035615482192258914
phylum	2	2.487403999999998	380.00001599999996	0.130208	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.3157434148145721	0.598820634170085	0.06510400000000001
phylum	1	2.487403999999998	380.00001599999996	0.036661	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.1396082779128756	0.5186580787724788	0.018330490834754583
phylum	0	2.487403999999998	380.00001599999996	0.11295999999999999	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.42643032791088	0.6491964192573327	0.056479999999999995
class	0	2.487403999999998	380.00001599999996	0.15739700000000006	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.795950112628949	0.6805271308337876	0.08009010563038071
class	1	2.487403999999998	380.00001599999996	0.110579	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.4338231649856963	0.5433088356571358	0.05561498670971863
class	2	2.487403999999998	380.00001599999996	0.16515399999999997	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.739064374232068	0.6589718058476591	0.08309100093176387
class	3	2.487403999999998	380.00001599999996	0.174928	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.6079639126413452	0.6092948018206813	0.08872747930530757
class	4	2.487403999999998	380.00001599999996	0.160433	0.8666666666666667	0.9285714285714286	0.896551724137931	13.0	1.0	2.0	14.0	0.8125	1.8146447801289136	0.6876109737235099	0.08076680462330087
order	4	2.487403999999998	380.00001599999996	0.153757	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.774952575602603	0.8006820639047864	0.07732936888528567
order	0	2.487403999999998	380.00001599999996	0.21932699999999997	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.7514374652839124	0.79389703729624	0.11047299084038291
order	1	2.487403999999998	380.00001599999996	0.241442	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.3838009442436805	0.6878195601453573	0.12106907358656137
order	2	2.487403999999998	380.00001599999996	0.177127	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.583103177164175	0.7453260287598561	0.08902818259907591
order	3	2.487403999999998	380.00001599999996	0.22642100000000004	0.9696969696969697	1.0	0.9846153846153847	32.0	0.0	1.0	32.0	0.9696969696969697	2.6698982698516778	0.7703697987186078	0.11365426307015745
family	4	2.487403999999998	380.00001599999996	0.19772900000000004	0.9444444444444444	1.0	0.9714285714285714	51.0	0.0	3.0	51.0	0.9444444444444444	3.371574515711479	0.8575086564495858	0.10087004874415567
family	3	2.487403999999998	380.00001599999996	0.23298199999999994	0.9259259259259259	1.0	0.9615384615384615	50.0	0.0	4.0	50.0	0.9259259259259259	3.252159117917623	0.8313241290772253	0.11873836095784919
family	2	2.487403999999998	380.00001599999996	0.19741599999999995	0.9444444444444444	1.0	0.9714285714285714	51.0	0.0	3.0	51.0	0.9444444444444444	3.191373441458249	0.8116772562080724	0.10071515226958047
family	1	2.487403999999998	380.00001599999996	0.260232	0.9444444444444444	1.0	0.9714285714285714	51.0	0.0	3.0	51.0	0.9444444444444444	2.984382766851608	0.7590323289041068	0.13105949732121547
family	0	2.487403999999998	380.00001599999996	0.26732599999999995	0.9444444444444444	1.0	0.9714285714285714	51.0	0.0	3.0	51.0	0.9444444444444444	3.214191037902179	0.8174805645374197	0.13799678916368555
