rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	4	3.2713545999999964	464.99999180000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	3.2713545999999964	464.99999180000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	3.2713545999999964	464.99999180000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	3.2713545999999964	464.99999180000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	3	3.2713545999999964	464.99999180000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	4	3.2713545999999964	464.99999180000003	0.2034487	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.2142692751566175	0.5839400871907628	0.1017243957759781
phylum	3	3.2713545999999964	464.99999180000003	0.11702199999999996	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.193096081318932	0.5737579332742929	0.058511
phylum	2	3.2713545999999964	464.99999180000003	0.0808102	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.346773456308327	0.6476611288723041	0.04040512020256011
phylum	1	3.2713545999999964	464.99999180000003	0.03738730000000002	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.143160295689345	0.5497438965107264	0.018693650934682556
phylum	0	3.2713545999999964	464.99999180000003	0.1405365999999999	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.375660838340678	0.6615530231397502	0.07026833513416751
class	0	3.2713545999999964	464.99999180000003	0.27068390000000003	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.8209725672094361	0.690008718937118	0.1365836524721724
class	1	3.2713545999999964	464.99999180000003	0.2169938	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.5694914811610479	0.5947167056768183	0.10772194830390172
class	2	3.2713545999999964	464.99999180000003	0.16792599999999994	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.8296141697752013	0.6932832224762379	0.08397077569382923
class	3	3.2713545999999964	464.99999180000003	0.2030794	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.6409428864518019	0.6217912995058091	0.10222350368318794
class	4	3.2713545999999964	464.99999180000003	0.2882142	0.8	0.8571428571428571	0.8275862068965518	12.0	2.0	3.0	14.0	0.7058823529411765	1.878147460966757	0.711673611592427	0.1438172937713214
order	4	3.2713545999999964	464.99999180000003	0.3498522999999999	0.8484848484848485	1.0	0.9180327868852458	28.0	0.0	5.0	28.0	0.8484848484848485	2.682366929853281	0.804982683884623	0.176214267484599
order	0	3.2713545999999964	464.99999180000003	0.4383632	0.8787878787878788	1.0	0.9354838709677419	29.0	0.0	4.0	29.0	0.8787878787878788	2.608232917725213	0.7745778955618787	0.2203615922542028
order	1	3.2713545999999964	464.99999180000003	0.20673420000000003	0.8181818181818182	1.0	0.9	27.0	0.0	6.0	27.0	0.8181818181818182	2.1530142956524054	0.6532526891303901	0.10447216477007192
order	2	3.2713545999999964	464.99999180000003	0.2463196	0.8484848484848485	1.0	0.9180327868852458	28.0	0.0	5.0	28.0	0.8484848484848485	2.5913051440610335	0.7776548936742137	0.12384813555258774
