rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	4	2.5584270000000005	444.1938923000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	2.5584270000000005	444.1938923000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	2.5584270000000005	444.1938923000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	2.5584270000000005	444.1938923000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	3	2.5584270000000005	444.1938923000003	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	4	2.5584270000000005	444.1938923000003	0.09444050000000001	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2686683960040046	0.5773958698122976	0.04722027597115178
phylum	3	2.5584270000000005	444.1938923000003	0.06841240000000001	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.2415113197359173	0.5650361517624428	0.034206200000000006
phylum	2	2.5584270000000005	444.1938923000003	0.12000590000000001	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.3513648148687962	0.6150326319884462	0.060002983001640656
phylum	1	2.5584270000000005	444.1938923000003	0.04206390000000002	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.1834440785957974	0.5386086114285743	0.02103195105159757
phylum	0	2.5584270000000005	444.1938923000003	0.06939039999999996	0.9	1.0	0.9473684210526316	9.0	0.0	1.0	9.0	0.9	1.4039083722040293	0.6389462354849689	0.03469521734760865
class	0	2.5584270000000005	444.1938923000003	0.11937800000000004	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.834987867748314	0.6776048195123751	0.06082196108001806
class	1	2.5584270000000005	444.1938923000003	0.12426570000000002	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.5998200030356335	0.5907645295439822	0.06226451766227453
class	2	2.5584270000000005	444.1938923000003	0.17484709999999992	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.8334437611688092	0.6770346282438099	0.0878677875669918
class	3	2.5584270000000005	444.1938923000003	0.13014209999999996	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.668985383045195	0.6163051860581821	0.06588850562835401
class	4	2.5584270000000005	444.1938923000003	0.14971860000000003	0.8666666666666667	0.8666666666666667	0.8666666666666667	13.0	2.0	2.0	15.0	0.7647058823529411	1.9217067291386931	0.7096274390912453	0.07501909066311245
order	4	2.5584270000000005	444.1938923000003	0.26462349999999996	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.7356463869106764	0.7966384916454075	0.1330289155350955
order	0	2.5584270000000005	444.1938923000003	0.3185649	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.6490080926370108	0.7714088419366063	0.16124931267879652
order	1	2.5584270000000005	444.1938923000003	0.17145439999999998	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.363269480697311	0.6881998504859407	0.08607019834743435
order	2	2.5584270000000005	444.1938923000003	0.27387639999999996	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.582307635451746	0.7519852234973334	0.1380324105247115
order	3	2.5584270000000005	444.1938923000003	0.2593063000000001	0.9090909090909091	0.967741935483871	0.9374999999999999	30.0	1.0	3.0	31.0	0.8823529411764706	2.6305948856261607	0.7660467931244266	0.13025226482992502
family	4	2.5584270000000005	444.1938923000003	0.36156229999999995	0.8703703703703703	0.9038461538461539	0.8867924528301887	47.0	5.0	7.0	52.0	0.7966101694915254	3.5364304658736807	0.8950170421639613	0.18010192261414915
family	3	2.5584270000000005	444.1938923000003	0.29811819999999994	0.8703703703703703	0.9038461538461539	0.8867924528301887	47.0	5.0	7.0	52.0	0.7966101694915254	3.4280298509635996	0.8675824867098626	0.15049301247213578
family	2	2.5584270000000005	444.1938923000003	0.3510519000000001	0.8703703703703703	0.9038461538461539	0.8867924528301887	47.0	5.0	7.0	52.0	0.7966101694915254	3.401645072181416	0.8609048984208628	0.1745898429097785
family	1	2.5584270000000005	444.1938923000003	0.3035983	0.8703703703703703	0.9038461538461539	0.8867924528301887	47.0	5.0	7.0	52.0	0.7966101694915254	3.2183816351596892	0.8145236954189072	0.15019667910116782
family	0	2.5584270000000005	444.1938923000003	0.31996230000000003	0.8703703703703703	0.9038461538461539	0.8867924528301887	47.0	5.0	7.0	52.0	0.7966101694915254	3.445250667145242	0.8719408147220423	0.16031096576541748
