rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	4	2.798657067802407	566.6248215780721	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	2	2.798657067802407	566.6248215780721	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	1	2.798657067802407	566.6248215780721	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	0	2.798657067802407	566.6248215780721	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	3	2.798657067802407	566.6248215780721	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	4	2.798657067802407	566.6248215780721	0.13116662010430308	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.1773624186193372	0.5661916408903845	0.06558334284382296
phylum	3	2.798657067802407	566.6248215780721	0.07216814140404952	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.12531245188178	0.5411608979268149	0.03608407070202476
phylum	2	2.798657067802407	566.6248215780721	0.07699746430731629	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.289824684693794	0.6202745587413026	0.03849875140303385
phylum	1	2.798657067802407	566.6248215780721	0.05728551338584593	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.117422634162415	0.5373666976277328	0.028642756692922964
phylum	0	2.798657067802407	566.6248215780721	0.11084216442982467	0.8	1.0	0.888888888888889	8.0	0.0	2.0	8.0	0.8	1.3114300396298815	0.6306645382156156	0.05542110992546729
class	0	2.798657067802407	566.6248215780721	0.16644372194117044	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.7692316310609253	0.6897725391396763	0.08409977855896222
class	1	2.798657067802407	566.6248215780721	0.0883295671014859	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.461203330841278	0.5696811621604072	0.04419821950379758
class	2	2.798657067802407	566.6248215780721	0.1369069334871337	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.7212926403354727	0.6710825051294544	0.0685487151833141
class	3	2.798657067802407	566.6248215780721	0.14780262162972244	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.5311637704643284	0.5969567258745728	0.07462430842705677
class	4	2.798657067802407	566.6248215780721	0.19638174991890964	0.8	0.9230769230769231	0.8571428571428571	12.0	1.0	3.0	13.0	0.75	1.8411462187201355	0.7178099689821049	0.09829083674041983
order	4	2.798657067802407	566.6248215780721	0.22249249712036473	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.716822129123736	0.7987840234652989	0.11172420470792285
order	0	2.798657067802407	566.6248215780721	0.3525946427842965	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.6669246701010008	0.7841134667690712	0.17700694222352242
order	1	2.798657067802407	566.6248215780721	0.1428926288002656	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.3242744927680876	0.6833694819652664	0.0716344982269751
order	2	2.798657067802407	566.6248215780721	0.23023051198736635	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.59006877948774	0.761516750969031	0.11560786108978677
order	3	2.798657067802407	566.6248215780721	0.2410186018834975	0.9090909090909091	1.0	0.9523809523809523	30.0	0.0	3.0	30.0	0.9090909090909091	2.572152520686688	0.7562491181942768	0.12073646660366355
family	4	2.798657067802407	566.6248215780721	0.3486941352221234	0.8518518518518519	0.9387755102040817	0.8932038834951458	46.0	3.0	8.0	49.0	0.8070175438596491	3.476885331195862	0.8933828041556277	0.1754212596948028
family	3	2.798657067802407	566.6248215780721	0.25655897052848586	0.8518518518518519	0.9387755102040817	0.8932038834951458	46.0	3.0	8.0	49.0	0.8070175438596491	3.318354887502502	0.8526485380410482	0.13018388015509172
family	2	2.798657067802407	566.6248215780721	0.45900924565732715	0.8518518518518519	0.9387755102040817	0.8932038834951458	46.0	3.0	8.0	49.0	0.8070175438596491	3.2117164419733695	0.8252478778458942	0.23212602199505372
family	1	2.798657067802407	566.6248215780721	0.1720617729143895	0.8518518518518519	0.9387755102040817	0.8932038834951458	46.0	3.0	8.0	49.0	0.8070175438596491	3.0180879453977596	0.7754951961330177	0.08646072595628645
family	0	2.798657067802407	566.6248215780721	0.3158692243514395	0.8518518518518519	0.9387755102040817	0.8932038834951458	46.0	3.0	8.0	49.0	0.8070175438596491	3.3303245361497993	0.8557241293403454	0.16029755848535232
genus	1	2.798657067802407	566.6248215780721	0.47282684435766353	0.75	0.9850746268656716	0.8516129032258065	66.0	1.0	22.0	67.0	0.7415730337078652	3.189284779829063	0.7585060475338669	0.23733106273288854
genus	4	2.798657067802407	566.6248215780721	0.47921086484489733	0.7613636363636364	0.9436619718309859	0.8427672955974843	67.0	4.0	21.0	71.0	0.7282608695652174	3.7283196719665366	0.8746421921212453	0.24247316251551967
genus	3	2.798657067802407	566.6248215780721	0.4513236753432585	0.7613636363636364	0.9852941176470589	0.8589743589743591	67.0	1.0	21.0	68.0	0.7528089887640449	3.694499593142901	0.875575979778595	0.22639365516194027
genus	2	2.798657067802407	566.6248215780721	0.5005539329500999	0.7727272727272727	0.9577464788732394	0.8553459119496856	68.0	3.0	20.0	71.0	0.7472527472527473	3.580940141104805	0.8400678081391139	0.2515000110286824
genus	0	2.798657067802407	566.6248215780721	0.4929571872331077	0.75	0.9565217391304348	0.8407643312101911	66.0	3.0	22.0	69.0	0.7252747252747253	3.6095368901343488	0.8524908115124707	0.2502048951195696
species	1	2.798657067802407	566.6248215780721	0.7267410556025286	0.5925925925925926	0.7619047619047619	0.6666666666666666	96.0	30.0	66.0	126.0	0.5	3.788507329869269	0.783351219544051	0.36337107285787346
species	2	2.798657067802407	566.6248215780721	0.9241999593958596	0.5987654320987654	0.7404580152671756	0.6621160409556314	97.0	34.0	65.0	131.0	0.49489795918367346	4.278459416741211	0.8775971787603235	0.4620988244508685
species	3	2.798657067802407	566.6248215780721	0.8997343179496033	0.5987654320987654	0.7132352941176471	0.6510067114093959	97.0	39.0	65.0	136.0	0.48258706467661694	4.349301674554879	0.8853261170824608	0.4498669340413346
species	4	2.798657067802407	566.6248215780721	0.9170649874585712	0.5864197530864198	0.7251908396946565	0.6484641638225257	95.0	36.0	67.0	131.0	0.4797979797979798	4.238054161826312	0.8693092568084038	0.458531347400917
species	0	2.798657067802407	566.6248215780721	0.7468284933841464	0.5925925925925926	0.7218045112781954	0.6508474576271186	96.0	37.0	66.0	133.0	0.4824120603015075	4.284595809940496	0.8761329094510838	0.37341499352206065
strain	0	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	1	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	2	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	3	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
strain	4	2.798657067802407	566.6248215780721	na	0.0	0.0	na	0.0	0.0	162.0	0.0	0.0	na	na	na
