tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	0.17568999999999899	0.6153846153846154	0.36363636363636365	0.4571428571428572	8.0	14.0	5.0	22.0	0.2962962962962963	1.39640148046468	0.45175745773000814	0.09311187310201496
Bracken2.6	9	3.838002703202861	10168.000549999999	0.288180000000001	0.625	0.5882352941176471	0.6060606060606061	10.0	7.0	6.0	17.0	0.43478260869565216	1.2451942220368764	0.43949892606893265	0.1494012131266527
Bracken2.6	8	3.822042165766862	10294.00027	0.2769399999999998	0.7058823529411765	0.5217391304347826	0.6	12.0	11.0	5.0	23.0	0.42857142857142855	1.2423266552643208	0.3962139840516908	0.14246031337770923
Bracken2.6	7	3.670147009533877	10423.000620006193	0.2286900000000016	0.7272727272727273	0.7272727272727273	0.7272727272727273	16.0	6.0	6.0	22.0	0.5714285714285714	1.352848811721695	0.4376674963657873	0.12127013082050545
Bracken2.6	6	4.180833597509231	10816.000170000001	0.32835000000000164	0.7222222222222222	0.5909090909090909	0.65	13.0	9.0	5.0	22.0	0.48148148148148145	1.2633956775238309	0.40872802512019624	0.17439729759875133
Bracken2.6	5	4.012340277612906	11204.000530000001	0.2767599999999999	0.6428571428571429	0.45	0.5294117647058824	9.0	11.0	5.0	20.0	0.36	1.3074916648878	0.43645144008034326	0.14887093477348737
Bracken2.6	3	4.216061197143257	11846.00022	0.23898999999999973	0.6875	0.39285714285714285	0.5	11.0	17.0	5.0	28.0	0.3333333333333333	1.4070542983392043	0.4222592863201013	0.12701086812106352
Bracken2.6	20	3.742137207046105	10868.000259997396	0.2130200000000026	0.7368421052631579	0.6363636363636364	0.6829268292682926	14.0	8.0	5.0	22.0	0.5185185185185185	1.352304253441651	0.437491323347053	0.11175464551397177
Bracken2.6	2	3.474248194616613	10640.000110000003	0.16261999999999988	0.5833333333333334	0.35	0.4375	7.0	13.0	5.0	20.0	0.28	1.2714787423956313	0.42443003122145184	0.08580172004431992
Bracken2.6	19	3.9437065164995255	12232.00023	0.24122000000000127	0.6470588235294118	0.4074074074074074	0.5	11.0	16.0	6.0	27.0	0.3333333333333333	1.277773814802669	0.3876932829966684	0.12345818021762091
Bracken2.6	4	4.343806447836175	12623.000049999993	0.24874000000000318	0.75	0.46875	0.5769230769230769	15.0	17.0	5.0	32.0	0.40540540540540543	1.4227336297661572	0.4105141504339179	0.12771747502028286
Bracken2.6	17	3.7203173118517676	10927.000349999997	0.2234499999999992	0.7058823529411765	0.5714285714285714	0.6315789473684211	12.0	9.0	5.0	21.0	0.46153846153846156	1.3307128734970939	0.43708427207130385	0.11753288764287187
Bracken2.6	18	3.918373143557605	11331.000470000003	0.25724000000000025	0.6470588235294118	0.4230769230769231	0.5116279069767442	11.0	15.0	6.0	26.0	0.34375	1.3403015686548914	0.41137564618291067	0.13416504115076075
Bracken2.6	10	4.07467774718349	10563.000200000002	0.3041800000000006	0.6111111111111112	0.5	0.55	11.0	11.0	7.0	22.0	0.3793103448275862	1.288182142453895	0.41674682955399966	0.15915988195650807
Bracken2.6	11	3.689616045425397	9681.000450000001	0.2654699999999912	0.625	0.5555555555555556	0.5882352941176471	10.0	8.0	6.0	18.0	0.4166666666666667	1.1732385318134857	0.40591267493820904	0.13824906391421457
Bracken2.6	12	3.566456943802097	11800.000009999998	0.16175000000000064	0.6666666666666666	0.3333333333333333	0.4444444444444444	10.0	20.0	5.0	30.0	0.2857142857142857	1.1825284221301495	0.347680034244955	0.08308719660973447
Bracken2.6	1	3.7668166814368793	11940.999849999997	0.16631000000000015	0.6428571428571429	0.34615384615384615	0.45	9.0	17.0	5.0	26.0	0.2903225806451613	1.3169237797447682	0.4042003557526524	0.08540236318727304
Bracken2.6	14	2.9777531597192506	10115.000380000003	0.12312999999999598	0.6842105263157895	0.52	0.5909090909090909	13.0	12.0	6.0	25.0	0.41935483870967744	0.9553424372971455	0.296793815380021	0.06328216145097014
Bracken2.6	15	4.006090223035593	12399.000119998798	0.2322600000000018	0.782608695652174	0.6428571428571429	0.7058823529411765	18.0	10.0	5.0	28.0	0.5454545454545454	1.4016101439920674	0.4206254867347179	0.1206946725144989
Bracken2.6	16	4.2420333445852325	10267.00057	0.1629999999999977	0.75	0.6521739130434783	0.6976744186046512	15.0	8.0	5.0	23.0	0.5357142857142857	1.2987721019245284	0.4142160732832542	0.08564702915151513
Bracken2.6	13	3.9694532084385137	10929.000079999998	0.2878300000000022	0.7	0.6363636363636364	0.6666666666666666	14.0	8.0	6.0	22.0	0.5	1.354603041572714	0.4382350168309666	0.15307419442332007
KSSD2.L3K10S18	2	3.2552989999999955	797.9997739999999	0.11032299999999996	0.5833333333333334	1.0	0.7368421052631579	7.0	0.0	5.0	7.0	0.5833333333333334	1.3022367302481965	0.6692172970475524	0.055172562098700764
KSSD2.L3K10S18	9	3.455998999999995	1234.999148000001	0.30711099999999997	0.5	1.0	0.6666666666666666	8.0	0.0	8.0	8.0	0.5	1.3644227551184553	0.6561486474951508	0.1535915172107859
KSSD2.L3K10S18	8	3.5454829999999893	1339.9994920000006	0.29413200000000006	0.5294117647058824	1.0	0.6923076923076924	9.0	0.0	8.0	9.0	0.5294117647058824	1.2965969897184801	0.5901067205840174	0.1471057185440069
