tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	0.19378999999999977	0.6129032258064516	0.296875	0.39999999999999997	19.0	45.0	12.0	64.0	0.25	1.5524486621877829	0.3732849976955034	0.1026946821758828
Bracken2.6	9	3.838002703202861	10168.000549999999	0.29757000000000083	0.6285714285714286	0.4074074074074074	0.4943820224719101	22.0	32.0	13.0	54.0	0.3283582089552239	1.3144289520621373	0.3295147177122103	0.15423488983222183
Bracken2.6	8	3.822042165766862	10294.00027	0.29711000000000015	0.6976744186046512	0.44776119402985076	0.5454545454545455	30.0	37.0	13.0	67.0	0.375	1.3466827588805557	0.3202809053556019	0.15281628202424613
Bracken2.6	7	3.670147009533877	10423.000620006193	0.25317999999999996	0.6666666666666666	0.45161290322580644	0.5384615384615384	28.0	34.0	14.0	62.0	0.3684210526315789	1.4400778607162363	0.3489292391191431	0.13425317100072112
Bracken2.6	6	4.180833597509231	10816.000170000001	0.33488000000000007	0.7	0.45901639344262296	0.5544554455445544	28.0	33.0	12.0	61.0	0.3835616438356164	1.3445330662969983	0.32706745833647255	0.17784575513282133
Bracken2.6	5	4.012340277612906	11204.000530000001	0.3220900000000001	0.625	0.31746031746031744	0.42105263157894735	20.0	43.0	12.0	63.0	0.26666666666666666	1.4889271003370876	0.35937211765108834	0.17323652010219176
Bracken2.6	3	4.216061197143257	11846.00022	0.30074000000000045	0.675	0.36	0.46956521739130425	27.0	48.0	13.0	75.0	0.3068181818181818	1.6585092585367058	0.3841375389863613	0.15983205782312954
Bracken2.6	20	3.742137207046105	10868.000259997396	0.2525299999999999	0.7	0.4444444444444444	0.5436893203883495	28.0	35.0	12.0	63.0	0.37333333333333335	1.476743658956934	0.3564314840041674	0.1324719743585708
Bracken2.6	2	3.474248194616613	10640.000110000003	0.18366000000000007	0.5555555555555556	0.2459016393442623	0.3409090909090909	15.0	46.0	12.0	61.0	0.2054794520547945	1.482610505998788	0.3606558009283357	0.09689264046425748
Bracken2.6	19	3.9437065164995255	12232.00023	0.2678299999999997	0.6285714285714286	0.3055555555555556	0.4112149532710281	22.0	50.0	13.0	72.0	0.25882352941176473	1.4218793917830546	0.3324737896794689	0.1370710611837558
Bracken2.6	4	4.343806447836175	12623.000049999993	0.33791000000000054	0.7	0.34146341463414637	0.4590163934426229	28.0	54.0	12.0	82.0	0.2978723404255319	1.8221766343188248	0.4134995973365117	0.17350517316628605
Bracken2.6	17	3.7203173118517676	10927.000349999997	0.27419000000000077	0.6571428571428571	0.39655172413793105	0.4946236559139785	23.0	35.0	12.0	58.0	0.32857142857142857	1.4250127669190995	0.3509500720039249	0.14422475054309844
Bracken2.6	18	3.918373143557605	11331.000470000003	0.2726800000000001	0.6285714285714286	0.3235294117647059	0.4271844660194175	22.0	46.0	13.0	68.0	0.2716049382716049	1.5160840395904807	0.3593035362231208	0.14220599739243814
Bracken2.6	10	4.07467774718349	10563.000200000002	0.3257400000000002	0.6585365853658537	0.4153846153846154	0.509433962264151	27.0	38.0	14.0	65.0	0.34177215189873417	1.3783093700914697	0.33018243899683236	0.17043920509842092
