tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	0.14537000000000386	0.5714285714285714	0.36363636363636365	0.4444444444444444	4.0	7.0	3.0	11.0	0.2857142857142857	0.5160515878995916	0.21521022780004634	0.07702660456638649
Bracken2.6	9	3.838002703202861	10168.000549999999	0.2879699999999996	0.6666666666666666	0.6	0.631578947368421	6.0	4.0	3.0	10.0	0.46153846153846156	0.7622826029558503	0.33105512811457316	0.14924669213108063
Bracken2.6	8	3.822042165766862	10294.00027	0.2758599999999991	0.7	0.5384615384615384	0.608695652173913	7.0	6.0	3.0	13.0	0.4375	0.7337420525994711	0.28606492774018605	0.14185221370905457
Bracken2.6	7	3.670147009533877	10423.000620006193	0.19025000000000877	0.6153846153846154	0.7272727272727273	0.6666666666666667	8.0	3.0	5.0	11.0	0.5	0.6007339026556485	0.2505254960341055	0.10086470610066288
Bracken2.6	6	4.180833597509231	10816.000170000001	0.3277299999999995	0.7	0.5833333333333334	0.6363636363636365	7.0	5.0	3.0	12.0	0.4666666666666667	0.7579161853020276	0.3050079106056919	0.17402547750407468
Bracken2.6	5	4.012340277612906	11204.000530000001	0.24747000000000696	0.5714285714285714	0.36363636363636365	0.4444444444444444	4.0	7.0	3.0	11.0	0.2857142857142857	0.6299181657278254	0.2626962790550498	0.1330863095398191
Bracken2.6	3	4.216061197143257	11846.00022	0.1747900000000065	0.5555555555555556	0.35714285714285715	0.43478260869565216	5.0	9.0	4.0	14.0	0.2777777777777778	0.573184540977153	0.21719290996255702	0.09286917342769911
Bracken2.6	20	3.742137207046105	10868.000259997396	0.20082000000000164	0.6666666666666666	0.5454545454545454	0.6	6.0	5.0	3.0	11.0	0.42857142857142855	0.7221288142111056	0.30115110630681263	0.10533327738497435
Bracken2.6	2	3.474248194616613	10640.000110000003	0.14426000000000802	0.5	0.2727272727272727	0.3529411764705882	3.0	8.0	3.0	11.0	0.21428571428571427	0.5214520832647459	0.21746240929705218	0.0760985387983375
Bracken2.6	19	3.9437065164995255	12232.00023	0.24019999999999903	0.7	0.5384615384615384	0.608695652173913	7.0	6.0	3.0	13.0	0.4375	0.7508509852989559	0.29273520863665453	0.12291097397480288
Bracken2.6	4	4.343806447836175	12623.000049999993	0.18779000000000096	0.6666666666666666	0.4	0.5	6.0	9.0	3.0	15.0	0.3333333333333333	0.7211815593098463	0.26631026227516624	0.09639797337878028
Bracken2.6	17	3.7203173118517676	10927.000349999997	0.22306000000000809	0.625	0.45454545454545453	0.5263157894736842	5.0	6.0	3.0	11.0	0.35714285714285715	0.6613176473264155	0.2757908799555914	0.11730492127434007
Bracken2.6	18	3.918373143557605	11331.000470000003	0.2559100000000029	0.6666666666666666	0.46153846153846156	0.5454545454545455	6.0	7.0	3.0	13.0	0.375	0.7244371330146767	0.2824372071546992	0.13344283665754278
Bracken2.6	10	4.07467774718349	10563.000200000002	0.30391000000000196	0.5555555555555556	0.45454545454545453	0.5	5.0	6.0	4.0	11.0	0.3333333333333333	0.7519189749050035	0.31357456826190144	0.15898449965211917
Bracken2.6	11	3.689616045425397	9681.000450000001	0.2651199999999889	0.625	0.5	0.5555555555555556	5.0	5.0	3.0	10.0	0.38461538461538464	0.7470231164303968	0.3244280173198917	0.13803875831762125
Bracken2.6	12	3.566456943802097	11800.000009999998	0.11207000000001104	0.625	0.38461538461538464	0.4761904761904762	5.0	8.0	3.0	13.0	0.3125	0.4162934361828262	0.16230084035453274	0.05755473271740903
Bracken2.6	1	3.7668166814368793	11940.999849999997	0.10523999999999994	0.5	0.2857142857142857	0.36363636363636365	4.0	10.0	4.0	14.0	0.2222222222222222	0.7291283252985368	0.2762836248823873	0.054029078363725835
Bracken2.6	14	2.9777531597192506	10115.000380000003	0.09331000000000898	0.7	0.5384615384615384	0.608695652173913	7.0	6.0	3.0	13.0	0.4375	0.33385038214434404	0.1301586642142311	0.04794594455720754
Bracken2.6	15	4.006090223035593	12399.000119998798	0.1846200000000059	0.75	0.6923076923076923	0.7199999999999999	9.0	4.0	3.0	13.0	0.5625	0.5999438613086773	0.23390086028927526	0.09591446561792466
Bracken2.6	16	4.2420333445852325	10267.00057	0.1622100000000076	0.7	0.5384615384615384	0.608695652173913	7.0	6.0	3.0	13.0	0.4375	0.49431779503613305	0.19272029430060422	0.08521446770508172
Bracken2.6	13	3.9694532084385137	10929.000079999998	0.2619300000000009	0.6363636363636364	0.6363636363636364	0.6363636363636364	7.0	4.0	4.0	11.0	0.4666666666666667	0.687785574566364	0.28682886294851007	0.13927038968911026
KSSD2.L3K10S18	2	3.2552989999999955	797.9997739999999	0.05000800000000011	0.5	1.0	0.6666666666666666	3.0	0.0	3.0	3.0	0.5	0.4818152644705047	0.4385671537086373	0.025004125020625156
KSSD2.L3K10S18	9	3.455998999999995	1234.999148000001	0.11230399999999992	0.5555555555555556	1.0	0.7142857142857143	5.0	0.0	4.0	5.0	0.5555555555555556	0.8069665910065138	0.5013965340148253	0.05615199999999996
KSSD2.L3K10S18	8	3.5454829999999893	1339.9994920000006	0.12222400000000004	0.4	1.0	0.5714285714285715	4.0	0.0	6.0	4.0	0.4	0.6844905016756718	0.4937555261515452	0.06111200000000002
KSSD2.L3K10S18	7	4.223306720237206	1484.9985529851986	0.04841599999999998	0.38461538461538464	1.0	0.5555555555555556	5.0	0.0	8.0	5.0	0.38461538461538464	0.476511814880798	0.2960734373158425	0.024207878960605184
KSSD2.L3K10S18	6	3.1864369999999957	1372.9996640000006	0.14579099999999992	0.4	1.0	0.5714285714285715	4.0	0.0	6.0	4.0	0.4	0.8549837761187703	0.6167404269235348	0.07289626541078677
KSSD2.L3K10S18	5	3.5209929999999923	1054.9993410000006	0.07017800000000005	0.5714285714285714	1.0	0.7272727272727273	4.0	0.0	3.0	4.0	0.5714285714285714	0.623410925252717	0.44969592514904755	0.03508900000000002
KSSD2.L3K10S18	4	3.2380079999999913	1334.9992340000008	0.028998	0.5555555555555556	1.0	0.7142857142857143	5.0	0.0	4.0	5.0	0.5555555555555556	0.7012609880111862	0.43571795009513914	0.014499
KSSD2.L3K10S18	3	3.6156199999999847	1261.9989720000012	0.08268399999999997	0.4444444444444444	1.0	0.6153846153846153	4.0	0.0	5.0	4.0	0.4444444444444444	0.49325313575006224	0.35580692642477274	0.04134179329103353
KSSD2.L3K10S18	20	3.4298974128458553	1444.9992960072002	0.02766200000000001	0.4444444444444444	1.0	0.6153846153846153	4.0	0.0	5.0	4.0	0.4444444444444444	0.6936172707393223	0.5003390983852789	0.013831069155345785
KSSD2.L3K10S18	19	2.917546000000003	1292.9997250000004	0.06681700000000007	0.5	1.0	0.6666666666666666	5.0	0.0	5.0	5.0	0.5	0.8343790621222777	0.5184288599616558	0.033408683747760654
KSSD2.L3K10S18	12	3.6952160000000007	974.9994500000006	0.03055999999999997	0.625	1.0	0.7692307692307693	5.0	0.0	3.0	5.0	0.625	0.34276985026064605	0.21297488248070645	0.015279999999999985
KSSD2.L3K10S18	17	3.805246	1276.9989150000013	0.0369819999999999	0.5	1.0	0.6666666666666666	4.0	0.0	4.0	4.0	0.5	0.6525670175701429	0.4707276000480731	0.018491092455462228
KSSD2.L3K10S18	18	3.5434599999999943	1334.999257000001	0.048915999999999966	0.5555555555555556	1.0	0.7142857142857143	5.0	0.0	4.0	5.0	0.5555555555555556	0.6529848090861554	0.405722273621967	0.024457999999999983
KSSD2.L3K10S18	1	2.6954109999999982	861.9989900000004	0.03652800000000005	0.5	1.0	0.6666666666666666	4.0	0.0	4.0	4.0	0.5	0.7674404710282732	0.55359128086499	0.018264091320456626
KSSD2.L3K10S18	10	3.888582000000004	1305.999434000001	0.12470200000000001	0.4444444444444444	1.0	0.6153846153846153	4.0	0.0	5.0	4.0	0.4444444444444444	0.7722967347283056	0.5570943346436329	0.06235099999999999
KSSD2.L3K10S18	11	3.1536119999999928	1219.9993170000007	0.13401000000000002	0.625	1.0	0.7692307692307693	5.0	0.0	3.0	5.0	0.625	0.7502187379962567	0.46613711047829876	0.06700533502667513
KSSD2.L3K10S18	0	3.243558999999999	850.9996500000002	0.06462099999999989	0.5714285714285714	1.0	0.7272727272727273	4.0	0.0	3.0	4.0	0.5714285714285714	0.41336771680155837	0.29818177754660086	0.032310677708727344
KSSD2.L3K10S18	13	3.6845129999999946	1326.9997020000005	0.04832600000000002	0.45454545454545453	1.0	0.625	5.0	0.0	6.0	5.0	0.45454545454545453	0.6954369015113638	0.43209924169090247	0.02416312081560408
KSSD2.L3K10S18	14	3.952663999999994	1405.9993630000008	0.0701999999999999	0.4	1.0	0.5714285714285715	4.0	0.0	6.0	4.0	0.4	0.17703787031190338	0.12770582877426323	0.03509999999999995
KSSD2.L3K10S18	15	3.64369997454024	1496.9994340057997	0.033278000000000044	0.3333333333333333	1.0	0.5	4.0	0.0	8.0	4.0	0.3333333333333333	0.6190847568408127	0.4465752542920951	0.016639083195416
KSSD2.L3K10S18	16	4.136850999999992	1442.9988320000016	0.05887799999999999	0.5	1.0	0.6666666666666666	5.0	0.0	5.0	5.0	0.5	0.4716010823671186	0.29302222765081576	0.029438999999999993
KSSD2.L3K10S8	9	3.2487029999999857	1167.9992730000006	0.10005899999999994	0.5555555555555556	0.625	0.5882352941176471	5.0	3.0	4.0	8.0	0.4166666666666667	0.8041238362403224	0.38670182360150734	0.05002947498526247
KSSD2.L3K10S8	8	3.4702469999999845	1260.9995950000005	0.11903299999999999	0.5	0.7142857142857143	0.588235294117647	5.0	2.0	5.0	7.0	0.4166666666666667	0.6841397480362604	0.35157828246509315	0.05951647024176489
KSSD2.L3K10S8	7	4.070212991029905	1400.998792987599	0.05441899999999991	0.5384615384615384	0.875	0.6666666666666667	7.0	1.0	6.0	8.0	0.5	0.4706270195496646	0.22632375573755148	0.02720935034857304
KSSD2.L3K10S8	6	3.370427999999988	1271.999669	0.1012649999999999	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.8444389425635466	0.4712903473184137	0.050633031646832236
KSSD2.L3K10S8	5	3.466544999999989	1041.9996570000005	0.04209999999999999	0.5714285714285714	0.6666666666666666	0.6153846153846153	4.0	2.0	3.0	6.0	0.4444444444444444	0.5987782503739253	0.33418450448145104	0.021049999999999992
KSSD2.L3K10S8	4	4.092562999999986	1262.9994310000004	0.140461	0.5555555555555556	0.7142857142857143	0.6250000000000001	5.0	2.0	4.0	7.0	0.45454545454545453	0.6411113241028056	0.3294660467309078	0.07023046488476756
KSSD2.L3K10S8	3	3.5581189999999787	1182.999064000001	0.03277199999999997	0.4444444444444444	0.5714285714285714	0.5	4.0	3.0	5.0	7.0	0.3333333333333333	0.45595413997612133	0.23431407673035404	0.01638591807040963
KSSD2.L3K10S8	20	3.5424238623013657	1376.9993660069993	0.06242999999999995	0.4444444444444444	0.8	0.5714285714285714	4.0	1.0	5.0	5.0	0.4	0.6702952271593927	0.4164778411027014	0.03121515607578035
