tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	1.0381300000000104	0.32098765432098764	0.017298735861610112	0.032828282828282825	26.0	1477.0	55.0	1503.0	0.01668806161745828	3.8895524927245466	0.5317069546649436	0.684290318965915
Bracken2.6	9	3.838002703202861	10168.000549999999	0.9586700000000092	0.29591836734693877	0.020758768790264854	0.03879598662207358	29.0	1368.0	69.0	1397.0	0.019781718963165076	3.155032907121093	0.4356527239832163	0.5403484446248105
Bracken2.6	8	3.822042165766862	10294.00027	0.9262300000000099	0.3684210526315789	0.029787234042553193	0.05511811023622048	42.0	1368.0	72.0	1410.0	0.02834008097165992	3.2768018229198774	0.4518888330970031	0.5377523353905285
Bracken2.6	7	3.670147009533877	10423.000620006193	1.0094700000000096	0.3333333333333333	0.029350104821802937	0.05394990366088632	42.0	1389.0	84.0	1431.0	0.027722772277227723	3.65770973059514	0.5033918117287235	0.6158421640220354
Bracken2.6	6	4.180833597509231	10816.000170000001	1.0860500000000113	0.34579439252336447	0.02488231338264963	0.046424090338770395	37.0	1450.0	70.0	1487.0	0.023763648041104687	3.3604374489868554	0.4600493001340299	0.6331139494348291
Bracken2.6	5	4.012340277612906	11204.000530000001	1.0596200000000096	0.2857142857142857	0.01706036745406824	0.03219814241486068	26.0	1498.0	65.0	1524.0	0.016362492133417242	3.661721960835408	0.4996145625380779	0.6880828073456455
Bracken2.6	3	4.216061197143257	11846.00022	1.0897300000000099	0.31451612903225806	0.024029574861367836	0.04464796794504865	39.0	1584.0	85.0	1623.0	0.022833723653395786	4.136319836663479	0.55956468785133	0.7390755875072061
Bracken2.6	20	3.742137207046105	10868.000259997396	1.1515200000000116	0.35	0.02798134576948701	0.05181986428130784	42.0	1459.0	78.0	1501.0	0.026599113362887904	3.8037077938005517	0.5200665366257852	0.6667052652300283
Bracken2.6	2	3.474248194616613	10640.000110000003	1.033420000000008	0.273972602739726	0.013986013986013986	0.026613439787092477	20.0	1410.0	53.0	1430.0	0.013486176668914362	3.6846071995586236	0.5071423632060688	0.6846924442795431
Bracken2.6	19	3.9437065164995255	12232.00023	1.1729400000000099	0.29411764705882354	0.017974835230677052	0.03387916431394692	30.0	1639.0	72.0	1669.0	0.01723147616312464	3.9230389825520198	0.5287128837157231	0.6896969411875389
Bracken2.6	4	4.343806447836175	12623.000049999993	1.1100000000000088	0.35537190082644626	0.02488425925925926	0.046511627906976744	43.0	1685.0	78.0	1728.0	0.023809523809523808	4.335361494087294	0.5815592703059443	0.7057566856140084
Bracken2.6	17	3.7203173118517676	10927.000349999997	1.0344000000000084	0.29523809523809524	0.02073578595317726	0.03875000000000001	31.0	1464.0	74.0	1495.0	0.019757807520713832	3.5831019363044208	0.490172370544272	0.6143101482326111
Bracken2.6	18	3.918373143557605	11331.000470000003	1.0517100000000095	0.32727272727272727	0.023032629558541268	0.0430364614465033	36.0	1527.0	74.0	1563.0	0.021991447770311544	3.869802770913707	0.5261914761673062	0.641783576306042
Bracken2.6	10	4.07467774718349	10563.000200000002	1.0121800000000087	0.35135135135135137	0.026878015161957272	0.049935979513444306	39.0	1412.0	72.0	1451.0	0.025607353906762966	3.3436283722984483	0.4592890909119193	0.5901648902675094
Bracken2.6	11	3.689616045425397	9681.000450000001	0.9618600000000069	0.30303030303030304	0.022271714922048998	0.041493775933609964	30.0	1317.0	69.0	1347.0	0.0211864406779661	3.089509973775292	0.4287630303418158	0.5393708293612965
Bracken2.6	12	3.566456943802097	11800.000009999998	0.9655600000000092	0.2696629213483146	0.015018773466833541	0.028452874925903968	24.0	1574.0	65.0	1598.0	0.014431749849669273	3.9361191876135813	0.5336019591120437	0.6471061308741923
Bracken2.6	1	3.7668166814368793	11940.999849999997	1.2421600000000084	0.2988505747126437	0.016229712858926344	0.030787448194197757	26.0	1576.0	61.0	1602.0	0.015634395670475046	4.164185369733668	0.5643286059195715	0.7198423736671303
Bracken2.6	14	2.9777531597192506	10115.000380000003	0.9956400000000094	0.3482142857142857	0.02795698924731183	0.051758460517584606	39.0	1356.0	73.0	1395.0	0.02656675749318801	3.4396911875302116	0.4750528381809672	0.5476326674293761
Bracken2.6	15	4.006090223035593	12399.000119998798	1.1334700000000133	0.3277310924369748	0.022860492379835874	0.04273972602739726	39.0	1667.0	80.0	1706.0	0.021836506159014557	4.016904732118091	0.539768217865015	0.7186733199338055
Bracken2.6	16	4.2420333445852325	10267.00057	1.120570000000005	0.384	0.03375527426160337	0.06205559146735617	48.0	1374.0	77.0	1422.0	0.032021347565043365	3.3935616577909333	0.4674443498495087	0.7465539410655636
Bracken2.6	13	3.9694532084385137	10929.000079999998	1.0756100000000102	0.28431372549019607	0.019385026737967916	0.03629536921151439	29.0	1467.0	73.0	1496.0	0.018483110261312937	3.5923285460940795	0.49138963117575396	0.6427346443659657
KSSD2.L3K10S18	2	3.2552989999999955	797.9997739999999	0.9448660000000008	0.273972602739726	0.3508771929824561	0.3076923076923077	20.0	37.0	53.0	57.0	0.18181818181818182	2.4384812147177084	0.6031289373245454	0.6147829085632861
KSSD2.L3K10S18	9	3.455998999999995	1234.999148000001	0.8045590000000008	0.20408163265306123	0.39215686274509803	0.26845637583892623	20.0	31.0	78.0	51.0	0.15503875968992248	2.103966098720286	0.53511175094061	0.4716544448046485
KSSD2.L3K10S18	8	3.5454829999999893	1339.9994920000006	0.8614770000000014	0.21929824561403508	0.45454545454545453	0.2958579881656805	25.0	30.0	89.0	55.0	0.1736111111111111	1.9117201373666246	0.4770554503457698	0.5331717168216299
