tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	na	0.0	0.0	na	0.0	0.0	138.0	0.0	0.0	na	na	na
Bracken2.6	9	3.838002703202861	10168.000549999999	na	0.0	0.0	na	0.0	0.0	166.0	0.0	0.0	na	na	na
Bracken2.6	8	3.822042165766862	10294.00027	na	0.0	0.0	na	0.0	0.0	185.0	0.0	0.0	na	na	na
Bracken2.6	7	3.670147009533877	10423.000620006193	na	0.0	0.0	na	0.0	0.0	214.0	0.0	0.0	na	na	na
Bracken2.6	6	4.180833597509231	10816.000170000001	na	0.0	0.0	na	0.0	0.0	187.0	0.0	0.0	na	na	na
Bracken2.6	5	4.012340277612906	11204.000530000001	na	0.0	0.0	na	0.0	0.0	160.0	0.0	0.0	na	na	na
Bracken2.6	3	4.216061197143257	11846.00022	na	0.0	0.0	na	0.0	0.0	196.0	0.0	0.0	na	na	na
Bracken2.6	20	3.742137207046105	10868.000259997396	na	0.0	0.0	na	0.0	0.0	198.0	0.0	0.0	na	na	na
Bracken2.6	2	3.474248194616613	10640.000110000003	na	0.0	0.0	na	0.0	0.0	122.0	0.0	0.0	na	na	na
Bracken2.6	19	3.9437065164995255	12232.00023	na	0.0	0.0	na	0.0	0.0	178.0	0.0	0.0	na	na	na
Bracken2.6	4	4.343806447836175	12623.000049999993	na	0.0	0.0	na	0.0	0.0	192.0	0.0	0.0	na	na	na
Bracken2.6	17	3.7203173118517676	10927.000349999997	na	0.0	0.0	na	0.0	0.0	186.0	0.0	0.0	na	na	na
Bracken2.6	18	3.918373143557605	11331.000470000003	na	0.0	0.0	na	0.0	0.0	192.0	0.0	0.0	na	na	na
Bracken2.6	10	4.07467774718349	10563.000200000002	na	0.0	0.0	na	0.0	0.0	184.0	0.0	0.0	na	na	na
Bracken2.6	11	3.689616045425397	9681.000450000001	na	0.0	0.0	na	0.0	0.0	177.0	0.0	0.0	na	na	na
Bracken2.6	12	3.566456943802097	11800.000009999998	na	0.0	0.0	na	0.0	0.0	147.0	0.0	0.0	na	na	na
Bracken2.6	1	3.7668166814368793	11940.999849999997	na	0.0	0.0	na	0.0	0.0	139.0	0.0	0.0	na	na	na
Bracken2.6	14	2.9777531597192506	10115.000380000003	na	0.0	0.0	na	0.0	0.0	197.0	0.0	0.0	na	na	na
Bracken2.6	15	4.006090223035593	12399.000119998798	na	0.0	0.0	na	0.0	0.0	200.0	0.0	0.0	na	na	na
Bracken2.6	16	4.2420333445852325	10267.00057	na	0.0	0.0	na	0.0	0.0	214.0	0.0	0.0	na	na	na
Bracken2.6	13	3.9694532084385137	10929.000079999998	na	0.0	0.0	na	0.0	0.0	179.0	0.0	0.0	na	na	na
KSSD2.L3K10S18	2	3.2552989999999955	797.9997739999999	na	0.0	0.0	na	0.0	0.0	122.0	0.0	0.0	na	na	na
