tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.6	0	3.6682172626454865	11049.99999	0.11272000000000937	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11027956865698918	0.15909978681281225	0.05972616675851486
Bracken2.6	9	3.838002703202861	10168.000549999999	0.07051000000000811	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.07200061412760872	0.10387492894286095	0.0365433352854943
Bracken2.6	8	3.822042165766862	10294.00027	0.055300000000008565	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05786256302696483	0.08347803273212726	0.028436262662626013
Bracken2.6	7	3.670147009533877	10423.000620006193	0.11381000000001565	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11207168839183138	0.10201204696854449	0.06033920590403654
Bracken2.6	6	4.180833597509231	10816.000170000001	0.11675000000000965	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.1138650203626907	0.10364440807478466	0.06199389353511763
Bracken2.6	5	4.012340277612906	11204.000530000001	0.14053000000001595	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.13430758223298442	0.19376488284131327	0.0755752983377076
Bracken2.6	3	4.216061197143257	11846.00022	0.11790000000001662	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11551041889826531	0.10514211436529904	0.0626427926252684
Bracken2.6	20	3.742137207046105	10868.000259997396	0.0934800000000088	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.0933991027148336	0.08501552702279068	0.04903122934740904
Bracken2.6	2	3.474248194616613	10640.000110000003	0.10429000000001487	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10267184382743741	0.1481241599287701	0.05501368880262049
Bracken2.6	19	3.9437065164995255	12232.00023	0.045830000000009544	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.05015995124276803	0.045657555226857036	0.023451211961504688
Bracken2.6	4	4.343806447836175	12623.000049999993	0.05207000000000767	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.056164917320135226	0.05112351090504015	0.026729018977761514
Bracken2.6	17	3.7203173118517676	10927.000349999997	0.09845000000001887	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0974591113037479	0.14060377656736261	0.051773553154016376
Bracken2.6	18	3.918373143557605	11331.000470000003	0.0822700000000115	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08352568717684332	0.07602835689932501	0.04289923086951479
Bracken2.6	10	4.07467774718349	10563.000200000002	0.08843000000001142	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.08916047229425592	0.08115735934680705	0.046260403751896065
Bracken2.6	11	3.689616045425397	9681.000450000001	0.07937000000002198	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.07986097670836857	0.11521503505771236	0.04132498190699036
Bracken2.6	12	3.566456943802097	11800.000009999998	0.052810000000021756	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05735284781680286	0.0827426691261609	0.02712113353089444
Bracken2.6	1	3.7668166814368793	11940.999849999997	0.052350000000006267	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.056504410916028716	0.051432531293211	0.02687578612316474
Bracken2.6	14	2.9777531597192506	10115.000380000003	0.053860000000018414	1.0	0.75	0.8571428571428571	3.0	1.0	0.0	4.0	0.75	0.05672202382371042	0.04091629123982633	0.027675011304321803
Bracken2.6	15	4.006090223035593	12399.000119998798	0.07516000000001827	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.0775233832248345	0.07056482439206929	0.03904699562566576
Bracken2.6	16	4.2420333445852325	10267.00057	0.09645000000001652	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.09582385700021764	0.08722263348827876	0.05066848782538801
Bracken2.6	13	3.9694532084385137	10929.000079999998	0.11926000000001129	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11659010754530565	0.1061248893243788	0.06341121048098727
KSSD2.L3K10S18	2	3.2552989999999955	797.9997739999999	0.019660000000000042	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.009830000000000021
KSSD2.L3K10S18	9	3.455998999999995	1234.999148000001	0.01933999999999999	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.009669999999999993
KSSD2.L3K10S18	8	3.5454829999999893	1339.9994920000006	0.019399999999999987	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.009699999999999993
KSSD2.L3K10S18	7	4.223306720237206	1484.9985529851986	0.02019000000000005	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.0100950504752524
KSSD2.L3K10S18	6	3.1864369999999957	1372.9996640000006	0.019540000000000037	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.009770000000000018
KSSD2.L3K10S18	5	3.5209929999999923	1054.9993410000006	0.020180000000000003	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.010090000000000003
KSSD2.L3K10S18	4	3.2380079999999913	1334.9992340000008	0.020159999999999956	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.010079999999999976
KSSD2.L3K10S18	3	3.6156199999999847	1261.9989720000012	0.019900000000000046	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.009950000000000023
KSSD2.L3K10S18	20	3.4298974128458553	1444.9992960072002	0.01898999999999998	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.009494952525237365
