rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	3.6682172626454865	11049.99999	0.07051000000000811	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.07200061412760872	0.10387492894286095	0.0365433352854943
superkingdom	0	3.6682172626454865	11049.99999	0.11272000000000937	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11027956865698918	0.15909978681281225	0.05972616675851486
superkingdom	1	3.6682172626454865	11049.99999	0.052350000000006267	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.056504410916028716	0.051432531293211	0.02687578612316474
superkingdom	10	3.6682172626454865	11049.99999	0.08843000000001142	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.08916047229425592	0.08115735934680705	0.046260403751896065
superkingdom	11	3.6682172626454865	11049.99999	0.07937000000002198	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.07986097670836857	0.11521503505771236	0.04132498190699036
superkingdom	12	3.6682172626454865	11049.99999	0.052810000000021756	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05735284781680286	0.0827426691261609	0.02712113353089444
superkingdom	13	3.6682172626454865	11049.99999	0.11926000000001129	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11659010754530565	0.1061248893243788	0.06341121048098727
superkingdom	14	3.6682172626454865	11049.99999	0.053860000000018414	1.0	0.75	0.8571428571428571	3.0	1.0	0.0	4.0	0.75	0.05672202382371042	0.04091629123982633	0.027675011304321803
superkingdom	15	3.6682172626454865	11049.99999	0.07516000000001827	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.0775233832248345	0.07056482439206929	0.03904699562566576
superkingdom	16	3.6682172626454865	11049.99999	0.09645000000001652	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.09582385700021764	0.08722263348827876	0.05066848782538801
superkingdom	8	3.6682172626454865	11049.99999	0.055300000000008565	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05786256302696483	0.08347803273212726	0.028436262662626013
superkingdom	18	3.6682172626454865	11049.99999	0.0822700000000115	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08352568717684332	0.07602835689932501	0.04289923086951479
superkingdom	19	3.6682172626454865	11049.99999	0.045830000000009544	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.05015995124276803	0.045657555226857036	0.023451211961504688
superkingdom	2	3.6682172626454865	11049.99999	0.10429000000001487	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10267184382743741	0.1481241599287701	0.05501368880262049
superkingdom	20	3.6682172626454865	11049.99999	0.0934800000000088	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.0933991027148336	0.08501552702279068	0.04903122934740904
superkingdom	3	3.6682172626454865	11049.99999	0.11790000000001662	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11551041889826531	0.10514211436529904	0.0626427926252684
superkingdom	4	3.6682172626454865	11049.99999	0.05207000000000767	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.056164917320135226	0.05112351090504015	0.026729018977761514
superkingdom	5	3.6682172626454865	11049.99999	0.14053000000001595	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.13430758223298442	0.19376488284131327	0.0755752983377076
superkingdom	6	3.6682172626454865	11049.99999	0.11675000000000965	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.1138650203626907	0.10364440807478466	0.06199389353511763
superkingdom	7	3.6682172626454865	11049.99999	0.11381000000001565	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11207168839183138	0.10201204696854449	0.06033920590403654
superkingdom	17	3.6682172626454865	11049.99999	0.09845000000001887	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0974591113037479	0.14060377656736261	0.051773553154016376
phylum	15	3.6682172626454865	11049.99999	0.1846200000000059	0.75	0.6923076923076923	0.7199999999999999	9.0	4.0	3.0	13.0	0.5625	0.5999438613086773	0.23390086028927526	0.09591446561792466
phylum	14	3.6682172626454865	11049.99999	0.09331000000000898	0.7	0.5384615384615384	0.608695652173913	7.0	6.0	3.0	13.0	0.4375	0.33385038214434404	0.1301586642142311	0.04794594455720754
phylum	13	3.6682172626454865	11049.99999	0.2619300000000009	0.6363636363636364	0.6363636363636364	0.6363636363636364	7.0	4.0	4.0	11.0	0.4666666666666667	0.687785574566364	0.28682886294851007	0.13927038968911026
phylum	1	3.6682172626454865	11049.99999	0.10523999999999994	0.5	0.2857142857142857	0.36363636363636365	4.0	10.0	4.0	14.0	0.2222222222222222	0.7291283252985368	0.2762836248823873	0.054029078363725835
phylum	11	3.6682172626454865	11049.99999	0.2651199999999889	0.625	0.5	0.5555555555555556	5.0	5.0	3.0	10.0	0.38461538461538464	0.7470231164303968	0.3244280173198917	0.13803875831762125
