rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05447958390713689	0.07859742553252057	0.0
superkingdom	0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0546184072624539	0.07879770529879598	0.0
superkingdom	1	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05618525844721492	0.0810581937328617	0.0
superkingdom	10	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.056503560508237544	0.051431757218680846	0.0
superkingdom	11	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05373759835396984	0.0775269666545552	0.0
superkingdom	12	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05364465998892618	0.0773928849361984	0.0
superkingdom	13	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05465348810968664	0.049747748749420215	0.0
superkingdom	14	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05537645010974918	0.050405817121237734	0.0
superkingdom	15	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05658661807965475	0.051507359478253155	0.0
superkingdom	16	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05460724060551072	0.0497056524569857	0.0
superkingdom	8	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0546184072624539	0.07879770529879598	0.0
superkingdom	18	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.052899613618210786	0.07631801023193498	0.0
superkingdom	19	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.054340666571528	0.07839701018134412	0.0
superkingdom	2	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.055218896126548025	0.07966402760513364	0.0
superkingdom	20	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05419013358692541	0.04932598528696799	0.0
superkingdom	3	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05623719351306504	0.051189299530996116	0.0
superkingdom	4	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.056368821560384086	0.08132301932592101	0.0
superkingdom	5	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05641468725988827	0.08138918954314259	0.0
superkingdom	6	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05508577086402876	0.0501412294694167	0.0
superkingdom	7	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.05740678695779615	0.05225390936359598	0.0
superkingdom	17	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.05475713692530221	0.07899784989541143	0.0
phylum	15	0.0	0.0	0.0	1.0	1.0	1.0	12.0	0.0	0.0	12.0	1.0	0.6964074091435215	0.2802549581502128	0.0
phylum	14	0.0	0.0	0.0	1.0	1.0	1.0	10.0	0.0	0.0	10.0	1.0	0.33214585774060235	0.14424911320376607	0.0
phylum	13	0.0	0.0	0.0	1.0	1.0	1.0	11.0	0.0	0.0	11.0	1.0	0.7473777132557371	0.3116807150562247	0.0
phylum	1	0.0	0.0	0.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	1.0	0.8360257206066909	0.4020433870582984	0.0
phylum	11	0.0	0.0	0.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	1.0	0.828330734010106	0.39834288072409835	0.0
phylum	10	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.8172422010829516	0.3719429545402801	0.0
phylum	16	0.0	0.0	0.0	1.0	1.0	1.0	10.0	0.0	0.0	10.0	1.0	0.5006499649351797	0.21742951713640501	0.0
phylum	12	0.0	0.0	0.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	1.0	0.4072463343035434	0.19584408897331035	0.0
phylum	17	0.0	0.0	0.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	1.0	0.7115475222042087	0.34218202721361385	0.0
phylum	3	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.5239792578437527	0.2384732372141008	0.0
phylum	19	0.0	0.0	0.0	1.0	1.0	1.0	10.0	0.0	0.0	10.0	1.0	0.8979821805892791	0.3899887058773733	0.0
phylum	2	0.0	0.0	0.0	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	0.4950793654878492	0.27630905486501744	0.0
phylum	20	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.765515853517224	0.3484012792380506	0.0
phylum	4	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.7787734517767971	0.3544350722314122	0.0
phylum	5	0.0	0.0	0.0	1.0	1.0	1.0	7.0	0.0	0.0	7.0	1.0	0.6369174181823946	0.3273108054303539	0.0
phylum	6	0.0	0.0	0.0	1.0	1.0	1.0	10.0	0.0	0.0	10.0	1.0	0.876400936021631	0.38061609044903916	0.0
phylum	7	0.0	0.0	0.0	1.0	1.0	1.0	13.0	0.0	0.0	13.0	1.0	0.5901697009105288	0.23009019620356336	0.0
phylum	8	0.0	0.0	0.0	1.0	1.0	1.0	10.0	0.0	0.0	10.0	1.0	0.7620635034810135	0.33095997442166364	0.0
phylum	0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	0.0	0.0	7.0	1.0	0.508230172790401	0.26117864333927904	0.0
phylum	18	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.7098430135675594	0.3230634778480994	0.0
phylum	9	0.0	0.0	0.0	1.0	1.0	1.0	9.0	0.0	0.0	9.0	1.0	0.8843085315234362	0.4024661569167034	0.0
class	0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	0.0	0.0	13.0	1.0	1.4662129714229382	0.5716342769722405	0.0
class	9	0.0	0.0	0.0	1.0	1.0	1.0	16.0	0.0	0.0	16.0	1.0	1.5186833607475667	0.5477492383077748	0.0
class	8	0.0	0.0	0.0	1.0	1.0	1.0	17.0	0.0	0.0	17.0	1.0	1.4369045741269946	0.5071642688474094	0.0
class	7	0.0	0.0	0.0	1.0	1.0	1.0	22.0	0.0	0.0	22.0	1.0	1.502742391850878	0.48616038586535676	0.0
class	6	0.0	0.0	0.0	1.0	1.0	1.0	18.0	0.0	0.0	18.0	1.0	1.538509396018036	0.5322877210569902	0.0
class	5	0.0	0.0	0.0	1.0	1.0	1.0	14.0	0.0	0.0	14.0	1.0	1.484590432574754	0.5625457302176868	0.0
class	4	0.0	0.0	0.0	1.0	1.0	1.0	20.0	0.0	0.0	20.0	1.0	1.5591170707026831	0.5204460640446426	0.0
class	20	0.0	0.0	0.0	1.0	1.0	1.0	19.0	0.0	0.0	19.0	1.0	1.5254387614567708	0.5180745032415706	0.0
class	2	0.0	0.0	0.0	1.0	1.0	1.0	12.0	0.0	0.0	12.0	1.0	1.3425245109021677	0.5402716077952888	0.0
class	19	0.0	0.0	0.0	1.0	1.0	1.0	17.0	0.0	0.0	17.0	1.0	1.5163331909238	0.5351990855559493	0.0
class	18	0.0	0.0	0.0	1.0	1.0	1.0	17.0	0.0	0.0	17.0	1.0	1.498264079836173	0.5288214821447786	0.0
class	3	0.0	0.0	0.0	1.0	1.0	1.0	16.0	0.0	0.0	16.0	1.0	1.4581650036737477	0.5259218548994883	0.0
class	16	0.0	0.0	0.0	1.0	1.0	1.0	20.0	0.0	0.0	20.0	1.0	1.4203061296245623	0.474109833566529	0.0
class	17	0.0	0.0	0.0	1.0	1.0	1.0	17.0	0.0	0.0	17.0	1.0	1.5254206163875077	0.5384065480235295	0.0
class	10	0.0	0.0	0.0	1.0	1.0	1.0	18.0	0.0	0.0	18.0	1.0	1.5322806421962862	0.5301327201285686	0.0
class	11	0.0	0.0	0.0	1.0	1.0	1.0	16.0	0.0	0.0	16.0	1.0	1.4131997496683444	0.5097040676580112	0.0
class	12	0.0	0.0	0.0	1.0	1.0	1.0	15.0	0.0	0.0	15.0	1.0	1.1891721644952125	0.4391248596540805	0.0
class	1	0.0	0.0	0.0	1.0	1.0	1.0	14.0	0.0	0.0	14.0	1.0	1.4744694854221163	0.5587106687208935	0.0
class	14	0.0	0.0	0.0	1.0	1.0	1.0	19.0	0.0	0.0	19.0	1.0	1.098794044461785	0.37317602851897086	0.0
class	15	0.0	0.0	0.0	1.0	1.0	1.0	23.0	0.0	0.0	23.0	1.0	1.574986598871206	0.5023088835150301	0.0
class	13	0.0	0.0	0.0	1.0	1.0	1.0	20.0	0.0	0.0	20.0	1.0	1.5544260128918093	0.518880150477437	0.0
order	2	0.0	0.0	0.0	1.0	1.0	1.0	27.0	0.0	0.0	27.0	1.0	1.6326731235728282	0.49537437377845134	0.0
