rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	0	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	10	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	11	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	12	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	13	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	14	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	15	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	16	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	18	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	2	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	20	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	3	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
superkingdom	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	3.0	0.0	0.0	na	na	na
superkingdom	17	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	2.0	0.0	0.0	na	na	na
phylum	15	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	12.0	0.0	0.0	na	na	na
phylum	14	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	10.0	0.0	0.0	na	na	na
phylum	13	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	11.0	0.0	0.0	na	na	na
phylum	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	8.0	0.0	0.0	na	na	na
phylum	11	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	8.0	0.0	0.0	na	na	na
phylum	10	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
phylum	16	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	10.0	0.0	0.0	na	na	na
phylum	12	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	8.0	0.0	0.0	na	na	na
phylum	17	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	8.0	0.0	0.0	na	na	na
phylum	3	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
phylum	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	10.0	0.0	0.0	na	na	na
phylum	2	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	6.0	0.0	0.0	na	na	na
phylum	20	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
phylum	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
phylum	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	7.0	0.0	0.0	na	na	na
phylum	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	10.0	0.0	0.0	na	na	na
phylum	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	13.0	0.0	0.0	na	na	na
phylum	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	10.0	0.0	0.0	na	na	na
phylum	0	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	7.0	0.0	0.0	na	na	na
phylum	18	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
phylum	9	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	9.0	0.0	0.0	na	na	na
class	0	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	13.0	0.0	0.0	na	na	na
class	9	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	16.0	0.0	0.0	na	na	na
class	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	17.0	0.0	0.0	na	na	na
class	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	22.0	0.0	0.0	na	na	na
class	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	18.0	0.0	0.0	na	na	na
class	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	14.0	0.0	0.0	na	na	na
class	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	20.0	0.0	0.0	na	na	na
class	20	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	19.0	0.0	0.0	na	na	na
class	2	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	12.0	0.0	0.0	na	na	na
class	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	17.0	0.0	0.0	na	na	na
class	18	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	17.0	0.0	0.0	na	na	na
class	3	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	16.0	0.0	0.0	na	na	na
class	16	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	20.0	0.0	0.0	na	na	na
class	17	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	17.0	0.0	0.0	na	na	na
class	10	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	18.0	0.0	0.0	na	na	na
class	11	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	16.0	0.0	0.0	na	na	na
class	12	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	15.0	0.0	0.0	na	na	na
class	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	14.0	0.0	0.0	na	na	na
class	14	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	19.0	0.0	0.0	na	na	na
class	15	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	23.0	0.0	0.0	na	na	na
class	13	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	20.0	0.0	0.0	na	na	na
order	2	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	27.0	0.0	0.0	na	na	na
order	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	43.0	0.0	0.0	na	na	na
order	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	42.0	0.0	0.0	na	na	na
order	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	40.0	0.0	0.0	na	na	na
order	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	32.0	0.0	0.0	na	na	na
order	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	40.0	0.0	0.0	na	na	na
order	3	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	40.0	0.0	0.0	na	na	na
order	20	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	40.0	0.0	0.0	na	na	na
order	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	35.0	0.0	0.0	na	na	na
order	9	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	35.0	0.0	0.0	na	na	na
order	18	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	35.0	0.0	0.0	na	na	na
order	17	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	35.0	0.0	0.0	na	na	na
order	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
order	10	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	41.0	0.0	0.0	na	na	na
order	11	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	33.0	0.0	0.0	na	na	na
order	0	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	31.0	0.0	0.0	na	na	na
order	13	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	37.0	0.0	0.0	na	na	na
order	14	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	39.0	0.0	0.0	na	na	na
order	15	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	42.0	0.0	0.0	na	na	na
order	16	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	42.0	0.0	0.0	na	na	na
order	12	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	32.0	0.0	0.0	na	na	na
family	16	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	64.0	0.0	0.0	na	na	na
family	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	50.0	0.0	0.0	na	na	na
family	10	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	61.0	0.0	0.0	na	na	na
family	11	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	53.0	0.0	0.0	na	na	na
family	12	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	50.0	0.0	0.0	na	na	na
family	13	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	54.0	0.0	0.0	na	na	na
family	14	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	56.0	0.0	0.0	na	na	na
family	15	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	62.0	0.0	0.0	na	na	na
family	17	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	52.0	0.0	0.0	na	na	na
family	0	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	47.0	0.0	0.0	na	na	na
family	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	54.0	0.0	0.0	na	na	na
family	2	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	42.0	0.0	0.0	na	na	na
family	20	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	61.0	0.0	0.0	na	na	na
family	3	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	61.0	0.0	0.0	na	na	na
family	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	51.0	0.0	0.0	na	na	na
family	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
family	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	64.0	0.0	0.0	na	na	na
family	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	64.0	0.0	0.0	na	na	na
family	9	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	55.0	0.0	0.0	na	na	na
family	18	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	57.0	0.0	0.0	na	na	na
family	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
genus	1	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	78.0	0.0	0.0	na	na	na
genus	19	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	85.0	0.0	0.0	na	na	na
genus	8	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	94.0	0.0	0.0	na	na	na
genus	7	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	91.0	0.0	0.0	na	na	na
genus	6	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	89.0	0.0	0.0	na	na	na
genus	5	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	79.0	0.0	0.0	na	na	na
genus	4	9.105496805175127	19035.99940000001	na	0.0	0.0	na	0.0	0.0	94.0	0.0	0.0	na	na	na
