tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	0	0.0
Gold standard	phylum	Bray-Curtis distance	0	0.0
Gold standard	class	Bray-Curtis distance	0	0.0
Gold standard	order	Bray-Curtis distance	0	0.0
Gold standard	family	Bray-Curtis distance	0	0.0
Gold standard	genus	Bray-Curtis distance	0	0.0
Gold standard	species	Bray-Curtis distance	0	0.0
Gold standard	strain	Bray-Curtis distance	0	0.0
Gold standard	superkingdom	Shannon diversity	0	0.0546184072624539
Gold standard	superkingdom	Shannon equitability	0	0.07879770529879598
Gold standard	phylum	Shannon diversity	0	0.508230172790401
Gold standard	phylum	Shannon equitability	0	0.26117864333927904
Gold standard	class	Shannon diversity	0	1.4662129714229382
Gold standard	class	Shannon equitability	0	0.5716342769722405
Gold standard	order	Shannon diversity	0	1.6885536314107745
Gold standard	order	Shannon equitability	0	0.4917180906222792
Gold standard	family	Shannon diversity	0	2.1967203988671105
Gold standard	family	Shannon equitability	0	0.5705548529857475
Gold standard	genus	Shannon diversity	0	2.136995597160231
Gold standard	genus	Shannon equitability	0	0.4949627053888723
Gold standard	species	Shannon diversity	0	1.7670460874259786
Gold standard	species	Shannon equitability	0	0.4021086660081504
Gold standard	strain	Shannon diversity	0	3.145138642874507
Gold standard	strain	Shannon equitability	0	0.6383147375481969
Gold standard	superkingdom	True positives	0	2.0
Gold standard	superkingdom	False negatives	0	0.0
Gold standard	superkingdom	False positives	0	0.0
Gold standard	superkingdom	Completeness	0	1.0
Gold standard	superkingdom	Purity	0	1.0
Gold standard	superkingdom	F1 score	0	1.0
Gold standard	superkingdom	Jaccard index	0	1.0
Gold standard	superkingdom	Taxon counts	0	2.0
Gold standard	phylum	True positives	0	7.0
Gold standard	phylum	False negatives	0	0.0
Gold standard	phylum	False positives	0	0.0
Gold standard	phylum	Completeness	0	1.0
Gold standard	phylum	Purity	0	1.0
Gold standard	phylum	F1 score	0	1.0
Gold standard	phylum	Jaccard index	0	1.0
Gold standard	phylum	Taxon counts	0	7.0
Gold standard	class	True positives	0	13.0
Gold standard	class	False negatives	0	0.0
Gold standard	class	False positives	0	0.0
Gold standard	class	Completeness	0	1.0
Gold standard	class	Purity	0	1.0
Gold standard	class	F1 score	0	1.0
Gold standard	class	Jaccard index	0	1.0
Gold standard	class	Taxon counts	0	13.0
Gold standard	order	True positives	0	31.0
Gold standard	order	False negatives	0	0.0
Gold standard	order	False positives	0	0.0
Gold standard	order	Completeness	0	1.0
Gold standard	order	Purity	0	1.0
Gold standard	order	F1 score	0	1.0
Gold standard	order	Jaccard index	0	1.0
Gold standard	order	Taxon counts	0	31.0
Gold standard	family	True positives	0	47.0
Gold standard	family	False negatives	0	0.0
Gold standard	family	False positives	0	0.0
Gold standard	family	Completeness	0	1.0
Gold standard	family	Purity	0	1.0
Gold standard	family	F1 score	0	1.0
Gold standard	family	Jaccard index	0	1.0
Gold standard	family	Taxon counts	0	47.0
Gold standard	genus	True positives	0	75.0
Gold standard	genus	False negatives	0	0.0
Gold standard	genus	False positives	0	0.0
Gold standard	genus	Completeness	0	1.0
Gold standard	genus	Purity	0	1.0
Gold standard	genus	F1 score	0	1.0
Gold standard	genus	Jaccard index	0	1.0
Gold standard	genus	Taxon counts	0	75.0
Gold standard	species	True positives	0	81.0
Gold standard	species	False negatives	0	0.0
Gold standard	species	False positives	0	0.0
Gold standard	species	Completeness	0	1.0
Gold standard	species	Purity	0	1.0
Gold standard	species	F1 score	0	1.0
Gold standard	species	Jaccard index	0	1.0
Gold standard	species	Taxon counts	0	81.0
Gold standard	strain	True positives	0	138.0
Gold standard	strain	False negatives	0	0.0
Gold standard	strain	False positives	0	0.0
