tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	5.996542683581759	2826.003824878026	0.78053	1.0	0.25	0.4	5.0	15.0	0.0	20.0	0.25	0.6571298995713704	0.2193553493990247	0.39026890268902675
Bracken2.2	74	4.1910426282406466	2632.002182576382	0.49178600000000017	1.0	0.29411764705882354	0.45454545454545453	5.0	12.0	0.0	17.0	0.29411764705882354	0.6666787015975538	0.23530833037906435	0.2458905410945891
Bracken2.2	73	6.428112726454041	2734.9992703477296	0.839632	1.0	0.20833333333333334	0.3448275862068966	5.0	19.0	0.0	24.0	0.20833333333333334	0.7224802577379739	0.22733417881058166	0.41981180188198136
Bracken2.2	72	2.2755792479678503	2602.0076926878232	0.17468000000000003	1.0	0.29411764705882354	0.45454545454545453	5.0	12.0	0.0	17.0	0.29411764705882354	0.7767624496462656	0.2741630633908426	0.08734087340873412
Bracken2.2	71	4.6387487161425796	2530.010553414737	0.5610800000000001	1.0	0.3333333333333333	0.5	5.0	10.0	0.0	15.0	0.3333333333333333	0.7477285757962749	0.2761132624099583	0.28053999999999996
Bracken2.2	70	2.9988757768891556	2582.0105487181177	0.248147	1.0	0.2777777777777778	0.4347826086956522	5.0	13.0	0.0	18.0	0.2777777777777778	0.6510094083001893	0.22523379787451428	0.12407281759950321
Bracken2.2	7	5.327271063983992	2602.002687325169	0.6777790000000001	1.0	0.29411764705882354	0.45454545454545453	5.0	12.0	0.0	17.0	0.29411764705882354	0.6622006007229184	0.23372775725207764	0.3388913639025014
Bracken2.2	69	4.002865781689485	3367.9974120532665	0.14725500000000002	1.0	0.18518518518518517	0.3125	5.0	22.0	0.0	27.0	0.18518518518518517	0.8467318579381918	0.25690951717665494	0.07362819946789495
Bracken2.2	68	5.534821720380669	2667.007388329761	0.690515	1.0	0.2777777777777778	0.4347826086956522	5.0	13.0	0.0	18.0	0.2777777777777778	0.7302822629227251	0.2526603233399571	0.3452590536657415
Bracken2.2	67	3.3905593135373078	2462.009046186364	0.2797409999999999	1.0	0.38461538461538464	0.5555555555555556	5.0	8.0	0.0	13.0	0.38461538461538464	0.7161692176723495	0.27921378470455394	0.13987043006478495
Bracken2.2	66	4.268966138372622	2760.0063232778643	0.5103839999999998	1.0	0.2	0.33333333333333337	5.0	20.0	0.0	25.0	0.2	0.7221820191867239	0.22435845881575572	0.2551881721774173
Bracken2.2	65	4.136612830509327	2671.0067806173342	0.45458	1.0	0.25	0.4	5.0	15.0	0.0	20.0	0.25	0.7259187615288929	0.24231763563694503	0.2272877271227288
