tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	5.996542683581759	2826.003824878026	0.8398640000000006	1.0	0.12	0.21428571428571425	9.0	66.0	0.0	75.0	0.12	0.9281619252874953	0.21497729718756978	0.41998785838516517
Bracken2.2	74	4.1910426282406466	2632.002182576382	0.5212889999999999	0.8888888888888888	0.14035087719298245	0.24242424242424243	8.0	49.0	1.0	57.0	0.13793103448275862	0.8931238307773633	0.22090341467663818	0.2608381723429647
Bracken2.2	73	6.428112726454041	2734.9992703477296	0.8966020000000001	1.0	0.10588235294117647	0.19148936170212766	9.0	76.0	0.0	85.0	0.10588235294117647	1.0193358768177831	0.2294431450878852	0.4483355218351813
Bracken2.2	72	2.2755792479678503	2602.0076926878232	0.2246810000000001	1.0	0.15789473684210525	0.2727272727272727	9.0	48.0	0.0	57.0	0.15789473684210525	0.9870274417709516	0.24412934103098857	0.11234381414251722
Bracken2.2	71	4.6387487161425796	2530.010553414737	0.6009749999999998	0.8888888888888888	0.16326530612244897	0.27586206896551724	8.0	41.0	1.0	49.0	0.16	0.9915777339539398	0.25478507690484165	0.30104790066709175
Bracken2.2	70	2.9988757768891556	2582.0105487181177	0.24988300000000016	1.0	0.15789473684210525	0.2727272727272727	9.0	48.0	0.0	57.0	0.15789473684210525	0.8270850741865718	0.20456952420233762	0.12494706014417643
Bracken2.2	7	5.327271063983992	2602.002687325169	0.7004650000000006	0.8888888888888888	0.14814814814814814	0.25396825396825395	8.0	46.0	1.0	54.0	0.14545454545454545	0.9078078507275026	0.227578711804927	0.35792154969124224
Bracken2.2	69	4.002865781689485	3367.9974120532665	0.2872310000000002	1.0	0.07563025210084033	0.140625	9.0	110.0	0.0	119.0	0.07563025210084033	1.11429062031212	0.2331579466231039	0.1436593879430167
Bracken2.2	68	5.534821720380669	2667.007388329761	0.7732110000000004	1.0	0.16363636363636364	0.28125	9.0	46.0	0.0	55.0	0.16363636363636364	1.0849377810704117	0.27073810210454785	0.3866199982499345
Bracken2.2	67	3.3905593135373078	2462.009046186364	0.34053100000000014	0.8888888888888888	0.17391304347826086	0.29090909090909095	8.0	38.0	1.0	46.0	0.1702127659574468	1.0738154792187198	0.2804690667042936	0.17028976629169662
Bracken2.2	66	4.268966138372622	2760.0063232778643	0.5156560000000001	1.0	0.10227272727272728	0.18556701030927836	9.0	79.0	0.0	88.0	0.10227272727272728	1.050023541324433	0.23451966756867804	0.2578522381103823
Bracken2.2	65	4.136612830509327	2671.0067806173342	0.5150759999999998	1.0	0.13636363636363635	0.24000000000000002	9.0	57.0	0.0	66.0	0.13636363636363635	1.1060915943791987	0.2640054282478206	0.25754469616210013
Bracken2.2	64	3.7754451547113135	2669.0078960204964	0.43388400000000005	1.0	0.16363636363636364	0.28125	9.0	46.0	0.0	55.0	0.16363636363636364	1.0909960108169308	0.2722498879896957	0.21720612264513645
Bracken2.2	63	5.311862405053321	9851.987867289012	0.6617850000000003	1.0	0.03501945525291829	0.06766917293233082	9.0	248.0	0.0	257.0	0.03501945525291829	1.2096444153123072	0.21799023779922602	0.3309320463795422
Bracken2.2	62	4.106963282395502	2659.002389112329	0.49203800000000003	0.8888888888888888	0.13793103448275862	0.23880597014925373	8.0	50.0	1.0	58.0	0.13559322033898305	0.9193693919852005	0.2264209569244711	0.24648559723556684
Bracken2.2	61	6.0801957042591726	2915.0032763341337	0.8287500000000005	0.8888888888888888	0.11428571428571428	0.20253164556962022	8.0	62.0	1.0	70.0	0.11267605633802817	0.8425638258580961	0.19832052947096301	0.41442970472102314
Bracken2.2	60	4.497801611734344	2699.0053782441055	0.5299689999999998	0.8888888888888888	0.12307692307692308	0.21621621621621623	8.0	57.0	1.0	65.0	0.12121212121212122	0.8566546482819498	0.20521686007905224	0.26502253073316023
Bracken2.2	6	3.254791896340798	2828.9989744995546	0.347827	1.0	0.10344827586206896	0.1875	9.0	78.0	0.0	87.0	0.10344827586206896	1.2970684969577124	0.2904377928286783	0.17396421056738035
Bracken2.2	59	3.5890462255323246	3040.0049565034487	0.32189499999999976	1.0	0.09	0.16513761467889906	9.0	91.0	0.0	100.0	0.09	0.9881942173029444	0.21458364781168585	0.16189010513716104
Bracken2.2	58	2.9305559755651243	2592.0094270180166	0.2945740000000001	1.0	0.14754098360655737	0.2571428571428572	9.0	52.0	0.0	61.0	0.14754098360655737	1.163678731464752	0.2830733245323657	0.1472923025228908
Bracken2.2	57	1.961227766371402	2433.006573530723	0.16632899999999995	0.8888888888888888	0.2	0.326530612244898	8.0	32.0	1.0	40.0	0.1951219512195122	0.9178650959731364	0.2488194877036464	0.08316595540421953
Bracken2.2	56	5.877615088722484	2665.008812251152	0.7898510000000003	0.8888888888888888	0.13793103448275862	0.23880597014925373	8.0	50.0	1.0	58.0	0.13559322033898305	1.080149093909111	0.26601754811077966	0.39538592691188884
Bracken2.2	75	4.050076577141079	2836.003113023803	0.4642360000000002	1.0	0.11392405063291139	0.20454545454545456	9.0	70.0	0.0	79.0	0.11392405063291139	0.961501680687852	0.22005107124575965	0.23213796386489238
Bracken2.2	77	4.661503485926835	2876.003462548959	0.5544349999999998	1.0	0.125	0.2222222222222222	9.0	63.0	0.0	72.0	0.125	0.6885918620075504	0.16101136793114368	0.2773230214096463
