tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	5.996542683581759	2826.003824878026	0.7807900000000008	1.0	0.13636363636363635	0.24000000000000002	6.0	38.0	0.0	44.0	0.13636363636363635	0.7782155183731275	0.20564918612901023	0.39040671220136614
Bracken2.2	74	4.1910426282406466	2632.002182576382	0.5055249999999999	1.0	0.16666666666666666	0.2857142857142857	6.0	30.0	0.0	36.0	0.16666666666666666	0.8097691117697319	0.22597037316582602	0.2527585822419752
Bracken2.2	73	6.428112726454041	2734.9992703477296	0.8598070000000005	1.0	0.11320754716981132	0.2033898305084746	6.0	47.0	0.0	53.0	0.11320754716981132	0.8512101559060188	0.21439485419208434	0.4299015654429555
Bracken2.2	72	2.2755792479678503	2602.0076926878232	0.19659000000000007	1.0	0.18181818181818182	0.3076923076923077	6.0	27.0	0.0	33.0	0.18181818181818182	0.8826506563987171	0.25243779425105034	0.09829450852745732
Bracken2.2	71	4.6387487161425796	2530.010553414737	0.587793	1.0	0.1935483870967742	0.3243243243243243	6.0	25.0	0.0	31.0	0.1935483870967742	0.8548601914153628	0.2489409949748287	0.2938981164396404
Bracken2.2	70	2.9988757768891556	2582.0105487181177	0.24828700000000034	1.0	0.16666666666666666	0.2857142857142857	6.0	30.0	0.0	36.0	0.16666666666666666	0.7486137837051127	0.20890465393428018	0.12414281721450536
Bracken2.2	7	5.327271063983992	2602.002687325169	0.6778999999999995	1.0	0.16666666666666666	0.2857142857142857	6.0	30.0	0.0	36.0	0.16666666666666666	0.7472640011883466	0.20852798995121005	0.33894830525847364
Bracken2.2	69	4.002865781689485	3367.9974120532665	0.23913400000000012	1.0	0.08955223880597014	0.1643835616438356	6.0	61.0	0.0	67.0	0.08955223880597014	0.9825937070768477	0.2336897833019653	0.11956700000000005
Bracken2.2	68	5.534821720380669	2667.007388329761	0.7360770000000001	1.0	0.17142857142857143	0.2926829268292683	6.0	29.0	0.0	35.0	0.17142857142857143	0.9286971572036524	0.26121131915692125	0.36804199639896573
Bracken2.2	67	3.3905593135373078	2462.009046186364	0.27989100000000006	1.0	0.2222222222222222	0.3636363636363636	6.0	21.0	0.0	27.0	0.2222222222222222	0.9013512877652047	0.2734817663648346	0.13994612975758397
Bracken2.2	66	4.268966138372622	2760.0063232778643	0.5104839999999997	1.0	0.1111111111111111	0.19999999999999998	6.0	48.0	0.0	54.0	0.1111111111111111	0.8687160868400864	0.21777878194030745	0.25524582868743023
Bracken2.2	65	4.136612830509327	2671.0067806173342	0.45519999999999977	1.0	0.15384615384615385	0.2666666666666667	6.0	33.0	0.0	39.0	0.15384615384615385	0.8729139892682721	0.23826922366393324	0.22759999999999997
Bracken2.2	64	3.7754451547113135	2669.0078960204964	0.406168	1.0	0.17647058823529413	0.3	6.0	28.0	0.0	34.0	0.17647058823529413	0.9071225378699799	0.25724044139494745	0.2030840000000001
Bracken2.2	63	5.311862405053321	9851.987867289012	0.6438770000000003	1.0	0.048	0.0916030534351145	6.0	119.0	0.0	125.0	0.048	1.0191299477541322	0.2110736797985181	0.32193705128326916
Bracken2.2	62	4.106963282395502	2659.002389112329	0.492561	1.0	0.16666666666666666	0.2857142857142857	6.0	30.0	0.0	36.0	0.16666666666666666	0.8464397363860118	0.2362035058061348	0.24627569762389634
Bracken2.2	61	6.0801957042591726	2915.0032763341337	0.7819880000000003	1.0	0.13953488372093023	0.24489795918367346	6.0	37.0	0.0	43.0	0.13953488372093023	0.7925364172044896	0.21071370648364093	0.39100182003640077
Bracken2.2	60	4.497801611734344	2699.0053782441055	0.4737039999999999	1.0	0.15	0.2608695652173913	6.0	34.0	0.0	40.0	0.15	0.6902359712024546	0.18711263943111103	0.23685673713474267
Bracken2.2	6	3.254791896340798	2828.9989744995546	0.26366799999999996	1.0	0.11320754716981132	0.2033898305084746	6.0	47.0	0.0	53.0	0.11320754716981132	1.1097267175944543	0.2795075882976094	0.13183597753966309
Bracken2.2	59	3.5890462255323246	3040.0049565034487	0.28663700000000014	1.0	0.10526315789473684	0.1904761904761905	6.0	51.0	0.0	57.0	0.10526315789473684	0.8484850365517863	0.20986254695855813	0.14331842834078587
Bracken2.2	58	2.9305559755651243	2592.0094270180166	0.14862999999999985	1.0	0.15789473684210525	0.2727272727272727	6.0	32.0	0.0	38.0	0.15789473684210525	0.8244182033472333	0.2266388113290064	0.07431537157685787
Bracken2.2	57	1.961227766371402	2433.006573530723	0.077103	1.0	0.3157894736842105	0.4799999999999999	6.0	13.0	0.0	19.0	0.3157894736842105	0.8103373417673367	0.27520941934980775	0.038552483088318754
Bracken2.2	56	5.877615088722484	2665.008812251152	0.7374320000000008	1.0	0.15	0.2608695652173913	6.0	34.0	0.0	40.0	0.15	0.846091550761775	0.22936275399788172	0.3687159999999999
Bracken2.2	75	4.050076577141079	2836.003113023803	0.4582359999999995	1.0	0.13333333333333333	0.23529411764705882	6.0	39.0	0.0	45.0	0.13333333333333333	0.8386093512211157	0.22030042155686735	0.22912372809320233
Bracken2.2	77	4.661503485926835	2876.003462548959	0.5541179999999998	1.0	0.14285714285714285	0.25	6.0	36.0	0.0	42.0	0.14285714285714285	0.6074961243882381	0.16253339284365323	0.27706454129082575
Bracken2.2	78	3.9439611465850883	2469.003724362607	0.4374369999999999	1.0	0.2	0.33333333333333337	6.0	24.0	0.0	30.0	0.2	0.7163492759581197	0.2106167903751713	0.2187218901892979
Bracken2.2	79	2.709451815868651	2611.0086109054055	0.2870850000000002	1.0	0.17647058823529413	0.3	6.0	28.0	0.0	34.0	0.17647058823529413	0.9040706218821088	0.2563749836612396	0.14354472494323658
Bracken2.2	99	3.8040125826184052	2598.003112557662	0.2565900000000002	1.0	0.15789473684210525	0.2727272727272727	6.0	32.0	0.0	38.0	0.15789473684210525	0.6798409219904551	0.18689342111461954	0.128298848965469
Bracken2.2	98	6.269066866663997	2721.00246455188	0.8701320000000007	1.0	0.14285714285714285	0.25	6.0	36.0	0.0	42.0	0.14285714285714285	0.8326432387695473	0.2227706897090499	0.43506817534087683
Bracken2.2	97	3.5294803376521884	2695.003389116229	0.32697400000000004	1.0	0.13636363636363635	0.24000000000000002	6.0	38.0	0.0	44.0	0.13636363636363635	0.7570801340400138	0.20006400505254565	0.16349190475714262
Bracken2.2	96	4.963775410358944	2708.0033476630315	0.6178869999999995	1.0	0.14634146341463414	0.2553191489361702	6.0	35.0	0.0	41.0	0.14634146341463414	0.702399689072989	0.1891439499372229	0.3089467439408114
Bracken2.2	95	2.267275190150554	2734.0034431032323	0.15253499999999998	1.0	0.14285714285714285	0.25	6.0	36.0	0.0	42.0	0.14285714285714285	0.8934223126939053	0.23903191130740845	0.07626868216457361
Bracken2.2	94	4.221593643906818	2710.0027491692504	0.46202099999999985	1.0	0.15789473684210525	0.2727272727272727	6.0	32.0	0.0	38.0	0.15789473684210525	0.7831244143620895	0.21528683582329086	0.23101269462059898
