tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	5.996542683581759	2826.003824878026	0.8418890000000009	0.75	0.04854368932038835	0.0911854103343465	15.0	294.0	5.0	309.0	0.04777070063694268	1.8616944311591948	0.32471369507704223	0.44030032231931837
Bracken2.2	74	4.1910426282406466	2632.002182576382	0.5655199999999997	0.75	0.05136986301369863	0.09615384615384616	15.0	277.0	5.0	292.0	0.050505050505050504	1.7153204921074354	0.30216573623855913	0.28848439586719277
Bracken2.2	73	6.428112726454041	2734.9992703477296	0.9755970000000025	0.75	0.042134831460674156	0.0797872340425532	15.0	341.0	5.0	356.0	0.04155124653739612	1.9039820965609464	0.3240858801214862	0.49805570828426
Bracken2.2	72	2.2755792479678503	2602.0076926878232	0.26747100000000024	0.75	0.054945054945054944	0.10238907849829351	15.0	258.0	5.0	273.0	0.0539568345323741	1.8029489201360602	0.32141153141792594	0.13521126333365516
Bracken2.2	71	4.6387487161425796	2530.010553414737	0.6497240000000006	0.75	0.056179775280898875	0.10452961672473866	15.0	252.0	5.0	267.0	0.05514705882352941	1.7956731045116856	0.321387719483712	0.33023592927712664
Bracken2.2	70	2.9988757768891556	2582.0105487181177	0.46719199999999994	0.75	0.055350553505535055	0.10309278350515463	15.0	256.0	5.0	271.0	0.05434782608695652	1.5983686580471252	0.28531502261070096	0.24603685349707985
Bracken2.2	7	5.327271063983992	2602.002687325169	0.7316200000000006	0.75	0.05454545454545454	0.10169491525423728	15.0	260.0	5.0	275.0	0.05357142857142857	1.8816851096125784	0.3350118915108192	0.37660771993835257
Bracken2.2	69	4.002865781689485	3367.9974120532665	1.1127380000000018	0.75	0.0395778364116095	0.07518796992481204	15.0	364.0	5.0	379.0	0.0390625	2.2254444634056627	0.37480941362525444	0.5666849325114381
Bracken2.2	68	5.534821720380669	2667.007388329761	0.803123	0.75	0.05102040816326531	0.09554140127388536	15.0	279.0	5.0	294.0	0.05016722408026756	1.7817890960261276	0.3134976843758533	0.40817080577247067
Bracken2.2	67	3.3905593135373078	2462.009046186364	0.4936470000000002	0.75	0.055350553505535055	0.10309278350515463	15.0	256.0	5.0	271.0	0.05434782608695652	1.9943400406457008	0.35599745460817084	0.2661997828974295
