tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	5.996542683581759	2826.003824878026	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	74	4.1910426282406466	2632.002182576382	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	73	6.428112726454041	2734.9992703477296	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	72	2.2755792479678503	2602.0076926878232	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	71	4.6387487161425796	2530.010553414737	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	70	2.9988757768891556	2582.0105487181177	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	7	5.327271063983992	2602.002687325169	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	69	4.002865781689485	3367.9974120532665	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	68	5.534821720380669	2667.007388329761	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	67	3.3905593135373078	2462.009046186364	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	66	4.268966138372622	2760.0063232778643	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	65	4.136612830509327	2671.0067806173342	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	64	3.7754451547113135	2669.0078960204964	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	63	5.311862405053321	9851.987867289012	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	62	4.106963282395502	2659.002389112329	na	0.0	0.0	na	0.0	0.0	406.0	0.0	0.0	na	na	na
Bracken2.2	61	6.0801957042591726	2915.0032763341337	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	60	4.497801611734344	2699.0053782441055	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	6	3.254791896340798	2828.9989744995546	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	59	3.5890462255323246	3040.0049565034487	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	58	2.9305559755651243	2592.0094270180166	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	57	1.961227766371402	2433.006573530723	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	56	5.877615088722484	2665.008812251152	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	75	4.050076577141079	2836.003113023803	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	77	4.661503485926835	2876.003462548959	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	78	3.9439611465850883	2469.003724362607	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	79	2.709451815868651	2611.0086109054055	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	99	3.8040125826184052	2598.003112557662	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	98	6.269066866663997	2721.00246455188	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	97	3.5294803376521884	2695.003389116229	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	96	4.963775410358944	2708.0033476630315	na	0.0	0.0	na	0.0	0.0	407.0	0.0	0.0	na	na	na
Bracken2.2	95	2.267275190150554	2734.0034431032323	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
Bracken2.2	94	4.221593643906818	2710.0027491692504	na	0.0	0.0	na	0.0	0.0	406.0	0.0	0.0	na	na	na
Bracken2.2	93	3.5476703247417913	2631.0101138668465	na	0.0	0.0	na	0.0	0.0	408.0	0.0	0.0	na	na	na
