tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Bracken2.2	0	3.5759778669185973	2828.0038508780262	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	74	3.6325371584499053	2630.00220657638	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	73	3.9171370873172147	2740.9992743477296	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	72	4.178100852085151	2599.007651691221	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	71	3.7961343332500146	2522.0105094147375	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	70	3.8563450785156537	2567.010542724315	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	7	4.012732578605336	2573.00267332517	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	69	3.805027121070349	3356.997398053267	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	68	3.766402835539216	2682.007389329761	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	67	3.695443358528306	2459.0090051863617	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	66	3.870965792845918	2767.0063422778644	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	65	3.416509167291458	2659.0065876663175	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	64	3.73769054386403	2657.0078900204953	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	63	4.834096786618477	9846.987869289009	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	62	4.096889770894755	2667.00237311233	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	61	4.129103781043818	2917.0033083341336	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	60	3.5706056343711836	2704.005324246905	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	6	3.5633352004317933	2839.998982499555	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	59	3.7380885297410678	3039.0049605034487	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	58	3.624726424110921	2562.0094090180173	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	57	3.215742055167875	2452.0066755307234	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	56	3.6760588217152566	2649.008815251153	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	75	3.8055506410412656	2837.0030930238026	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	77	3.6526401640386776	2862.0034345489585	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	78	3.6198779035164095	2476.0037293626074	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	79	3.6676114077794217	2603.0086219054056	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	99	3.7765478523206677	2612.0031325576615	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	98	3.914464093123245	2742.002464551881	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	97	3.6394402884649826	2706.003381116229	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	96	3.605309087691215	2726.003333665032	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	95	3.7859486073220827	2723.003433103232	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	94	3.796747914325695	2701.002736169249	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	93	3.911603330130664	2637.00338228615	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	92	3.5954115970725327	2780.0026735140877	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	91	3.5863046311263984	2926.0054940065793	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	90	3.8376359576203316	3172.0037891432908	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	55	3.7138064464196585	2579.0086934288834	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	9	4.035171245576126	2914.9985383795	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	88	3.7200939848340835	2646.00230337107	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	87	3.852168118098596	2653.0086175095353	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	86	3.749002952721751	2728.0032964413185	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	85	3.5657196077106166	2705.003889289129	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	84	3.265365474154651	2668.002906474494	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	83	4.026165163474235	2748.0028351966253	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	82	3.8340873212982594	2852.0039463770654	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	81	3.3698098812474844	3711.0024100043975	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	80	3.4548145366499665	2532.007243995932	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	8	3.8753991971645187	2893.0034423755133	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	89	3.7996858034294796	2613.0030745380686	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	54	3.898943651883981	2616.0027762361065	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	76	3.2962927203825885	2610.0080348863985	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	52	3.635158916234292	2825.003553967901	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	29	3.7135413445611696	2557.00901657257	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	28	3.193891837762706	2510.003204546464	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	27	3.985434131568413	3068.004252970649	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	26	3.655587534404836	2906.0039152671634	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	25	4.285424033857443	3346.0036816315064	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	24	3.6557516746116	2703.0030083335455	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	23	3.3961574609603122	2684.0085485303234	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	22	3.693366771752478	2712.002403445827	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	21	3.3132861194328207	2480.011635299243	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	2	3.5496409010185896	2483.005317898719	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	3	3.877537254978792	2914.0040970114387	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	19	3.9253520761847898	2942.9990791779655	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	17	3.9936997115324857	2650.0026279630056	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	16	3.8513480110963423	2615.0025991356842	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	15	3.9136401373229113	2644.0124356340093	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	14	3.5845077617043257	2587.0031531443296	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	13	3.7698821443425845	2540.0033213636216	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	12	3.5118621973407977	2761.003814842348	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	11	3.532846762660691	2568.0028590177344	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	10	3.692778476598354	2747.003493006136	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	1	4.33870835252952	2718.0025174841035	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	53	3.6143647775456578	2532.012209726168	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	18	3.827087771180097	4731.9932743546715	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	30	3.470399903566399	2803.004030309917	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	20	3.604792105910799	2650.0077970928764	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	51	3.6561279190283447	2766.007370396912	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	31	3.486882115218882	2680.0090405544606	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	50	3.7518673192706053	2610.0023693197904	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	5	3.808902867227867	2705.0101888500512	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	49	4.368630129445744	2672.0099998957203	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	48	3.419500842778158	2757.0102042236977	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
Bracken2.2	47	3.8400329908821793	2769.0025763713506	na	0.0	0.0	na	0.0	0.0	1.0	0.0	0.0	na	na	na
