rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	99	3.613272592490926	3212.9999661199995	0.007178940000000006	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.026013104150996266	0.023678147804566212	0.003589470000000003
superkingdom	32	3.613272592490926	3212.9999661199995	0.013489559999999933	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.04598025813840039	0.03316774519753232	0.006744779999999967
superkingdom	33	3.613272592490926	3212.9999661199995	0.005194659999999971	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.020620128968087816	0.014874278902375576	0.0025973299999999854
superkingdom	34	3.613272592490926	3212.9999661199995	0.012701500000000003	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.044560673681956875	0.032143731469815265	0.006350750000000001
superkingdom	35	3.613272592490926	3212.9999661199995	0.01562024000000004	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.05329939593431508	0.03844738709840687	0.00781012000000002
superkingdom	36	3.613272592490926	3212.9999661199995	0.009669879999999933	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.0351680689530158	0.02536839933807851	0.004834939999999966
superkingdom	37	3.613272592490926	3212.9999661199995	0.010886179999999983	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.039478823988128284	0.028477951793900464	0.005443089999999992
superkingdom	38	3.613272592490926	3212.9999661199995	0.018591480000000025	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.0620186213373125	0.0447369787230556	0.009295740000000012
superkingdom	39	3.613272592490926	3212.9999661199995	0.033521240000000015	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.10252059454207532	0.0739529766674201	0.016760620000000007
superkingdom	4	3.613272592490926	3212.9999661199995	0.021650650000000004	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.06954914946864708	0.05016910651823122	0.010825324945873379
superkingdom	40	3.613272592490926	3212.9999661199995	0.013845229999999995	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.04613458529435731	0.033279068708819096	0.006922615034613073
superkingdom	41	3.613272592490926	3212.9999661199995	0.013707520000000051	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.047615249924176165	0.034347142468148774	0.006853760000000027
superkingdom	42	3.613272592490926	3212.9999661199995	0.022612289999999938	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.07354416007188763	0.0530508975110282	0.011306144943469244
superkingdom	43	3.613272592490926	3212.9999661199995	0.01532279999999993	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.0524056288102846	0.03780267039963269	0.007661399999999965
superkingdom	44	3.613272592490926	3212.9999661199995	0.019215320000000067	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.0624869397536284	0.04507479905144356	0.009607660000000033
superkingdom	45	3.613272592490926	3212.9999661199995	0.007368140000000047	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.02800907302352	0.020204275375464577	0.0036840700000000236
superkingdom	46	3.613272592490926	3212.9999661199995	0.08929819000000006	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.21900319992193665	0.1579774152330961	0.04464909477675456
superkingdom	47	3.613272592490926	3212.9999661199995	0.0014773199999999534	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.006576190130568881	0.005985906218600059	0.0007386599999999767
superkingdom	48	3.613272592490926	3212.9999661199995	0.027257439999999956	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.08071568950812423	0.058224062487652085	0.013628719999999978
superkingdom	49	3.613272592490926	3212.9999661199995	0.024065809999999955	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.07413132242014271	0.05347444561504036	0.012032904939835451
superkingdom	5	3.613272592490926	3212.9999661199995	0.015778469999999968	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.053163966349919975	0.03834969530350864	0.00788923496055381
superkingdom	50	3.613272592490926	3212.9999661199995	0.01668874999999994	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.057075290874317126	0.041171119550836216	0.008344374958278094
superkingdom	31	3.613272592490926	3212.9999661199995	0.017941749999999965	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.060385354659657955	0.0435588258549049	0.008970875044854358
